context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Xerx
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Xerx response:	Mimosa
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Xerx\Mimosa response:	Asta
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Xerx\Mimosa\Asta response:	Kirsch
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Xerx\Mimosa\Asta\Kirsch response:	Sol
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Xerx\Mimosa\Asta\Kirsch\Sol response:	Magna
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Xerx\Mimosa\Asta\Kirsch\Sol\Magna response:	It's the first round of stage two of the Royal Knights Selection Exam.
context: He was called the Wizard King, and he became a legend.\Xerx\Mimosa\Asta\Kirsch\Sol\Magna\It's the first round of stage two of the Royal Knights Selection Exam. response:	B Team was overwhelmed
context: Xerx\Mimosa\Asta\Kirsch\Sol\Magna\It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed response:	by Kirsch's extraordinary magical powers as a royal, but...
context: Mimosa\Asta\Kirsch\Sol\Magna\It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but... response:	Black Hurricane!
context: Asta\Kirsch\Sol\Magna\It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane! response:	Asta used his black powers and instantly nullified Kirsch's magic.
context: Kirsch\Sol\Magna\It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic. response:	At the same time, he nullified all the traps set by the mysterious mage,
context: Sol\Magna\It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage, response:	setting the state of the match back to where it began.
context: Magna\It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began. response:	I want to work with all the powerful guys here and beat some other powerful people!
context: It's the first round of stage two of the Royal Knights Selection Exam.\B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people! response:	I can't think of any way around it, so I'll use you.
context: B Team was overwhelmed\by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you. response:	The two worked together for the first time and were able to lure Kirsch into a trap
context: by Kirsch's extraordinary magical powers as a royal, but...\Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap response:	that was very appropriate for B Team, managing to strike him down.
context: Black Hurricane!\Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap\that was very appropriate for B Team, managing to strike him down. response:	Now we finally feel like a team.
context: Asta used his black powers and instantly nullified Kirsch's magic.\At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap\that was very appropriate for B Team, managing to strike him down.\Now we finally feel like a team. response:	Mister Delinquent vs. Muscle Brains
context: At the same time, he nullified all the traps set by the mysterious mage,\setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap\that was very appropriate for B Team, managing to strike him down.\Now we finally feel like a team.\Mister Delinquent vs. Muscle Brains response:	According to the signal from the Magic Flower Guidepost,
context: setting the state of the match back to where it began.\I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap\that was very appropriate for B Team, managing to strike him down.\Now we finally feel like a team.\Mister Delinquent vs. Muscle Brains\According to the signal from the Magic Flower Guidepost, response:	the enemy's crystal is inside Sol's golem.
context: I want to work with all the powerful guys here and beat some other powerful people!\I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap\that was very appropriate for B Team, managing to strike him down.\Now we finally feel like a team.\Mister Delinquent vs. Muscle Brains\According to the signal from the Magic Flower Guidepost,\the enemy's crystal is inside Sol's golem. response:	If I mix the seeds of my magic-controlling weeds into an attack spell and plant them,
context: I can't think of any way around it, so I'll use you.\The two worked together for the first time and were able to lure Kirsch into a trap\that was very appropriate for B Team, managing to strike him down.\Now we finally feel like a team.\Mister Delinquent vs. Muscle Brains\According to the signal from the Magic Flower Guidepost,\the enemy's crystal is inside Sol's golem.\If I mix the seeds of my magic-controlling weeds into an attack spell and plant them, response:	I'll be able to control Sol's golem for a little while, since its attribute is earth.
