context: She's been gazing at them a lot lately, response:	but do you think she might want to go?
context: She's been gazing at them a lot lately,\but do you think she might want to go? response:	Who, Kanna? I think so.
context: She's been gazing at them a lot lately,\but do you think she might want to go?\Who, Kanna? I think so. response:	Every dragon's had those thoughts at some point.
context: She's been gazing at them a lot lately,\but do you think she might want to go?\Who, Kanna? I think so.\Every dragon's had those thoughts at some point. response:	How young, how young.
context: She's been gazing at them a lot lately,\but do you think she might want to go?\Who, Kanna? I think so.\Every dragon's had those thoughts at some point.\How young, how young. response:	Huh? What are you talking about?
context: She's been gazing at them a lot lately,\but do you think she might want to go?\Who, Kanna? I think so.\Every dragon's had those thoughts at some point.\How young, how young.\Huh? What are you talking about? response:	A journey to eliminate humanity, right?
context: She's been gazing at them a lot lately,\but do you think she might want to go?\Who, Kanna? I think so.\Every dragon's had those thoughts at some point.\How young, how young.\Huh? What are you talking about?\A journey to eliminate humanity, right? response:	No, I'm talking about school.
context: She's been gazing at them a lot lately,\but do you think she might want to go?\Who, Kanna? I think so.\Every dragon's had those thoughts at some point.\How young, how young.\Huh? What are you talking about?\A journey to eliminate humanity, right?\No, I'm talking about school. response:	Oh, school.
context: but do you think she might want to go?\Who, Kanna? I think so.\Every dragon's had those thoughts at some point.\How young, how young.\Huh? What are you talking about?\A journey to eliminate humanity, right?\No, I'm talking about school.\Oh, school. response:	I see that come up on the Internet often.
context: Who, Kanna? I think so.\Every dragon's had those thoughts at some point.\How young, how young.\Huh? What are you talking about?\A journey to eliminate humanity, right?\No, I'm talking about school.\Oh, school.\I see that come up on the Internet often. response:	The Internet? You've gotten used to it, huh.
context: Every dragon's had those thoughts at some point.\How young, how young.\Huh? What are you talking about?\A journey to eliminate humanity, right?\No, I'm talking about school.\Oh, school.\I see that come up on the Internet often.\The Internet? You've gotten used to it, huh. response:	Kanna-chan.
context: How young, how young.\Huh? What are you talking about?\A journey to eliminate humanity, right?\No, I'm talking about school.\Oh, school.\I see that come up on the Internet often.\The Internet? You've gotten used to it, huh.\Kanna-chan. response:	What, Kobayashi?
context: Huh? What are you talking about?\A journey to eliminate humanity, right?\No, I'm talking about school.\Oh, school.\I see that come up on the Internet often.\The Internet? You've gotten used to it, huh.\Kanna-chan.\What, Kobayashi? response:	Oh, well...
context: A journey to eliminate humanity, right?\No, I'm talking about school.\Oh, school.\I see that come up on the Internet often.\The Internet? You've gotten used to it, huh.\Kanna-chan.\What, Kobayashi?\Oh, well... response:	Want to go to school?
context: No, I'm talking about school.\Oh, school.\I see that come up on the Internet often.\The Internet? You've gotten used to it, huh.\Kanna-chan.\What, Kobayashi?\Oh, well...\Want to go to school? response:	Oborozuka Shopping District
