context: Episode 5 response:	*Decisions
context: Episode 5\*Decisions response:	*This program delayed 25 minutes due to the extended baseball game.
context: Episode 5\*Decisions\*This program delayed 25 minutes due to the extended baseball game. response:	*Good luck, Yoshida-san
context: Episode 5\*Decisions\*This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san response:	*Friends
context: Episode 5\*Decisions\*This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san\*Friends response:	What am I supposed to do?
context: Episode 5\*Decisions\*This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san\*Friends\What am I supposed to do? response:	Sawako?
context: Episode 5\*Decisions\*This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san\*Friends\What am I supposed to do?\Sawako? response:	Sawako.
context: Episode 5\*Decisions\*This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san\*Friends\What am I supposed to do?\Sawako?\Sawako. response:	Sawako!
context: *Decisions\*This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san\*Friends\What am I supposed to do?\Sawako?\Sawako.\Sawako! response:	What's wrong? You're spilling your rice.
context: *This program delayed 25 minutes due to the extended baseball game.\*Good luck, Yoshida-san\*Friends\What am I supposed to do?\Sawako?\Sawako.\Sawako!\What's wrong? You're spilling your rice. response:	Are you all right?
context: *Good luck, Yoshida-san\*Friends\What am I supposed to do?\Sawako?\Sawako.\Sawako!\What's wrong? You're spilling your rice.\Are you all right? response:	I-It's nothing.
context: *Friends\What am I supposed to do?\Sawako?\Sawako.\Sawako!\What's wrong? You're spilling your rice.\Are you all right?\I-It's nothing. response:	I was just thinking about my exams.
context: What am I supposed to do?\Sawako?\Sawako.\Sawako!\What's wrong? You're spilling your rice.\Are you all right?\I-It's nothing.\I was just thinking about my exams. response:	I see...
context: Sawako?\Sawako.\Sawako!\What's wrong? You're spilling your rice.\Are you all right?\I-It's nothing.\I was just thinking about my exams.\I see... response:	They start tomorrow, huh?
context: Sawako.\Sawako!\What's wrong? You're spilling your rice.\Are you all right?\I-It's nothing.\I was just thinking about my exams.\I see...\They start tomorrow, huh? response:	Yeah.
context: Sawako!\What's wrong? You're spilling your rice.\Are you all right?\I-It's nothing.\I was just thinking about my exams.\I see...\They start tomorrow, huh?\Yeah. response:	I'm done eating.
context: What's wrong? You're spilling your rice.\Are you all right?\I-It's nothing.\I was just thinking about my exams.\I see...\They start tomorrow, huh?\Yeah.\I'm done eating. response:	Already?
context: Are you all right?\I-It's nothing.\I was just thinking about my exams.\I see...\They start tomorrow, huh?\Yeah.\I'm done eating.\Already? response:	Yeah.
context: I-It's nothing.\I was just thinking about my exams.\I see...\They start tomorrow, huh?\Yeah.\I'm done eating.\Already?\Yeah. response:	What am I supposed to do tomorrow,
context: I was just thinking about my exams.\I see...\They start tomorrow, huh?\Yeah.\I'm done eating.\Already?\Yeah.\What am I supposed to do tomorrow, response:	when I meet Yano-san, Yoshida-san and Kazehaya-kun?
context: I see...\They start tomorrow, huh?\Yeah.\I'm done eating.\Already?\Yeah.\What am I supposed to do tomorrow,\when I meet Yano-san, Yoshida-san and Kazehaya-kun? response:	Oh yeah,
context: They start tomorrow, huh?\Yeah.\I'm done eating.\Already?\Yeah.\What am I supposed to do tomorrow,\when I meet Yano-san, Yoshida-san and Kazehaya-kun?\Oh yeah, response:	we've got exams now.
