context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?' response:	All of you sneaking around like this, you're like pestering flies!
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies! response:	Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!? response:	That Freeza creep is quite thoroughly pissed off!
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off! response:	I- it's no good! This is still going to take some time!
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time! response:	Shoot it! Shoot it, already!
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already! response:	I- it's no use...Just a little longer...
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already!\I- it's no use...Just a little longer... response:	For someone too stubborn to die...Are you still hanging around here?
context: 'The Incredible Destructive Force of the Genki Dama!! Who Will Survive!?'\All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already!\I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here? response:	I'll show you the power of someone too stubborn to die!
context: All of you sneaking around like this, you're like pestering flies!\Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already!\I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die! response:	Piccolo-san...
context: Aren't you done yet, Son Goku!? Haven't you completed the Genki Dama yet!?\That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already!\I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die!\Piccolo-san... response:	Piccolo may be intent on dying.
context: That Freeza creep is quite thoroughly pissed off!\I- it's no good! This is still going to take some time!\Shoot it! Shoot it, already!\I- it's no use...Just a little longer...\For someone too stubborn to die...Are you still hanging around here?\I'll show you the power of someone too stubborn to die!\Piccolo-san...\Piccolo may be intent on dying. response:	He probably used up the greater part of his power in that blindside attack.
