context: Give me a status report! response:	Ships from Le Garite and De Metrio are exchanging fire.
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire. response:	One of De Metrio's ships has lost control and is falling into our atmosphere.
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere. response:	It's coming down near this ship.
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship. response:	That's...!
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship.\That's...! response:	A De Metrio ship?
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship.\That's...!\A De Metrio ship? response:	What happened?
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship.\That's...!\A De Metrio ship?\What happened? response:	It was attacked!
context: Give me a status report!\Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship.\That's...!\A De Metrio ship?\What happened?\It was attacked! response:	Hey!
context: Ships from Le Garite and De Metrio are exchanging fire.\One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship.\That's...!\A De Metrio ship?\What happened?\It was attacked!\Hey! response:	Ships that have lost their subspace fields can go ahead and break formation!
context: One of De Metrio's ships has lost control and is falling into our atmosphere.\It's coming down near this ship.\That's...!\A De Metrio ship?\What happened?\It was attacked!\Hey!\Ships that have lost their subspace fields can go ahead and break formation! response:	Tell them to avoid returning fire as much as possible!
context: It's coming down near this ship.\That's...!\A De Metrio ship?\What happened?\It was attacked!\Hey!\Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible! response:	Any response from Le Garite?
context: That's...!\A De Metrio ship?\What happened?\It was attacked!\Hey!\Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible!\Any response from Le Garite? response:	We're trying all channels, but they continue to maintain silence.
context: A De Metrio ship?\What happened?\It was attacked!\Hey!\Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible!\Any response from Le Garite?\We're trying all channels, but they continue to maintain silence. response:	What's the meaning of this, Dizelmine?!
context: What happened?\It was attacked!\Hey!\Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible!\Any response from Le Garite?\We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?! response:	How could I even think of breaking my vow
context: It was attacked!\Hey!\Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible!\Any response from Le Garite?\We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow response:	and cease pursuit of my own path?
context: Hey!\Ships that have lost their subspace fields can go ahead and break formation!\Tell them to avoid returning fire as much as possible!\Any response from Le Garite?\We're trying all channels, but they continue to maintain silence.\What's the meaning of this, Dizelmine?!\How could I even think of breaking my vow\and cease pursuit of my own path? response:	I had already decided that day to defeat him, and return the Polyhedron to its rightful form.
