context: Unforgivable! Unforgivable! Unforgivable! response:	What's unforgivable?
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable? response:	Taking advantage of what everyone longs for, a white wedding dress,
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress, response:	and tainting the eternal dream of innocent girls
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls response:	is absolutely unforgivable!
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls\is absolutely unforgivable! response:	In the name of the moon, Sailor Moon will punish you!
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls\is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls\is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Unforgivable! Unforgivable! Unforgivable!\What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls\is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: What's unforgivable?\Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls\is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Taking advantage of what everyone longs for, a white wedding dress,\and tainting the eternal dream of innocent girls\is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: and tainting the eternal dream of innocent girls\is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: is absolutely unforgivable!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
