context: This... isn't obligatory chocolate, is it? response:	Um... couldn't you just make it obligatory chocolate?
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate? response:	What does that mean? You won't accept it if it's honmei chocolate?
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate? response:	The teacher's calling for you. Drop by the office, okay?
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay? response:	Sorry. I'll be right there.
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there. response:	Wait
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there.\Wait response:	I'm a real idiot.
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there.\Wait\I'm a real idiot. response:	Accept it!
context: This... isn't obligatory chocolate, is it?\Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there.\Wait\I'm a real idiot.\Accept it! response:	Heating up! A First Kiss in His Room?
context: Um... couldn't you just make it obligatory chocolate?\What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there.\Wait\I'm a real idiot.\Accept it!\Heating up! A First Kiss in His Room? response:	According to Nakao-chi's information,
context: What does that mean? You won't accept it if it's honmei chocolate?\The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there.\Wait\I'm a real idiot.\Accept it!\Heating up! A First Kiss in His Room?\According to Nakao-chi's information, response:	I don't know.
context: The teacher's calling for you. Drop by the office, okay?\Sorry. I'll be right there.\Wait\I'm a real idiot.\Accept it!\Heating up! A First Kiss in His Room?\According to Nakao-chi's information,\I don't know. response:	Oh? Really?
context: Sorry. I'll be right there.\Wait\I'm a real idiot.\Accept it!\Heating up! A First Kiss in His Room?\According to Nakao-chi's information,\I don't know.\Oh? Really? response:	What does he mean by I don't know?
context: Wait\I'm a real idiot.\Accept it!\Heating up! A First Kiss in His Room?\According to Nakao-chi's information,\I don't know.\Oh? Really?\What does he mean by I don't know? response:	It's cold.
context: I'm a real idiot.\Accept it!\Heating up! A First Kiss in His Room?\According to Nakao-chi's information,\I don't know.\Oh? Really?\What does he mean by I don't know?\It's cold. response:	What is it?
context: Accept it!\Heating up! A First Kiss in His Room?\According to Nakao-chi's information,\I don't know.\Oh? Really?\What does he mean by I don't know?\It's cold.\What is it? response:	Look at this spot right here.
context: Heating up! A First Kiss in His Room?\According to Nakao-chi's information,\I don't know.\Oh? Really?\What does he mean by I don't know?\It's cold.\What is it?\Look at this spot right here. response:	It's been a week, and it's still red.
context: According to Nakao-chi's information,\I don't know.\Oh? Really?\What does he mean by I don't know?\It's cold.\What is it?\Look at this spot right here.\It's been a week, and it's still red. response:	You hit me with the corner of that box.
context: I don't know.\Oh? Really?\What does he mean by I don't know?\It's cold.\What is it?\Look at this spot right here.\It's been a week, and it's still red.\You hit me with the corner of that box. response:	It was damn careless.
context: Oh? Really?\What does he mean by I don't know?\It's cold.\What is it?\Look at this spot right here.\It's been a week, and it's still red.\You hit me with the corner of that box.\It was damn careless. response:	Shut up, would you.
context: What does he mean by I don't know?\It's cold.\What is it?\Look at this spot right here.\It's been a week, and it's still red.\You hit me with the corner of that box.\It was damn careless.\Shut up, would you. response:	Are you seriously going to go around behaving like this?
context: It's cold.\What is it?\Look at this spot right here.\It's been a week, and it's still red.\You hit me with the corner of that box.\It was damn careless.\Shut up, would you.\Are you seriously going to go around behaving like this? response:	You might get arrested for assault.
context: What is it?\Look at this spot right here.\It's been a week, and it's still red.\You hit me with the corner of that box.\It was damn careless.\Shut up, would you.\Are you seriously going to go around behaving like this?\You might get arrested for assault. response:	What's that supposed to mean? I don't understand.
context: Look at this spot right here.\It's been a week, and it's still red.\You hit me with the corner of that box.\It was damn careless.\Shut up, would you.\Are you seriously going to go around behaving like this?\You might get arrested for assault.\What's that supposed to mean? I don't understand. response:	You idiot. I'm the one who doesn't understand.
context: It's been a week, and it's still red.\You hit me with the corner of that box.\It was damn careless.\Shut up, would you.\Are you seriously going to go around behaving like this?\You might get arrested for assault.\What's that supposed to mean? I don't understand.\You idiot. I'm the one who doesn't understand. response:	Is that any way to give someone honmei chocolate?
