context: So far, he's hit a right fly and been struck-out. response:	So far, he's hit a right fly and been struck-out. Something's off.
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off. response:	So far, he's hit a right fly and been struck-out.
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out. response:	There's the first pitch. It's a ball.
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball. response:	There's the first pitch. It's a ball. Something's off.
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off. response:	Kumamoto's pitcher, Suzuki, had started the game...
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game... response:	Kumamoto's pitcher, Suzuki, had started the game... Something's off.
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off. response:	Kumamoto's pitcher, Suzuki, had started the game...
context: So far, he's hit a right fly and been struck-out.\So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game... response:	Something seems off. It just somehow felt that way.
context: So far, he's hit a right fly and been struck-out. Something's off.\So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way. response:	What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.
context: So far, he's hit a right fly and been struck-out.\There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way. response:	What an incredible spirit, he's able to keep going despite giving up seven runs.
context: There's the first pitch. It's a ball.\There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. response:	What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,
context: There's the first pitch. It's a ball. Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV, response:	I had absolutely no interest in the prefectural baseball game on TV,
context: Kumamoto's pitcher, Suzuki, had started the game...\Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV, response:	The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,
context: Kumamoto's pitcher, Suzuki, had started the game... Something's off.\Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV, response:	And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.
context: Kumamoto's pitcher, Suzuki, had started the game...\Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side. response:	But I kind of ended up rooting for the losing side.
context: Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side. response:	The score is still seven to zero. But I kind of ended up rooting for the losing side.
context: What an incredible spirit, he's able to keep going despite giving up seven runs. Something seems off. It just somehow felt that way.\What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side. response:	The score is still seven to zero.
context: What an incredible spirit, he's able to keep going despite giving up seven runs.\What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero. response:	The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.
context: What an incredible spirit, he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something. response:	The score is still seven to zero.
context: I had absolutely no interest in the prefectural baseball game on TV,\The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero. response:	The score is still seven to zero. Incoming call: Haruhi Suzumiya
context: The second pitch is... I had absolutely no interest in the prefectural baseball game on TV,\And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya response:	The score is still seven to zero.
context: And it's up... a left fly ball. One out. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero. response:	The gap between the scores is big,
context: But I kind of ended up rooting for the losing side.\The score is still seven to zero. But I kind of ended up rooting for the losing side.\The score is still seven to zero.\The score is still seven to zero. Once I did, I kind of got the feeling that Haruhi was going to start something.\The score is still seven to zero.\The score is still seven to zero. Incoming call: Haruhi Suzumiya\The score is still seven to zero.\The gap between the scores is big, response:	but Kumamoto still has a chance if they can hold out here.
