context: Crap, that's the second bell. response:	We're not going to make it!
context: Crap, that's the second bell.\We're not going to make it! response:	Damn it! Whose fault is it this time?!
context: Crap, that's the second bell.\We're not going to make it!\Damn it! Whose fault is it this time?! response:	It's yours!
context: Crap, that's the second bell.\We're not going to make it!\Damn it! Whose fault is it this time?!\It's yours! response:	And now we're all late!
context: Crap, that's the second bell.\We're not going to make it!\Damn it! Whose fault is it this time?!\It's yours!\And now we're all late! response:	Geez!
context: Crap, that's the second bell.\We're not going to make it!\Damn it! Whose fault is it this time?!\It's yours!\And now we're all late!\Geez! response:	You're all in the same class, so get Rin in there first to get yourselves excused!
context: Crap, that's the second bell.\We're not going to make it!\Damn it! Whose fault is it this time?!\It's yours!\And now we're all late!\Geez!\You're all in the same class, so get Rin in there first to get yourselves excused! response:	Just Rin? How?
context: Crap, that's the second bell.\We're not going to make it!\Damn it! Whose fault is it this time?!\It's yours!\And now we're all late!\Geez!\You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How? response:	Throw her to the third floor!
context: We're not going to make it!\Damn it! Whose fault is it this time?!\It's yours!\And now we're all late!\Geez!\You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How?\Throw her to the third floor! response:	It'll be easy enough if Kengo and Masato work together!
context: Damn it! Whose fault is it this time?!\It's yours!\And now we're all late!\Geez!\You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How?\Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together! response:	No way...
context: It's yours!\And now we're all late!\Geez!\You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How?\Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together!\No way... response:	Shouldn't be a problem with Rin's reflexes.
context: And now we're all late!\Geez!\You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How?\Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together!\No way...\Shouldn't be a problem with Rin's reflexes. response:	Why do I have to work with this loser?
context: Geez!\You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How?\Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together!\No way...\Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser? response:	Same to you!
context: You're all in the same class, so get Rin in there first to get yourselves excused!\Just Rin? How?\Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together!\No way...\Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser?\Same to you! response:	Come on! We're out of time!
context: Just Rin? How?\Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together!\No way...\Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser?\Same to you!\Come on! We're out of time! response:	We have no choice.
context: Throw her to the third floor!\It'll be easy enough if Kengo and Masato work together!\No way...\Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser?\Same to you!\Come on! We're out of time!\We have no choice. response:	This is too dangerous for you.
context: It'll be easy enough if Kengo and Masato work together!\No way...\Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser?\Same to you!\Come on! We're out of time!\We have no choice.\This is too dangerous for you. response:	Wait here.
context: No way...\Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser?\Same to you!\Come on! We're out of time!\We have no choice.\This is too dangerous for you.\Wait here. response:	Mission, start!
context: Shouldn't be a problem with Rin's reflexes.\Why do I have to work with this loser?\Same to you!\Come on! We're out of time!\We have no choice.\This is too dangerous for you.\Wait here.\Mission, start! response:	Hey, nice lift, man!
context: Why do I have to work with this loser?\Same to you!\Come on! We're out of time!\We have no choice.\This is too dangerous for you.\Wait here.\Mission, start!\Hey, nice lift, man! response:	Yeah!
context: Same to you!\Come on! We're out of time!\We have no choice.\This is too dangerous for you.\Wait here.\Mission, start!\Hey, nice lift, man!\Yeah! response:	Mission complete!
context: Come on! We're out of time!\We have no choice.\This is too dangerous for you.\Wait here.\Mission, start!\Hey, nice lift, man!\Yeah!\Mission complete! response:	But seriously, Rin must have hit a record altitude!
context: We have no choice.\This is too dangerous for you.\Wait here.\Mission, start!\Hey, nice lift, man!\Yeah!\Mission complete!\But seriously, Rin must have hit a record altitude! response:	My muscles are awesome.
context: This is too dangerous for you.\Wait here.\Mission, start!\Hey, nice lift, man!\Yeah!\Mission complete!\But seriously, Rin must have hit a record altitude!\My muscles are awesome. response:	What's that about awesome, Retard?!
context: Wait here.\Mission, start!\Hey, nice lift, man!\Yeah!\Mission complete!\But seriously, Rin must have hit a record altitude!\My muscles are awesome.\What's that about awesome, Retard?! response:	I'll throw gentler next time...
context: Mission, start!\Hey, nice lift, man!\Yeah!\Mission complete!\But seriously, Rin must have hit a record altitude!\My muscles are awesome.\What's that about awesome, Retard?!\I'll throw gentler next time... response:	There won't be a next time!
context: Hey, nice lift, man!\Yeah!\Mission complete!\But seriously, Rin must have hit a record altitude!\My muscles are awesome.\What's that about awesome, Retard?!\I'll throw gentler next time...\There won't be a next time! response:	Nice catch!
context: Yeah!\Mission complete!\But seriously, Rin must have hit a record altitude!\My muscles are awesome.\What's that about awesome, Retard?!\I'll throw gentler next time...\There won't be a next time!\Nice catch! response:	Wafuu!
context: Mission complete!\But seriously, Rin must have hit a record altitude!\My muscles are awesome.\What's that about awesome, Retard?!\I'll throw gentler next time...\There won't be a next time!\Nice catch!\Wafuu! response:	Kud!
context: But seriously, Rin must have hit a record altitude!\My muscles are awesome.\What's that about awesome, Retard?!\I'll throw gentler next time...\There won't be a next time!\Nice catch!\Wafuu!\Kud! response:	Naoe-san!
context: My muscles are awesome.\What's that about awesome, Retard?!\I'll throw gentler next time...\There won't be a next time!\Nice catch!\Wafuu!\Kud!\Naoe-san! response:	And, um, Rin-san and Inohara-san.
context: What's that about awesome, Retard?!\I'll throw gentler next time...\There won't be a next time!\Nice catch!\Wafuu!\Kud!\Naoe-san!\And, um, Rin-san and Inohara-san. response:	You can call me Muscles-san, too.
context: I'll throw gentler next time...\There won't be a next time!\Nice catch!\Wafuu!\Kud!\Naoe-san!\And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too. response:	Wafu, wafu!
context: There won't be a next time!\Nice catch!\Wafuu!\Kud!\Naoe-san!\And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too.\Wafu, wafu! response:	Weren't these dogs...
context: Nice catch!\Wafuu!\Kud!\Naoe-san!\And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too.\Wafu, wafu!\Weren't these dogs... response:	Let me introduce you!
context: Wafuu!\Kud!\Naoe-san!\And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too.\Wafu, wafu!\Weren't these dogs...\Let me introduce you! response:	This is Strelka,
context: Kud!\Naoe-san!\And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too.\Wafu, wafu!\Weren't these dogs...\Let me introduce you!\This is Strelka, response:	and this is Belka.
context: Naoe-san!\And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too.\Wafu, wafu!\Weren't these dogs...\Let me introduce you!\This is Strelka,\and this is Belka. response:	They're helping the Disciplinary Committee with their patrols.
context: And, um, Rin-san and Inohara-san.\You can call me Muscles-san, too.\Wafu, wafu!\Weren't these dogs...\Let me introduce you!\This is Strelka,\and this is Belka.\They're helping the Disciplinary Committee with their patrols. response:	They're my grandpa's dogs.
context: You can call me Muscles-san, too.\Wafu, wafu!\Weren't these dogs...\Let me introduce you!\This is Strelka,\and this is Belka.\They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs. response:	He sent them here from Finland so I wouldn't be lonely.
context: Wafu, wafu!\Weren't these dogs...\Let me introduce you!\This is Strelka,\and this is Belka.\They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely. response:	Oh?
context: Weren't these dogs...\Let me introduce you!\This is Strelka,\and this is Belka.\They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely.\Oh? response:	That's nice of him.
context: Let me introduce you!\This is Strelka,\and this is Belka.\They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely.\Oh?\That's nice of him. response:	Strelka is a girl.
context: This is Strelka,\and this is Belka.\They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely.\Oh?\That's nice of him.\Strelka is a girl. response:	Coincidentally, I'm a girl too.
context: and this is Belka.\They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely.\Oh?\That's nice of him.\Strelka is a girl.\Coincidentally, I'm a girl too. response:	I think we knew that.
context: They're helping the Disciplinary Committee with their patrols.\They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely.\Oh?\That's nice of him.\Strelka is a girl.\Coincidentally, I'm a girl too.\I think we knew that. response:	So I'm Strelka and Belka's big sister!
context: They're my grandpa's dogs.\He sent them here from Finland so I wouldn't be lonely.\Oh?\That's nice of him.\Strelka is a girl.\Coincidentally, I'm a girl too.\I think we knew that.\So I'm Strelka and Belka's big sister! response:	Big sister?
context: He sent them here from Finland so I wouldn't be lonely.\Oh?\That's nice of him.\Strelka is a girl.\Coincidentally, I'm a girl too.\I think we knew that.\So I'm Strelka and Belka's big sister!\Big sister? response:	I've been taking care of them since they were this little.
context: Oh?\That's nice of him.\Strelka is a girl.\Coincidentally, I'm a girl too.\I think we knew that.\So I'm Strelka and Belka's big sister!\Big sister?\I've been taking care of them since they were this little. response:	They were naughty little rascals back then.
context: That's nice of him.\Strelka is a girl.\Coincidentally, I'm a girl too.\I think we knew that.\So I'm Strelka and Belka's big sister!\Big sister?\I've been taking care of them since they were this little.\They were naughty little rascals back then. response:	They're dogs, but they're even smarter than me now.
context: Strelka is a girl.\Coincidentally, I'm a girl too.\I think we knew that.\So I'm Strelka and Belka's big sister!\Big sister?\I've been taking care of them since they were this little.\They were naughty little rascals back then.\They're dogs, but they're even smarter than me now. response:	The fact that you admit that is, uh...
context: Coincidentally, I'm a girl too.\I think we knew that.\So I'm Strelka and Belka's big sister!\Big sister?\I've been taking care of them since they were this little.\They were naughty little rascals back then.\They're dogs, but they're even smarter than me now.\The fact that you admit that is, uh... response:	They want to play more!
