context: In the northern area... response:	Multiple Ashikabis and Sekireis are moving suspiciously...
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously... response:	I see, in the north, huh?
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh? response:	Red is heading there.
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh?\Red is heading there. response:	Don't you mind letting Red have all the fun by herself?
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh?\Red is heading there.\Don't you mind letting Red have all the fun by herself? response:	I'll go, too.
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh?\Red is heading there.\Don't you mind letting Red have all the fun by herself?\I'll go, too. response:	Ah, that's better.
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh?\Red is heading there.\Don't you mind letting Red have all the fun by herself?\I'll go, too.\Ah, that's better. response:	Hey, did the Discipline Squad exist before I became an Ashikabi?
context: In the northern area...\Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh?\Red is heading there.\Don't you mind letting Red have all the fun by herself?\I'll go, too.\Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi? response:	Yes, it did. It was only two of us then, though...
context: Multiple Ashikabis and Sekireis are moving suspiciously...\I see, in the north, huh?\Red is heading there.\Don't you mind letting Red have all the fun by herself?\I'll go, too.\Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though... response:	The Sekirei of Fate, Number 08, Yume.
context: I see, in the north, huh?\Red is heading there.\Don't you mind letting Red have all the fun by herself?\I'll go, too.\Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume. response:	An individual Sekirei larva was stolen by underground operatives!
context: Red is heading there.\Don't you mind letting Red have all the fun by herself?\I'll go, too.\Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives! response:	Retrieve it without fail!
context: Don't you mind letting Red have all the fun by herself?\I'll go, too.\Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail! response:	The Sekirei engine was destroyed.
context: I'll go, too.\Ah, that's better.\Hey, did the Discipline Squad exist before I became an Ashikabi?\Yes, it did. It was only two of us then, though...\The Sekirei of Fate, Number 08, Yume.\An individual Sekirei larva was stolen by underground operatives!\Retrieve it without fail!\The Sekirei engine was destroyed. response:	That chick's done.
