context: Sorry. response:	What?
context: Sorry.\What? response:	What gives, Yahiro?
context: Sorry.\What?\What gives, Yahiro? response:	What gives?!
context: Sorry.\What?\What gives, Yahiro?\What gives?! response:	Ouma?
context: Sorry.\What?\What gives, Yahiro?\What gives?!\Ouma? response:	What a good friend you have.
context: Sorry.\What?\What gives, Yahiro?\What gives?!\Ouma?\What a good friend you have. response:	No, Inori.
context: Sorry.\What?\What gives, Yahiro?\What gives?!\Ouma?\What a good friend you have.\No, Inori. response:	But...
context: Sorry.\What?\What gives, Yahiro?\What gives?!\Ouma?\What a good friend you have.\No, Inori.\But... response:	Those are Gai's orders.
context: What?\What gives, Yahiro?\What gives?!\Ouma?\What a good friend you have.\No, Inori.\But...\Those are Gai's orders. response:	I'm not going to apologize.
context: What gives, Yahiro?\What gives?!\Ouma?\What a good friend you have.\No, Inori.\But...\Those are Gai's orders.\I'm not going to apologize. response:	This is an insane, unfair world.
context: What gives?!\Ouma?\What a good friend you have.\No, Inori.\But...\Those are Gai's orders.\I'm not going to apologize.\This is an insane, unfair world. response:	Ouma, I have a question for you.
context: Ouma?\What a good friend you have.\No, Inori.\But...\Those are Gai's orders.\I'm not going to apologize.\This is an insane, unfair world.\Ouma, I have a question for you. response:	Close-fitting underwear or tights.
context: What a good friend you have.\No, Inori.\But...\Those are Gai's orders.\I'm not going to apologize.\This is an insane, unfair world.\Ouma, I have a question for you.\Close-fitting underwear or tights. response:	Sometimes called spats or caleCon.
context: No, Inori.\But...\Those are Gai's orders.\I'm not going to apologize.\This is an insane, unfair world.\Ouma, I have a question for you.\Close-fitting underwear or tights.\Sometimes called spats or caleCon. response:	Eight letters long.
context: But...\Those are Gai's orders.\I'm not going to apologize.\This is an insane, unfair world.\Ouma, I have a question for you.\Close-fitting underwear or tights.\Sometimes called spats or caleCon.\Eight letters long. response:	What do you think it is?
context: Those are Gai's orders.\I'm not going to apologize.\This is an insane, unfair world.\Ouma, I have a question for you.\Close-fitting underwear or tights.\Sometimes called spats or caleCon.\Eight letters long.\What do you think it is? response:	I don't know.
context: I'm not going to apologize.\This is an insane, unfair world.\Ouma, I have a question for you.\Close-fitting underwear or tights.\Sometimes called spats or caleCon.\Eight letters long.\What do you think it is?\I don't know. response:	Why?
context: This is an insane, unfair world.\Ouma, I have a question for you.\Close-fitting underwear or tights.\Sometimes called spats or caleCon.\Eight letters long.\What do you think it is?\I don't know.\Why? response:	I got duped.
context: Ouma, I have a question for you.\Close-fitting underwear or tights.\Sometimes called spats or caleCon.\Eight letters long.\What do you think it is?\I don't know.\Why?\I got duped. response:	I was stupid.
context: Close-fitting underwear or tights.\Sometimes called spats or caleCon.\Eight letters long.\What do you think it is?\I don't know.\Why?\I got duped.\I was stupid. response:	I was so stupid.
context: Sometimes called spats or caleCon.\Eight letters long.\What do you think it is?\I don't know.\Why?\I got duped.\I was stupid.\I was so stupid. response:	It's leggings!
context: Eight letters long.\What do you think it is?\I don't know.\Why?\I got duped.\I was stupid.\I was so stupid.\It's leggings! response:	Okay, leggings...
context: What do you think it is?\I don't know.\Why?\I got duped.\I was stupid.\I was so stupid.\It's leggings!\Okay, leggings... response:	I hate leaving blank spaces in my puzzles, you see.
context: I don't know.\Why?\I got duped.\I was stupid.\I was so stupid.\It's leggings!\Okay, leggings...\I hate leaving blank spaces in my puzzles, you see. response:	So I'd like you to help fill in a few blanks for me.
context: Why?\I got duped.\I was stupid.\I was so stupid.\It's leggings!\Okay, leggings...\I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me. response:	I've prepared a room you can think quietly in, though it's a bit small.
context: I got duped.\I was stupid.\I was so stupid.\It's leggings!\Okay, leggings...\I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small. response:	What? Shu was taken by GHQ?!
context: I was stupid.\I was so stupid.\It's leggings!\Okay, leggings...\I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?! response:	Why him?!
context: I was so stupid.\It's leggings!\Okay, leggings...\I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?!\Why him?! response:	It surprised me too, so I confirmed it with the teacher,
context: It's leggings!\Okay, leggings...\I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?!\Why him?!\It surprised me too, so I confirmed it with the teacher, response:	but we still don't know anything...
context: Okay, leggings...\I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?!\Why him?!\It surprised me too, so I confirmed it with the teacher,\but we still don't know anything... response:	Shu...
context: I hate leaving blank spaces in my puzzles, you see.\So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?!\Why him?!\It surprised me too, so I confirmed it with the teacher,\but we still don't know anything...\Shu... response:	For real?
context: So I'd like you to help fill in a few blanks for me.\I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?!\Why him?!\It surprised me too, so I confirmed it with the teacher,\but we still don't know anything...\Shu...\For real? response:	This can't be real!
context: I've prepared a room you can think quietly in, though it's a bit small.\What? Shu was taken by GHQ?!\Why him?!\It surprised me too, so I confirmed it with the teacher,\but we still don't know anything...\Shu...\For real?\This can't be real! response:	Sounds like he's in trouble.
context: What? Shu was taken by GHQ?!\Why him?!\It surprised me too, so I confirmed it with the teacher,\but we still don't know anything...\Shu...\For real?\This can't be real!\Sounds like he's in trouble. response:	Try doing a search on it!
context: Why him?!\It surprised me too, so I confirmed it with the teacher,\but we still don't know anything...\Shu...\For real?\This can't be real!\Sounds like he's in trouble.\Try doing a search on it! response:	You brought in Dr. Ouma's son?
context: It surprised me too, so I confirmed it with the teacher,\but we still don't know anything...\Shu...\For real?\This can't be real!\Sounds like he's in trouble.\Try doing a search on it!\You brought in Dr. Ouma's son? response:	Yes. I detained him on suspected ties to Undertaker.
context: but we still don't know anything...\Shu...\For real?\This can't be real!\Sounds like he's in trouble.\Try doing a search on it!\You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker. response:	Have I offended you, Sir?
context: Shu...\For real?\This can't be real!\Sounds like he's in trouble.\Try doing a search on it!\You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir? response:	That's not why I called. What's your impression?
context: For real?\This can't be real!\Sounds like he's in trouble.\Try doing a search on it!\You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir?\That's not why I called. What's your impression? response:	Guilty. There's no doubt he's tied to them somehow.
context: This can't be real!\Sounds like he's in trouble.\Try doing a search on it!\You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir?\That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow. response:	These are presents from Samukawa.
context: Sounds like he's in trouble.\Try doing a search on it!\You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir?\That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa. response:	This is Tsutsugami Gai, the leader of Undertaker.
context: Try doing a search on it!\You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir?\That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker. response:	What could a boy like you be doing in a place like that,
context: You brought in Dr. Ouma's son?\Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir?\That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that, response:	talking to someone like him?
context: Yes. I detained him on suspected ties to Undertaker.\Have I offended you, Sir?\That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that,\talking to someone like him? response:	Ask Gai that.
context: Have I offended you, Sir?\That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that,\talking to someone like him?\Ask Gai that. response:	Hey, Ouma.
context: That's not why I called. What's your impression?\Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that,\talking to someone like him?\Ask Gai that.\Hey, Ouma. response:	The food here isn't very good, I must say.
context: Guilty. There's no doubt he's tied to them somehow.\These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that,\talking to someone like him?\Ask Gai that.\Hey, Ouma.\The food here isn't very good, I must say. response:	I hadn't eaten those soft processed noodles since the school lunch line.
context: These are presents from Samukawa.\This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that,\talking to someone like him?\Ask Gai that.\Hey, Ouma.\The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line. response:	Think that over carefully before you say anything.
context: This is Tsutsugami Gai, the leader of Undertaker.\What could a boy like you be doing in a place like that,\talking to someone like him?\Ask Gai that.\Hey, Ouma.\The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything. response:	As you can see, he's staying silent,
context: What could a boy like you be doing in a place like that,\talking to someone like him?\Ask Gai that.\Hey, Ouma.\The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything.\As you can see, he's staying silent, response:	but considering that he calls their presumed leader by his first name
context: talking to someone like him?\Ask Gai that.\Hey, Ouma.\The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything.\As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name response:	despite displaying none of the ideological fixation typical of terrorists,
context: Ask Gai that.\Hey, Ouma.\The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything.\As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists, response:	it appears he's no ordinary member.
context: Hey, Ouma.\The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything.\As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member. response:	In short, he's a mystery.
context: The food here isn't very good, I must say.\I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything.\As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member.\In short, he's a mystery. response:	Take a look at this, Major Segai.
context: I hadn't eaten those soft processed noodles since the school lunch line.\Think that over carefully before you say anything.\As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member.\In short, he's a mystery.\Take a look at this, Major Segai. response:	It was sent to multiple news portals seven minutes ago.
context: Think that over carefully before you say anything.\As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member.\In short, he's a mystery.\Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago. response:	Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.
context: As you can see, he's staying silent,\but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member.\In short, he's a mystery.\Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four. response:	Resistance is futile.
context: but considering that he calls their presumed leader by his first name\despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member.\In short, he's a mystery.\Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile. response:	We will rescue our comrade without fail.
context: despite displaying none of the ideological fixation typical of terrorists,\it appears he's no ordinary member.\In short, he's a mystery.\Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile.\We will rescue our comrade without fail. response:	My, my, an advance notice of their crime?
context: it appears he's no ordinary member.\In short, he's a mystery.\Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile.\We will rescue our comrade without fail.\My, my, an advance notice of their crime? response:	Sir, I just had an idea.
context: In short, he's a mystery.\Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile.\We will rescue our comrade without fail.\My, my, an advance notice of their crime?\Sir, I just had an idea. response:	Circumstances have changed.
context: Take a look at this, Major Segai.\It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile.\We will rescue our comrade without fail.\My, my, an advance notice of their crime?\Sir, I just had an idea.\Circumstances have changed. response:	I believe I'll go ahead and tell you everything.
context: It was sent to multiple news portals seven minutes ago.\Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile.\We will rescue our comrade without fail.\My, my, an advance notice of their crime?\Sir, I just had an idea.\Circumstances have changed.\I believe I'll go ahead and tell you everything. response:	Apologies for these elaborate precautions.
context: Tomorrow, Undertaker will raid GHQ's Isolation Facility Four.\Resistance is futile.\We will rescue our comrade without fail.\My, my, an advance notice of their crime?\Sir, I just had an idea.\Circumstances have changed.\I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions. response:	Since we're currently in a state of emergency,
context: Resistance is futile.\We will rescue our comrade without fail.\My, my, an advance notice of their crime?\Sir, I just had an idea.\Circumstances have changed.\I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions.\Since we're currently in a state of emergency, response:	we're forced to tighten security on a certain prisoner underneath that tower.
context: We will rescue our comrade without fail.\My, my, an advance notice of their crime?\Sir, I just had an idea.\Circumstances have changed.\I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions.\Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower. response:	But I'll save the details for later.
context: My, my, an advance notice of their crime?\Sir, I just had an idea.\Circumstances have changed.\I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions.\Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later. response:	For now, there's something I'd like you to see.
context: Sir, I just had an idea.\Circumstances have changed.\I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions.\Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later.\For now, there's something I'd like you to see. response:	This is our isolation ward.
context: Circumstances have changed.\I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions.\Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later.\For now, there's something I'd like you to see.\This is our isolation ward. response:	This entire facility was originally built for the sake of this ward.
context: I believe I'll go ahead and tell you everything.\Apologies for these elaborate precautions.\Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later.\For now, there's something I'd like you to see.\This is our isolation ward.\This entire facility was originally built for the sake of this ward. response:	And the reason Samukawa sold you out is here as well.
context: Apologies for these elaborate precautions.\Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later.\For now, there's something I'd like you to see.\This is our isolation ward.\This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well. response:	He is not an addict.
context: Since we're currently in a state of emergency,\we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later.\For now, there's something I'd like you to see.\This is our isolation ward.\This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well.\He is not an addict. response:	Sugar was a Norma Gene dealer.
context: we're forced to tighten security on a certain prisoner underneath that tower.\But I'll save the details for later.\For now, there's something I'd like you to see.\This is our isolation ward.\This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well.\He is not an addict.\Sugar was a Norma Gene dealer. response:	He was inside the Roppongi blockade that day to make a deal.
context: But I'll save the details for later.\For now, there's something I'd like you to see.\This is our isolation ward.\This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well.\He is not an addict.\Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal. response:	You see, he desperately needed to make money.
context: For now, there's something I'd like you to see.\This is our isolation ward.\This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well.\He is not an addict.\Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money. response:	Look down there, and you'll see why.
context: This is our isolation ward.\This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well.\He is not an addict.\Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money.\Look down there, and you'll see why. response:	What is this place?
context: This entire facility was originally built for the sake of this ward.\And the reason Samukawa sold you out is here as well.\He is not an addict.\Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money.\Look down there, and you'll see why.\What is this place? response:	Yahiro?
context: And the reason Samukawa sold you out is here as well.\He is not an addict.\Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money.\Look down there, and you'll see why.\What is this place?\Yahiro? response:	Who's that sleeping there?
context: He is not an addict.\Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money.\Look down there, and you'll see why.\What is this place?\Yahiro?\Who's that sleeping there? response:	He's Yahiro's younger brother. His name is Samukawa Jun.
context: Sugar was a Norma Gene dealer.\He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money.\Look down there, and you'll see why.\What is this place?\Yahiro?\Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun. response:	Is it your first time seeing that?
context: He was inside the Roppongi blockade that day to make a deal.\You see, he desperately needed to make money.\Look down there, and you'll see why.\What is this place?\Yahiro?\Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that? response:	It's what an Apocalyse Virus patient looks like when he reaches Stage IV.
context: You see, he desperately needed to make money.\Look down there, and you'll see why.\What is this place?\Yahiro?\Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV. response:	Among other things, this is a cutting-edge facility for providing relief
context: Look down there, and you'll see why.\What is this place?\Yahiro?\Who's that sleeping there?\He's Yahiro's younger brother. His name is Samukawa Jun.\Is it your first time seeing that?\It's what an Apocalyse Virus patient looks like when he reaches Stage IV.\Among other things, this is a cutting-edge facility for providing relief response:	to those who were infected in an unforeseen accident
