context: How beautiful you must have been when you were alive... response:	Midoriko.
context: How beautiful you must have been when you were alive...\Midoriko. response:	Was it that beauty that gave you the power
context: How beautiful you must have been when you were alive...\Midoriko.\Was it that beauty that gave you the power response:	to create the Sacred Jewel?
context: How beautiful you must have been when you were alive...\Midoriko.\Was it that beauty that gave you the power\to create the Sacred Jewel? response:	Said to give powerto those who possess it and grant theirevery wish...
context: How beautiful you must have been when you were alive...\Midoriko.\Was it that beauty that gave you the power\to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish... response:	the Sacred Jewel.
context: How beautiful you must have been when you were alive...\Midoriko.\Was it that beauty that gave you the power\to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel. response:	It was from that time,
context: How beautiful you must have been when you were alive...\Midoriko.\Was it that beauty that gave you the power\to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel.\It was from that time, response:	to search forthe shards of the Sacred Jewel,
context: How beautiful you must have been when you were alive...\Midoriko.\Was it that beauty that gave you the power\to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel.\It was from that time,\to search forthe shards of the Sacred Jewel, response:	that ourjourney began.
context: Midoriko.\Was it that beauty that gave you the power\to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel.\It was from that time,\to search forthe shards of the Sacred Jewel,\that ourjourney began. response:	We continue ourpursuit of Naraku
context: Was it that beauty that gave you the power\to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel.\It was from that time,\to search forthe shards of the Sacred Jewel,\that ourjourney began.\We continue ourpursuit of Naraku response:	who possesses most of the Sacred Jewel shards.
context: to create the Sacred Jewel?\Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel.\It was from that time,\to search forthe shards of the Sacred Jewel,\that ourjourney began.\We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards. response:	The breeze feels so nice.
context: Said to give powerto those who possess it and grant theirevery wish...\the Sacred Jewel.\It was from that time,\to search forthe shards of the Sacred Jewel,\that ourjourney began.\We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards.\The breeze feels so nice. response:	So peaceful...
context: the Sacred Jewel.\It was from that time,\to search forthe shards of the Sacred Jewel,\that ourjourney began.\We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards.\The breeze feels so nice.\So peaceful... response:	We haven't found a single clue to Naraku's whereabouts!
context: It was from that time,\to search forthe shards of the Sacred Jewel,\that ourjourney began.\We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards.\The breeze feels so nice.\So peaceful...\We haven't found a single clue to Naraku's whereabouts! response:	And here you are, wasting time like this!
context: to search forthe shards of the Sacred Jewel,\that ourjourney began.\We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards.\The breeze feels so nice.\So peaceful...\We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this! response:	Hurry up and eat!
context: that ourjourney began.\We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards.\The breeze feels so nice.\So peaceful...\We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this!\Hurry up and eat! response:	And because of Naraku's disappearance,
context: We continue ourpursuit of Naraku\who possesses most of the Sacred Jewel shards.\The breeze feels so nice.\So peaceful...\We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this!\Hurry up and eat!\And because of Naraku's disappearance, response:	all sorts of demons who have lain low all this time
context: who possesses most of the Sacred Jewel shards.\The breeze feels so nice.\So peaceful...\We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this!\Hurry up and eat!\And because of Naraku's disappearance,\all sorts of demons who have lain low all this time response:	are coming out of the woodwork.
context: The breeze feels so nice.\So peaceful...\We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this!\Hurry up and eat!\And because of Naraku's disappearance,\all sorts of demons who have lain low all this time\are coming out of the woodwork. response:	It's terrible.
context: So peaceful...\We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this!\Hurry up and eat!\And because of Naraku's disappearance,\all sorts of demons who have lain low all this time\are coming out of the woodwork.\It's terrible. response:	So what'll we do?
context: We haven't found a single clue to Naraku's whereabouts!\And here you are, wasting time like this!\Hurry up and eat!\And because of Naraku's disappearance,\all sorts of demons who have lain low all this time\are coming out of the woodwork.\It's terrible.\So what'll we do? response:	ljust want to be able to enjoy my meal at least!
context: And here you are, wasting time like this!\Hurry up and eat!\And because of Naraku's disappearance,\all sorts of demons who have lain low all this time\are coming out of the woodwork.\It's terrible.\So what'll we do?\ljust want to be able to enjoy my meal at least! response:	Grow up a little, Inuyasha.
context: Hurry up and eat!\And because of Naraku's disappearance,\all sorts of demons who have lain low all this time\are coming out of the woodwork.\It's terrible.\So what'll we do?\ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha. response:	What?!
context: And because of Naraku's disappearance,\all sorts of demons who have lain low all this time\are coming out of the woodwork.\It's terrible.\So what'll we do?\ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha.\What?! response:	Unlike us powerful demons,
context: all sorts of demons who have lain low all this time\are coming out of the woodwork.\It's terrible.\So what'll we do?\ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha.\What?!\Unlike us powerful demons, response:	Kagome, Sango and Miroku are weak mortals.
context: are coming out of the woodwork.\It's terrible.\So what'll we do?\ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha.\What?!\Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals. response:	Don't ask for the impossible.
context: It's terrible.\So what'll we do?\ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha.\What?!\Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible. response:	Did he call us weak mortals?
context: So what'll we do?\ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha.\What?!\Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible.\Did he call us weak mortals? response:	It helps that Shippo is so mature.
context: ljust want to be able to enjoy my meal at least!\Grow up a little, Inuyasha.\What?!\Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible.\Did he call us weak mortals?\It helps that Shippo is so mature. response:	What? Did I say something weird?
context: Grow up a little, Inuyasha.\What?!\Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible.\Did he call us weak mortals?\It helps that Shippo is so mature.\What? Did I say something weird? response:	Not at all.
context: What?!\Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible.\Did he call us weak mortals?\It helps that Shippo is so mature.\What? Did I say something weird?\Not at all. response:	I'm not wrong, am I?
context: Unlike us powerful demons,\Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible.\Did he call us weak mortals?\It helps that Shippo is so mature.\What? Did I say something weird?\Not at all.\I'm not wrong, am I? response:	Who's the powerful demon?
context: Kagome, Sango and Miroku are weak mortals.\Don't ask for the impossible.\Did he call us weak mortals?\It helps that Shippo is so mature.\What? Did I say something weird?\Not at all.\I'm not wrong, am I?\Who's the powerful demon? response:	Dammit all!
context: Don't ask for the impossible.\Did he call us weak mortals?\It helps that Shippo is so mature.\What? Did I say something weird?\Not at all.\I'm not wrong, am I?\Who's the powerful demon?\Dammit all! response:	Just wake me when you're done eating.
context: Did he call us weak mortals?\It helps that Shippo is so mature.\What? Did I say something weird?\Not at all.\I'm not wrong, am I?\Who's the powerful demon?\Dammit all!\Just wake me when you're done eating. response:	Okay.
context: It helps that Shippo is so mature.\What? Did I say something weird?\Not at all.\I'm not wrong, am I?\Who's the powerful demon?\Dammit all!\Just wake me when you're done eating.\Okay. response:	Hmm... the air feels great and the riceball is delicious!
context: What? Did I say something weird?\Not at all.\I'm not wrong, am I?\Who's the powerful demon?\Dammit all!\Just wake me when you're done eating.\Okay.\Hmm... the air feels great and the riceball is delicious! response:	- Such nice weather! - And fine weather.
context: Not at all.\I'm not wrong, am I?\Who's the powerful demon?\Dammit all!\Just wake me when you're done eating.\Okay.\Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather. response:	What's this?!
context: I'm not wrong, am I?\Who's the powerful demon?\Dammit all!\Just wake me when you're done eating.\Okay.\Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather.\What's this?! response:	Is something wrong, Kagome?
context: Who's the powerful demon?\Dammit all!\Just wake me when you're done eating.\Okay.\Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather.\What's this?!\Is something wrong, Kagome? response:	I may be imagining it.
context: Dammit all!\Just wake me when you're done eating.\Okay.\Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather.\What's this?!\Is something wrong, Kagome?\I may be imagining it. response:	But I feel something... like the Sacred Jewel.
context: Just wake me when you're done eating.\Okay.\Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather.\What's this?!\Is something wrong, Kagome?\I may be imagining it.\But I feel something... like the Sacred Jewel. response:	Why can't you be more sure of yourself?
context: Okay.\Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather.\What's this?!\Is something wrong, Kagome?\I may be imagining it.\But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself? response:	This time it's different.
context: Hmm... the air feels great and the riceball is delicious!\- Such nice weather! - And fine weather.\What's this?!\Is something wrong, Kagome?\I may be imagining it.\But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself?\This time it's different. response:	Which way?
context: - Such nice weather! - And fine weather.\What's this?!\Is something wrong, Kagome?\I may be imagining it.\But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself?\This time it's different.\Which way? response:	Overthat way.
context: What's this?!\Is something wrong, Kagome?\I may be imagining it.\But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself?\This time it's different.\Which way?\Overthat way. response:	It's coming closer!
context: Is something wrong, Kagome?\I may be imagining it.\But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself?\This time it's different.\Which way?\Overthat way.\It's coming closer! response:	Stop!
context: I may be imagining it.\But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself?\This time it's different.\Which way?\Overthat way.\It's coming closer!\Stop! response:	Stop!
context: But I feel something... like the Sacred Jewel.\Why can't you be more sure of yourself?\This time it's different.\Which way?\Overthat way.\It's coming closer!\Stop!\Stop! response:	Leave'im to me!
context: Why can't you be more sure of yourself?\This time it's different.\Which way?\Overthat way.\It's coming closer!\Stop!\Stop!\Leave'im to me! response:	- You're safe now. - Don't worry.
context: This time it's different.\Which way?\Overthat way.\It's coming closer!\Stop!\Stop!\Leave'im to me!\- You're safe now. - Don't worry. response:	What's the big idea, runt? Trying to interfere?
context: Which way?\Overthat way.\It's coming closer!\Stop!\Stop!\Leave'im to me!\- You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere? response:	Is he the one, Kagome?
context: Overthat way.\It's coming closer!\Stop!\Stop!\Leave'im to me!\- You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere?\Is he the one, Kagome? response:	Uh-huh. He has a Sacred Jewel shard in his belly.
context: It's coming closer!\Stop!\Stop!\Leave'im to me!\- You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere?\Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly. response:	But...
context: Stop!\Stop!\Leave'im to me!\- You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere?\Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly.\But... response:	So where'd you get this Jewel shard?
context: Stop!\Leave'im to me!\- You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere?\Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly.\But...\So where'd you get this Jewel shard? response:	Now that you know about my Sacred Jewel,
context: Leave'im to me!\- You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere?\Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly.\But...\So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel, response:	you'd betterhand over that fellow quietly.
context: - You're safe now. - Don't worry.\What's the big idea, runt? Trying to interfere?\Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly.\But...\So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly. response:	Why don't you leave that Jewel shard here
context: What's the big idea, runt? Trying to interfere?\Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly.\But...\So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here response:	and quietly get lost!
context: Is he the one, Kagome?\Uh-huh. He has a Sacred Jewel shard in his belly.\But...\So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here\and quietly get lost! response:	Impudent kid!
context: Uh-huh. He has a Sacred Jewel shard in his belly.\But...\So where'd you get this Jewel shard?\Now that you know about my Sacred Jewel,\you'd betterhand over that fellow quietly.\Why don't you leave that Jewel shard here\and quietly get lost!\Impudent kid! response:	Know the might of my power!
