context: Maccachin, behave while I'm gone, okay? response:	Don't you dare steal any steamed buns.
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns. response:	Victor, we're going to miss the flight!
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns.\Victor, we're going to miss the flight! response:	Hasetsu Hot Springs Yu-topia Katsuki
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns.\Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki response:	Okay, I'm off to Beijing.
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns.\Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing. response:	We'll be rooting for you.
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns.\Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing.\We'll be rooting for you. response:	Good luck, Yuri!
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns.\Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing.\We'll be rooting for you.\Good luck, Yuri! response:	I'll be right behind you!
context: Maccachin, behave while I'm gone, okay?\Don't you dare steal any steamed buns.\Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing.\We'll be rooting for you.\Good luck, Yuri!\I'll be right behind you! response:	I haven't flown coach in a while.
context: Don't you dare steal any steamed buns.\Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing.\We'll be rooting for you.\Good luck, Yuri!\I'll be right behind you!\I haven't flown coach in a while. response:	Want to get some champagne?
context: Victor, we're going to miss the flight!\Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing.\We'll be rooting for you.\Good luck, Yuri!\I'll be right behind you!\I haven't flown coach in a while.\Want to get some champagne? response:	Um, Victor, can I get some sleep?
context: Hasetsu Hot Springs Yu-topia Katsuki\Okay, I'm off to Beijing.\We'll be rooting for you.\Good luck, Yuri!\I'll be right behind you!\I haven't flown coach in a while.\Want to get some champagne?\Um, Victor, can I get some sleep? response:	I'm surprised you can sleep in such a cramped seat!
context: Okay, I'm off to Beijing.\We'll be rooting for you.\Good luck, Yuri!\I'll be right behind you!\I haven't flown coach in a while.\Want to get some champagne?\Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat! response:	Hello.
context: We'll be rooting for you.\Good luck, Yuri!\I'll be right behind you!\I haven't flown coach in a while.\Want to get some champagne?\Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat!\Hello. response:	I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.
context: Good luck, Yuri!\I'll be right behind you!\I haven't flown coach in a while.\Want to get some champagne?\Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat!\Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF. response:	And at last...
context: I'll be right behind you!\I haven't flown coach in a while.\Want to get some champagne?\Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat!\Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last... response:	China's On! The Grand Prix Series Opening Event!!
context: I haven't flown coach in a while.\Want to get some champagne?\Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat!\Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last...\China's On! The Grand Prix Series Opening Event!! response:	Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program
context: Want to get some champagne?\Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat!\Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last...\China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program response:	The Cup of China Short Program.
context: Um, Victor, can I get some sleep?\I'm surprised you can sleep in such a cramped seat!\Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last...\China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program. response:	where top figure skaters will compete to determine the world's best figure skater.
context: I'm surprised you can sleep in such a cramped seat!\Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last...\China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater. response:	Grand Prix Final
context: Hello.\I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last...\China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final response:	Figure Skating Grand Prix Series World Championships
context: I'm Katsuki Yuri, one of the top men's figure skaters certified by the JSF.\And at last...\China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final\Figure Skating Grand Prix Series World Championships response:	This event marks the start of the race to the podium.
context: And at last...\China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final\Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium. response:	First Event: Skate America
context: China's On! The Grand Prix Series Opening Event!!\Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final\Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium.\First Event: Skate America response:	Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji
context: Sixth Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Short Program\The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final\Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium.\First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji response:	Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko
context: The Cup of China Short Program.\where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final\Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium.\First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko response:	At Skate America,
context: where top figure skaters will compete to determine the world's best figure skater.\Grand Prix Final\Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium.\First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America, response:	Leo de la Iglesia won his first gold in his home country,
context: Grand Prix Final\Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium.\First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America,\Leo de la Iglesia won his first gold in his home country, response:	while Guang-Hong Ji placed third. Both will now compete in the Cup of China.
context: Figure Skating Grand Prix Series World Championships\This event marks the start of the race to the podium.\First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America,\Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China. response:	At Skate Canada, Jean-Jacques Leroy,
context: This event marks the start of the race to the podium.\First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America,\Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy, response:	Second Event: Skate Canada
context: First Event: Skate America\Men's Singles Standings 1) Leo de la Iglesia 2) Otarek Altin 3) Guang-Hong Ji\Grand Prix Cup of China Begins Tomorrow!!! Narration: Fujino Naohiko\At Skate America,\Leo de la Iglesia won his first gold in his home country,\while Guang-Hong Ji placed third. Both will now compete in the Cup of China.\At Skate Canada, Jean-Jacques Leroy,\Second Event: Skate Canada response:	Men's Singles Standings 1) Jean-Jacques Leroy 2) Yuri Plisetsky 3) Emil Nekola
