context: Summer response:	Summer
context: Summer\Summer response:	I can't believe you got rooms this close to the beach.
context: Summer\Summer\I can't believe you got rooms this close to the beach. response:	A friend of mine said he had to cancel, so he gave me a great deal.
context: Summer\Summer\I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal. response:	Summer will be ending soon, you know.
context: Summer\Summer\I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know. response:	Wouldn't it suck if we didn't go to the beach at least once?
context: Summer\Summer\I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once? response:	Aren't you just here for the girls in swimsuits?
context: Summer\Summer\I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits? response:	I'm so glad we were all able to make it!
context: Summer\Summer\I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it! response:	I've never been to the beach in Japan before!
context: Summer\I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it!\I've never been to the beach in Japan before! response:	I don't think I've been to one since I was in North Carolina.
context: I can't believe you got rooms this close to the beach.\A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it!\I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina. response:	I only saw it, but my last time was in the Maldives, I believe.
context: A friend of mine said he had to cancel, so he gave me a great deal.\Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it!\I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe. response:	What are you two, celebrities?
context: Summer will be ending soon, you know.\Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it!\I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities? response:	I'm going in first!
context: Wouldn't it suck if we didn't go to the beach at least once?\Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it!\I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities?\I'm going in first! response:	Hey, you!
context: Aren't you just here for the girls in swimsuits?\I'm so glad we were all able to make it!\I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities?\I'm going in first!\Hey, you! response:	Yippee!
context: I'm so glad we were all able to make it!\I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities?\I'm going in first!\Hey, you!\Yippee! response:	All right!
context: I've never been to the beach in Japan before!\I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities?\I'm going in first!\Hey, you!\Yippee!\All right! response:	Episode 18 - At the Beach
context: I don't think I've been to one since I was in North Carolina.\I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities?\I'm going in first!\Hey, you!\Yippee!\All right!\Episode 18 - At the Beach response:	Episode 18 - At the Beach
context: I only saw it, but my last time was in the Maldives, I believe.\What are you two, celebrities?\I'm going in first!\Hey, you!\Yippee!\All right!\Episode 18 - At the Beach\Episode 18 - At the Beach response:	Episode 18 - At the Beach
context: What are you two, celebrities?\I'm going in first!\Hey, you!\Yippee!\All right!\Episode 18 - At the Beach\Episode 18 - At the Beach\Episode 18 - At the Beach response:	Oh, my!
