context: Inari... response:	You shut Uka up in the Ama-no-Iwato?
context: Inari...\You shut Uka up in the Ama-no-Iwato? response:	Yes.
context: Inari...\You shut Uka up in the Ama-no-Iwato?\Yes. response:	She's grown much too close to humans.
context: Inari...\You shut Uka up in the Ama-no-Iwato?\Yes.\She's grown much too close to humans. response:	She must remember who she's meant to be.
context: Inari...\You shut Uka up in the Ama-no-Iwato?\Yes.\She's grown much too close to humans.\She must remember who she's meant to be. response:	The more Inari uses that divine power, the more Uka loses herself.
context: Inari...\You shut Uka up in the Ama-no-Iwato?\Yes.\She's grown much too close to humans.\She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself. response:	You wouldn't want that to happen, would you?
context: Inari...\You shut Uka up in the Ama-no-Iwato?\Yes.\She's grown much too close to humans.\She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you? response:	Sis...
context: Inari...\You shut Uka up in the Ama-no-Iwato?\Yes.\She's grown much too close to humans.\She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you?\Sis... response:	She needs some time by herself to do some soul-searching...
context: You shut Uka up in the Ama-no-Iwato?\Yes.\She's grown much too close to humans.\She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you?\Sis...\She needs some time by herself to do some soul-searching... response:	in the Ama-no-Iwato, which only we can open.
context: Yes.\She's grown much too close to humans.\She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you?\Sis...\She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open. response:	Inari, Konkon, Koi Iroha
context: She's grown much too close to humans.\She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you?\Sis...\She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha response:	nanige naku tsuita tameiki wa
context: She must remember who she's meant to be.\The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you?\Sis...\She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa response:	nanige naku tsuita tameiki wa
context: The more Inari uses that divine power, the more Uka loses herself.\You wouldn't want that to happen, would you?\Sis...\She needs some time by herself to do some soul-searching...\in the Ama-no-Iwato, which only we can open.\Inari, Konkon, Koi Iroha\nanige naku tsuita tameiki wa\nanige naku tsuita tameiki wa response:	nanige naku tsuita tameiki wa
