context: Ehyaya, I forgot that censorates can see dark energy response:	I miscalculated
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated response:	It's a monster
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated\It's a monster response:	It's a chick
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated\It's a monster\It's a chick response:	What a coincidence
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated\It's a monster\It's a chick\What a coincidence response:	Hey you, come down here
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated\It's a monster\It's a chick\What a coincidence\Hey you, come down here response:	Explain what's going on with these Zombie Seals
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated\It's a monster\It's a chick\What a coincidence\Hey you, come down here\Explain what's going on with these Zombie Seals response:	Don't speak to girls like that
context: Ehyaya, I forgot that censorates can see dark energy\I miscalculated\It's a monster\It's a chick\What a coincidence\Hey you, come down here\Explain what's going on with these Zombie Seals\Don't speak to girls like that response:	I'll come down
context: I miscalculated\It's a monster\It's a chick\What a coincidence\Hey you, come down here\Explain what's going on with these Zombie Seals\Don't speak to girls like that\I'll come down response:	Get off, what are you doing!
context: It's a monster\It's a chick\What a coincidence\Hey you, come down here\Explain what's going on with these Zombie Seals\Don't speak to girls like that\I'll come down\Get off, what are you doing! response:	Yeah, when is it our turn?
context: It's a chick\What a coincidence\Hey you, come down here\Explain what's going on with these Zombie Seals\Don't speak to girls like that\I'll come down\Get off, what are you doing!\Yeah, when is it our turn? response:	No, that's not what I meant
context: What a coincidence\Hey you, come down here\Explain what's going on with these Zombie Seals\Don't speak to girls like that\I'll come down\Get off, what are you doing!\Yeah, when is it our turn?\No, that's not what I meant response:	Bad landing, it's so embarrassing
context: Hey you, come down here\Explain what's going on with these Zombie Seals\Don't speak to girls like that\I'll come down\Get off, what are you doing!\Yeah, when is it our turn?\No, that's not what I meant\Bad landing, it's so embarrassing response:	It's a new spell so I'm not good at it yet
context: Explain what's going on with these Zombie Seals\Don't speak to girls like that\I'll come down\Get off, what are you doing!\Yeah, when is it our turn?\No, that's not what I meant\Bad landing, it's so embarrassing\It's a new spell so I'm not good at it yet response:	Please don't laugh at me
context: Don't speak to girls like that\I'll come down\Get off, what are you doing!\Yeah, when is it our turn?\No, that's not what I meant\Bad landing, it's so embarrassing\It's a new spell so I'm not good at it yet\Please don't laugh at me response:	I must have offended you guys
context: I'll come down\Get off, what are you doing!\Yeah, when is it our turn?\No, that's not what I meant\Bad landing, it's so embarrassing\It's a new spell so I'm not good at it yet\Please don't laugh at me\I must have offended you guys response:	I hope you understand
