context: My birthday? response:	Yeah, your birthday. When is it?
context: My birthday?\Yeah, your birthday. When is it? response:	March 6th, but...
context: My birthday?\Yeah, your birthday. When is it?\March 6th, but... response:	And your blood type?
context: My birthday?\Yeah, your birthday. When is it?\March 6th, but...\And your blood type? response:	B type.
context: My birthday?\Yeah, your birthday. When is it?\March 6th, but...\And your blood type?\B type. response:	Jupiter centric, Pisces, B type with a wood aspect.
context: My birthday?\Yeah, your birthday. When is it?\March 6th, but...\And your blood type?\B type.\Jupiter centric, Pisces, B type with a wood aspect. response:	It is all clear to me now!
context: My birthday?\Yeah, your birthday. When is it?\March 6th, but...\And your blood type?\B type.\Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now! response:	Moriyama is a hopeless romantic who always walks her own path!
context: My birthday?\Yeah, your birthday. When is it?\March 6th, but...\And your blood type?\B type.\Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path! response:	She's a dreamer, but escaping reality in a good way!
context: Yeah, your birthday. When is it?\March 6th, but...\And your blood type?\B type.\Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way! response:	And you, Izumo?
context: March 6th, but...\And your blood type?\B type.\Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way!\And you, Izumo? response:	October 11th... A type.
context: And your blood type?\B type.\Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way!\And you, Izumo?\October 11th... A type. response:	It is all clear to me now!
context: B type.\Jupiter centric, Pisces, B type with a wood aspect.\It is all clear to me now!\Moriyama is a hopeless romantic who always walks her own path!\She's a dreamer, but escaping reality in a good way!\And you, Izumo?\October 11th... A type.\It is all clear to me now! response:	Izumo is an idealist who interacts equally with everyone!
