context: OZ is a virtual world that can be enjoyed response:	by people from all over the world.
context: OZ is a virtual world that can be enjoyed\by people from all over the world. response:	You can easily access OZ through a personal computer, cellular phone, or even your television.
context: OZ is a virtual world that can be enjoyed\by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television. response:	Now, let's try experiencing the world of OZ.
context: OZ is a virtual world that can be enjoyed\by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ. response:	First, let's customize your avatar.
context: OZ is a virtual world that can be enjoyed\by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ.\First, let's customize your avatar. response:	Your avatar is your virtual self inside OZ.
context: OZ is a virtual world that can be enjoyed\by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ.\First, let's customize your avatar.\Your avatar is your virtual self inside OZ. response:	You can choose your avatar's clothing, hairstyle, and even give it a tail.
context: OZ is a virtual world that can be enjoyed\by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ.\First, let's customize your avatar.\Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail. response:	I see you've created an adorable avatar.
context: OZ is a virtual world that can be enjoyed\by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ.\First, let's customize your avatar.\Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar. response:	All your personal information will be safely managed
context: by people from all over the world.\You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ.\First, let's customize your avatar.\Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar.\All your personal information will be safely managed response:	by our world-class security system,
context: You can easily access OZ through a personal computer, cellular phone, or even your television.\Now, let's try experiencing the world of OZ.\First, let's customize your avatar.\Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar.\All your personal information will be safely managed\by our world-class security system, response:	so you can relax and enjoy.
context: Now, let's try experiencing the world of OZ.\First, let's customize your avatar.\Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar.\All your personal information will be safely managed\by our world-class security system,\so you can relax and enjoy. response:	Inside the shopping mall you can find music, movies, furniture,
context: First, let's customize your avatar.\Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar.\All your personal information will be safely managed\by our world-class security system,\so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture, response:	food, cars, real estate, souvenirs and more
context: Your avatar is your virtual self inside OZ.\You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar.\All your personal information will be safely managed\by our world-class security system,\so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more response:	from all over the globe, just like in the real world.
context: You can choose your avatar's clothing, hairstyle, and even give it a tail.\I see you've created an adorable avatar.\All your personal information will be safely managed\by our world-class security system,\so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world. response:	If you wish to shop around more, try the Galleria.
context: I see you've created an adorable avatar.\All your personal information will be safely managed\by our world-class security system,\so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria. response:	World-famous brand name stores can be found here,
context: All your personal information will be safely managed\by our world-class security system,\so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here, response:	and you can even buy items to decorate your avatar.
context: by our world-class security system,\so you can relax and enjoy.\Inside the shopping mall you can find music, movies, furniture,\food, cars, real estate, souvenirs and more\from all over the globe, just like in the real world.\If you wish to shop around more, try the Galleria.\World-famous brand name stores can be found here,\and you can even buy items to decorate your avatar. response:	But what's most necessary in OZ is nothing other than...
