context: You've lost contact with Metal Bat? response:	Yes. I've already contacted every hero higher than Class A for backup.
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup. response:	The giant monstrous insect Centichoro...
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro... response:	Threat level: Dragon.
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro...\Threat level: Dragon. response:	It's basically a full-scale disaster.
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro...\Threat level: Dragon.\It's basically a full-scale disaster. response:	This is nothing like two years ago.
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro...\Threat level: Dragon.\It's basically a full-scale disaster.\This is nothing like two years ago. response:	I'm not sure we can defeat it, despite our numbers.
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro...\Threat level: Dragon.\It's basically a full-scale disaster.\This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers. response:	Apparently, King is already fighting something.
context: You've lost contact with Metal Bat?\Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro...\Threat level: Dragon.\It's basically a full-scale disaster.\This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something. response:	What are the other Class S heroes doing?
context: Yes. I've already contacted every hero higher than Class A for backup.\The giant monstrous insect Centichoro...\Threat level: Dragon.\It's basically a full-scale disaster.\This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something.\What are the other Class S heroes doing? response:	Urgent messages from the branch offices?
context: The giant monstrous insect Centichoro...\Threat level: Dragon.\It's basically a full-scale disaster.\This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something.\What are the other Class S heroes doing?\Urgent messages from the branch offices? response:	Th-This is...
context: Threat level: Dragon.\It's basically a full-scale disaster.\This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something.\What are the other Class S heroes doing?\Urgent messages from the branch offices?\Th-This is... response:	Damn it! We're cornered.
context: It's basically a full-scale disaster.\This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something.\What are the other Class S heroes doing?\Urgent messages from the branch offices?\Th-This is...\Damn it! We're cornered. response:	At this rate... we're finished.
context: This is nothing like two years ago.\I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something.\What are the other Class S heroes doing?\Urgent messages from the branch offices?\Th-This is...\Damn it! We're cornered.\At this rate... we're finished. response:	Wait!
context: I'm not sure we can defeat it, despite our numbers.\Apparently, King is already fighting something.\What are the other Class S heroes doing?\Urgent messages from the branch offices?\Th-This is...\Damn it! We're cornered.\At this rate... we're finished.\Wait! response:	Class S Rank 6 Metal Knight
context: Apparently, King is already fighting something.\What are the other Class S heroes doing?\Urgent messages from the branch offices?\Th-This is...\Damn it! We're cornered.\At this rate... we're finished.\Wait!\Class S Rank 6 Metal Knight response:	It's the Class S hero, Metal Knight!
context: What are the other Class S heroes doing?\Urgent messages from the branch offices?\Th-This is...\Damn it! We're cornered.\At this rate... we're finished.\Wait!\Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight! response:	We're saved!
context: Urgent messages from the branch offices?\Th-This is...\Damn it! We're cornered.\At this rate... we're finished.\Wait!\Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight!\We're saved! response:	You're in the way!
context: Th-This is...\Damn it! We're cornered.\At this rate... we're finished.\Wait!\Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight!\We're saved!\You're in the way! response:	Weapons tests aren't for show.
context: Damn it! We're cornered.\At this rate... we're finished.\Wait!\Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight!\We're saved!\You're in the way!\Weapons tests aren't for show. response:	Leave at once.
context: At this rate... we're finished.\Wait!\Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight!\We're saved!\You're in the way!\Weapons tests aren't for show.\Leave at once. response:	S-Sorry!
context: Wait!\Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight!\We're saved!\You're in the way!\Weapons tests aren't for show.\Leave at once.\S-Sorry! response:	It's unharmed... For a living organism, it's extremely tough.
context: Class S Rank 6 Metal Knight\It's the Class S hero, Metal Knight!\We're saved!\You're in the way!\Weapons tests aren't for show.\Leave at once.\S-Sorry!\It's unharmed... For a living organism, it's extremely tough. response:	Annoying fly!
context: It's the Class S hero, Metal Knight!\We're saved!\You're in the way!\Weapons tests aren't for show.\Leave at once.\S-Sorry!\It's unharmed... For a living organism, it's extremely tough.\Annoying fly! response:	Did the centipede thing stop chasing us?
context: We're saved!\You're in the way!\Weapons tests aren't for show.\Leave at once.\S-Sorry!\It's unharmed... For a living organism, it's extremely tough.\Annoying fly!\Did the centipede thing stop chasing us? response:	Yeah. I think we might just make it out of here.
context: You're in the way!\Weapons tests aren't for show.\Leave at once.\S-Sorry!\It's unharmed... For a living organism, it's extremely tough.\Annoying fly!\Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here. response:	I hope Metal Bat is okay.
context: Weapons tests aren't for show.\Leave at once.\S-Sorry!\It's unharmed... For a living organism, it's extremely tough.\Annoying fly!\Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here.\I hope Metal Bat is okay. response:	Smash
context: Leave at once.\S-Sorry!\It's unharmed... For a living organism, it's extremely tough.\Annoying fly!\Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here.\I hope Metal Bat is okay.\Smash response:	You're not getting away, pro heroes.
context: S-Sorry!\It's unharmed... For a living organism, it's extremely tough.\Annoying fly!\Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here.\I hope Metal Bat is okay.\Smash\You're not getting away, pro heroes. response:	Leave that family behind.
context: It's unharmed... For a living organism, it's extremely tough.\Annoying fly!\Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here.\I hope Metal Bat is okay.\Smash\You're not getting away, pro heroes.\Leave that family behind. response:	Monsters?!
context: Annoying fly!\Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here.\I hope Metal Bat is okay.\Smash\You're not getting away, pro heroes.\Leave that family behind.\Monsters?! response:	Interesting. It's been reported that Metal Bat is facing off with Centichoro,
context: Did the centipede thing stop chasing us?\Yeah. I think we might just make it out of here.\I hope Metal Bat is okay.\Smash\You're not getting away, pro heroes.\Leave that family behind.\Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro, response:	so where is he now?
context: Yeah. I think we might just make it out of here.\I hope Metal Bat is okay.\Smash\You're not getting away, pro heroes.\Leave that family behind.\Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now? response:	Unbelievable.
context: I hope Metal Bat is okay.\Smash\You're not getting away, pro heroes.\Leave that family behind.\Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now?\Unbelievable. response:	Monsters whose threat levels are Demon and above have randomly appeared
context: Smash\You're not getting away, pro heroes.\Leave that family behind.\Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now?\Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared response:	in multiple locations.
context: You're not getting away, pro heroes.\Leave that family behind.\Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now?\Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations. response:	We can't keep up with them.
context: Leave that family behind.\Monsters?!\Interesting. It's been reported that Metal Bat is facing off with Centichoro,\so where is he now?\Unbelievable.\Monsters whose threat levels are Demon and above have randomly appeared\in multiple locations.\We can't keep up with them. response:	Martial Arts Tournament
