context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	The feelings of the three...
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The feelings of the three... response:	I'm carrying all that right now!
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The feelings of the three...\I'm carrying all that right now! response:	I took the one on his head where his guard was the weakest.
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The feelings of the three...\I'm carrying all that right now!\I took the one on his head where his guard was the weakest. response:	Midoriya, this was thanks to the opening you created with your last spurt.
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The feelings of the three...\I'm carrying all that right now!\I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt. response:	In fourth place, Team Midoriya!
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The feelings of the three...\I'm carrying all that right now!\I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya! response:	They will advance...
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The feelings of the three...\I'm carrying all that right now!\I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya!\They will advance... response:	The Boy Born with Everything
context: Yes, this is the story of how I became the greatest hero.\The feelings of the three...\I'm carrying all that right now!\I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya!\They will advance...\The Boy Born with Everything response:	Now, we'll break for lunch before we start the afternoon festivities!
context: The feelings of the three...\I'm carrying all that right now!\I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya!\They will advance...\The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities! response:	See ya!
context: I'm carrying all that right now!\I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya!\They will advance...\The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities!\See ya! response:	I'm hungry.
context: I took the one on his head where his guard was the weakest.\Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya!\They will advance...\The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities!\See ya!\I'm hungry. response:	I'm hungry!
context: Midoriya, this was thanks to the opening you created with your last spurt.\In fourth place, Team Midoriya!\They will advance...\The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities!\See ya!\I'm hungry.\I'm hungry! response:	Food!
context: In fourth place, Team Midoriya!\They will advance...\The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities!\See ya!\I'm hungry.\I'm hungry!\Food! response:	Let's hurry up and go eat.
context: They will advance...\The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities!\See ya!\I'm hungry.\I'm hungry!\Food!\Let's hurry up and go eat. response:	Faculty and Student Entrance
context: The Boy Born with Everything\Now, we'll break for lunch before we start the afternoon festivities!\See ya!\I'm hungry.\I'm hungry!\Food!\Let's hurry up and go eat.\Faculty and Student Entrance response:	So... What did you want to talk about?
context: Now, we'll break for lunch before we start the afternoon festivities!\See ya!\I'm hungry.\I'm hungry!\Food!\Let's hurry up and go eat.\Faculty and Student Entrance\So... What did you want to talk about? response:	If we don't hurry, the cafeteria will probably be really crowded...
context: See ya!\I'm hungry.\I'm hungry!\Food!\Let's hurry up and go eat.\Faculty and Student Entrance\So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded... response:	Um...
context: I'm hungry.\I'm hungry!\Food!\Let's hurry up and go eat.\Faculty and Student Entrance\So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded...\Um... response:	He gives off a cold intimidation, different from Kacchan...
context: I'm hungry!\Food!\Let's hurry up and go eat.\Faculty and Student Entrance\So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded...\Um...\He gives off a cold intimidation, different from Kacchan... response:	I was overpowered.
context: Food!\Let's hurry up and go eat.\Faculty and Student Entrance\So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded...\Um...\He gives off a cold intimidation, different from Kacchan...\I was overpowered. response:	So much so that I broke my pledge.
context: Let's hurry up and go eat.\Faculty and Student Entrance\So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded...\Um...\He gives off a cold intimidation, different from Kacchan...\I was overpowered.\So much so that I broke my pledge. response:	He didn't use it even if it would be to his advantage...
context: Faculty and Student Entrance\So... What did you want to talk about?\If we don't hurry, the cafeteria will probably be really crowded...\Um...\He gives off a cold intimidation, different from Kacchan...\I was overpowered.\So much so that I broke my pledge.\He didn't use it even if it would be to his advantage... response:	His left side...
