context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Laxus started the Battle of Fairy Tail.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail. response:	Erza defeated Eve of the Raijin Tribe,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe, response:	and those of us who were stoned finally turned back to normal!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe,\and those of us who were stoned finally turned back to normal! response:	But just when we thought the game was over, Laxus activated the Thunder Palace,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe,\and those of us who were stoned finally turned back to normal!\But just when we thought the game was over, Laxus activated the Thunder Palace, response:	and everyone in the entire city is being held hostage!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe,\and those of us who were stoned finally turned back to normal!\But just when we thought the game was over, Laxus activated the Thunder Palace,\and everyone in the entire city is being held hostage! response:	The real battle starts now!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe,\and those of us who were stoned finally turned back to normal!\But just when we thought the game was over, Laxus activated the Thunder Palace,\and everyone in the entire city is being held hostage!\The real battle starts now! response:	Yo Ho! Steer that rudder! Hard to port!
context: and sit back from the screen,'kay?\Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe,\and those of us who were stoned finally turned back to normal!\But just when we thought the game was over, Laxus activated the Thunder Palace,\and everyone in the entire city is being held hostage!\The real battle starts now!\Yo Ho! Steer that rudder! Hard to port! response:	Yo Ho! Our high-flyin' lives are every which way!
context: Laxus started the Battle of Fairy Tail.\Erza defeated Eve of the Raijin Tribe,\and those of us who were stoned finally turned back to normal!\But just when we thought the game was over, Laxus activated the Thunder Palace,\and everyone in the entire city is being held hostage!\The real battle starts now!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way! response:	When the sun goes down, there's a bon voyage bash.
