context: If only we could be together for ever and ever. response:	But, in reality...
context: If only we could be together for ever and ever.\But, in reality... response:	Excuse me, is Arima from class 1-A here?
context: If only we could be together for ever and ever.\But, in reality...\Excuse me, is Arima from class 1-A here? response:	Oh, Miyazawa. Hang on a sec.
context: If only we could be together for ever and ever.\But, in reality...\Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec. response:	I'm sorry, he was just here a moment ago,
context: If only we could be together for ever and ever.\But, in reality...\Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago, response:	but I hear he went over to Construction.
context: If only we could be together for ever and ever.\But, in reality...\Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago,\but I hear he went over to Construction. response:	Just a sec.
context: If only we could be together for ever and ever.\But, in reality...\Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago,\but I hear he went over to Construction.\Just a sec. response:	I hear he got called away by Transportation and Management.
context: If only we could be together for ever and ever.\But, in reality...\Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago,\but I hear he went over to Construction.\Just a sec.\I hear he got called away by Transportation and Management. response:	You just missed him.
context: But, in reality...\Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago,\but I hear he went over to Construction.\Just a sec.\I hear he got called away by Transportation and Management.\You just missed him. response:	Hang on. I hear he went to practice for the hundred meter race.
context: Excuse me, is Arima from class 1-A here?\Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago,\but I hear he went over to Construction.\Just a sec.\I hear he got called away by Transportation and Management.\You just missed him.\Hang on. I hear he went to practice for the hundred meter race. response:	You just missed him.
context: Oh, Miyazawa. Hang on a sec.\I'm sorry, he was just here a moment ago,\but I hear he went over to Construction.\Just a sec.\I hear he got called away by Transportation and Management.\You just missed him.\Hang on. I hear he went to practice for the hundred meter race.\You just missed him. response:	Okay, I'll check.
context: I'm sorry, he was just here a moment ago,\but I hear he went over to Construction.\Just a sec.\I hear he got called away by Transportation and Management.\You just missed him.\Hang on. I hear he went to practice for the hundred meter race.\You just missed him.\Okay, I'll check. response:	Nope, he's not here. Maybe at the relay?
context: but I hear he went over to Construction.\Just a sec.\I hear he got called away by Transportation and Management.\You just missed him.\Hang on. I hear he went to practice for the hundred meter race.\You just missed him.\Okay, I'll check.\Nope, he's not here. Maybe at the relay? response:	I have no idea where Arima is.
context: Just a sec.\I hear he got called away by Transportation and Management.\You just missed him.\Hang on. I hear he went to practice for the hundred meter race.\You just missed him.\Okay, I'll check.\Nope, he's not here. Maybe at the relay?\I have no idea where Arima is. response:	Oh, shoot! I have to go to Records!
context: I hear he got called away by Transportation and Management.\You just missed him.\Hang on. I hear he went to practice for the hundred meter race.\You just missed him.\Okay, I'll check.\Nope, he's not here. Maybe at the relay?\I have no idea where Arima is.\Oh, shoot! I have to go to Records! response:	Oh, Miyazawa?
context: You just missed him.\Hang on. I hear he went to practice for the hundred meter race.\You just missed him.\Okay, I'll check.\Nope, he's not here. Maybe at the relay?\I have no idea where Arima is.\Oh, shoot! I have to go to Records!\Oh, Miyazawa? response:	Arima was just here looking for you.
context: Hang on. I hear he went to practice for the hundred meter race.\You just missed him.\Okay, I'll check.\Nope, he's not here. Maybe at the relay?\I have no idea where Arima is.\Oh, shoot! I have to go to Records!\Oh, Miyazawa?\Arima was just here looking for you. response:	Miyazawa?
context: You just missed him.\Okay, I'll check.\Nope, he's not here. Maybe at the relay?\I have no idea where Arima is.\Oh, shoot! I have to go to Records!\Oh, Miyazawa?\Arima was just here looking for you.\Miyazawa? response:	Practice for the Athletics Festival had begun.
context: Okay, I'll check.\Nope, he's not here. Maybe at the relay?\I have no idea where Arima is.\Oh, shoot! I have to go to Records!\Oh, Miyazawa?\Arima was just here looking for you.\Miyazawa?\Practice for the Athletics Festival had begun. response:	And because of it...
context: Nope, he's not here. Maybe at the relay?\I have no idea where Arima is.\Oh, shoot! I have to go to Records!\Oh, Miyazawa?\Arima was just here looking for you.\Miyazawa?\Practice for the Athletics Festival had begun.\And because of it... response:	Even though we had just started going out the other day...
context: I have no idea where Arima is.\Oh, shoot! I have to go to Records!\Oh, Miyazawa?\Arima was just here looking for you.\Miyazawa?\Practice for the Athletics Festival had begun.\And because of it...\Even though we had just started going out the other day... response:	Because we don't have regular classes this week...
context: Oh, shoot! I have to go to Records!\Oh, Miyazawa?\Arima was just here looking for you.\Miyazawa?\Practice for the Athletics Festival had begun.\And because of it...\Even though we had just started going out the other day...\Because we don't have regular classes this week... response:	We've only just started going out and
context: Oh, Miyazawa?\Arima was just here looking for you.\Miyazawa?\Practice for the Athletics Festival had begun.\And because of it...\Even though we had just started going out the other day...\Because we don't have regular classes this week...\We've only just started going out and response:	we'll soon be busy with the Athletics Festival.
context: Arima was just here looking for you.\Miyazawa?\Practice for the Athletics Festival had begun.\And because of it...\Even though we had just started going out the other day...\Because we don't have regular classes this week...\We've only just started going out and\we'll soon be busy with the Athletics Festival. response:	I hope we can at least eat lunch together.
context: Miyazawa?\Practice for the Athletics Festival had begun.\And because of it...\Even though we had just started going out the other day...\Because we don't have regular classes this week...\We've only just started going out and\we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together. response:	I want to eat with you!
context: Practice for the Athletics Festival had begun.\And because of it...\Even though we had just started going out the other day...\Because we don't have regular classes this week...\We've only just started going out and\we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together.\I want to eat with you! response:	Oh, Arima's so cool!
context: And because of it...\Even though we had just started going out the other day...\Because we don't have regular classes this week...\We've only just started going out and\we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together.\I want to eat with you!\Oh, Arima's so cool! response:	We were supposed to be enjoying a fabulous lunch together right now...
context: Even though we had just started going out the other day...\Because we don't have regular classes this week...\We've only just started going out and\we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together.\I want to eat with you!\Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now... response:	like in a cola commercial.
context: Because we don't have regular classes this week...\We've only just started going out and\we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together.\I want to eat with you!\Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial. response:	But then, this had to happen.
context: We've only just started going out and\we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together.\I want to eat with you!\Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial.\But then, this had to happen. response:	Both love and appetite are out the window...
context: we'll soon be busy with the Athletics Festival.\I hope we can at least eat lunch together.\I want to eat with you!\Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial.\But then, this had to happen.\Both love and appetite are out the window... response:	I wish I could see Arima.
context: I hope we can at least eat lunch together.\I want to eat with you!\Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial.\But then, this had to happen.\Both love and appetite are out the window...\I wish I could see Arima. response:	No, love means making time for him even when I'm busy.
context: I want to eat with you!\Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial.\But then, this had to happen.\Both love and appetite are out the window...\I wish I could see Arima.\No, love means making time for him even when I'm busy. response:	All right then! I'll do my best for him!
context: Oh, Arima's so cool!\We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial.\But then, this had to happen.\Both love and appetite are out the window...\I wish I could see Arima.\No, love means making time for him even when I'm busy.\All right then! I'll do my best for him! response:	No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!
context: We were supposed to be enjoying a fabulous lunch together right now...\like in a cola commercial.\But then, this had to happen.\Both love and appetite are out the window...\I wish I could see Arima.\No, love means making time for him even when I'm busy.\All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section! response:	Wrong! Totally wrong!
context: like in a cola commercial.\But then, this had to happen.\Both love and appetite are out the window...\I wish I could see Arima.\No, love means making time for him even when I'm busy.\All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong! response:	Sold out?!
context: But then, this had to happen.\Both love and appetite are out the window...\I wish I could see Arima.\No, love means making time for him even when I'm busy.\All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong!\Sold out?! response:	Can we send the programs to the printers yet?
context: Both love and appetite are out the window...\I wish I could see Arima.\No, love means making time for him even when I'm busy.\All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong!\Sold out?!\Can we send the programs to the printers yet? response:	Arima? I just saw him a second ago...
context: I wish I could see Arima.\No, love means making time for him even when I'm busy.\All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong!\Sold out?!\Can we send the programs to the printers yet?\Arima? I just saw him a second ago... response:	Rats, he just left.
context: No, love means making time for him even when I'm busy.\All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong!\Sold out?!\Can we send the programs to the printers yet?\Arima? I just saw him a second ago...\Rats, he just left. response:	Nope, he hasn't been here.
context: All right then! I'll do my best for him!\No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong!\Sold out?!\Can we send the programs to the printers yet?\Arima? I just saw him a second ago...\Rats, he just left.\Nope, he hasn't been here. response:	Nope, he hasn't come over here.
context: No! Those rows should be 4 by 10! 6 by 3 is for the VIP section!\Wrong! Totally wrong!\Sold out?!\Can we send the programs to the printers yet?\Arima? I just saw him a second ago...\Rats, he just left.\Nope, he hasn't been here.\Nope, he hasn't come over here. response:	I think I heard his voice a while ago.
