context: Look over here. response:	J-Jotaro! L-Look!
context: Look over here.\J-Jotaro! L-Look! response:	Watch out, Koichi! Don't go any closer!
context: Look over here.\J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer! response:	Hey, I told you to look over here.
context: Look over here.\J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here. response:	Is that his Stand?!
context: Look over here.\J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here.\Is that his Stand?! response:	J-Jotaro!
context: Look over here.\J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here.\Is that his Stand?!\J-Jotaro! response:	H-He's here! He's taking the jacket!
context: Look over here.\J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here.\Is that his Stand?!\J-Jotaro!\H-He's here! He's taking the jacket! response:	Good grief.
context: Look over here.\J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here.\Is that his Stand?!\J-Jotaro!\H-He's here! He's taking the jacket!\Good grief. response:	Who would've thought he'd come to get his suit now?
context: J-Jotaro! L-Look!\Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here.\Is that his Stand?!\J-Jotaro!\H-He's here! He's taking the jacket!\Good grief.\Who would've thought he'd come to get his suit now? response:	The jacket is evidence!
context: Watch out, Koichi! Don't go any closer!\Hey, I told you to look over here.\Is that his Stand?!\J-Jotaro!\H-He's here! He's taking the jacket!\Good grief.\Who would've thought he'd come to get his suit now?\The jacket is evidence! response:	Wait!
context: Hey, I told you to look over here.\Is that his Stand?!\J-Jotaro!\H-He's here! He's taking the jacket!\Good grief.\Who would've thought he'd come to get his suit now?\The jacket is evidence!\Wait! response:	Don't run after it without thinking.
context: Is that his Stand?!\J-Jotaro!\H-He's here! He's taking the jacket!\Good grief.\Who would've thought he'd come to get his suit now?\The jacket is evidence!\Wait!\Don't run after it without thinking. response:	Something about that Stand...
context: J-Jotaro!\H-He's here! He's taking the jacket!\Good grief.\Who would've thought he'd come to get his suit now?\The jacket is evidence!\Wait!\Don't run after it without thinking.\Something about that Stand... response:	is dangerous!
context: H-He's here! He's taking the jacket!\Good grief.\Who would've thought he'd come to get his suit now?\The jacket is evidence!\Wait!\Don't run after it without thinking.\Something about that Stand...\is dangerous! response:	JoJo's Bizarre Adventure
context: Good grief.\Who would've thought he'd come to get his suit now?\The jacket is evidence!\Wait!\Don't run after it without thinking.\Something about that Stand...\is dangerous!\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: Who would've thought he'd come to get his suit now?\The jacket is evidence!\Wait!\Don't run after it without thinking.\Something about that Stand...\is dangerous!\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: The jacket is evidence!\Wait!\Don't run after it without thinking.\Something about that Stand...\is dangerous!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Wait!\Don't run after it without thinking.\Something about that Stand...\is dangerous!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 23 Heart Attack, Part 1
context: Don't run after it without thinking.\Something about that Stand...\is dangerous!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 23 Heart Attack, Part 1 response:	Centipede Shoes
context: Something about that Stand...\is dangerous!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 23 Heart Attack, Part 1\Centipede Shoes response:	It's a bomb... It's a bomb Stand!
context: is dangerous!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 23 Heart Attack, Part 1\Centipede Shoes\It's a bomb... It's a bomb Stand! response:	So this is how it got Shigechi?
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 23 Heart Attack, Part 1\Centipede Shoes\It's a bomb... It's a bomb Stand!\So this is how it got Shigechi? response:	That's why we couldn't find him, no matter where we looked.
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 23 Heart Attack, Part 1\Centipede Shoes\It's a bomb... It's a bomb Stand!\So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked. response:	He's... He's getting away!
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 23 Heart Attack, Part 1\Centipede Shoes\It's a bomb... It's a bomb Stand!\So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked.\He's... He's getting away! response:	Don't go after him, Koichi.
context: Diamond is Unbreakable\Episode 23 Heart Attack, Part 1\Centipede Shoes\It's a bomb... It's a bomb Stand!\So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked.\He's... He's getting away!\Don't go after him, Koichi. response:	Huh? Don't go after him?
context: Episode 23 Heart Attack, Part 1\Centipede Shoes\It's a bomb... It's a bomb Stand!\So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked.\He's... He's getting away!\Don't go after him, Koichi.\Huh? Don't go after him? response:	What are you saying?
context: Centipede Shoes\It's a bomb... It's a bomb Stand!\So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked.\He's... He's getting away!\Don't go after him, Koichi.\Huh? Don't go after him?\What are you saying? response:	If we go after him,
context: It's a bomb... It's a bomb Stand!\So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked.\He's... He's getting away!\Don't go after him, Koichi.\Huh? Don't go after him?\What are you saying?\If we go after him, response:	we'll get to see the face of the person who killed Reimi and Shigechi!
context: So this is how it got Shigechi?\That's why we couldn't find him, no matter where we looked.\He's... He's getting away!\Don't go after him, Koichi.\Huh? Don't go after him?\What are you saying?\If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi! response:	We need to cautiously observe and act, Koichi.
context: That's why we couldn't find him, no matter where we looked.\He's... He's getting away!\Don't go after him, Koichi.\Huh? Don't go after him?\What are you saying?\If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi. response:	Wh-What are you talking about?
context: He's... He's getting away!\Don't go after him, Koichi.\Huh? Don't go after him?\What are you saying?\If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi.\Wh-What are you talking about? response:	We just happened to miss the name tag on that jacket.
context: Don't go after him, Koichi.\Huh? Don't go after him?\What are you saying?\If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi.\Wh-What are you talking about?\We just happened to miss the name tag on that jacket. response:	But considering how big the jacket was,
context: Huh? Don't go after him?\What are you saying?\If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi.\Wh-What are you talking about?\We just happened to miss the name tag on that jacket.\But considering how big the jacket was, response:	we can tell that the guy's about 175 centimeters tall.
context: What are you saying?\If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi.\Wh-What are you talking about?\We just happened to miss the name tag on that jacket.\But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall. response:	He's an office employee, and not married.
context: If we go after him,\we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi.\Wh-What are you talking about?\We just happened to miss the name tag on that jacket.\But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married. response:	If he had a wife,
context: we'll get to see the face of the person who killed Reimi and Shigechi!\We need to cautiously observe and act, Koichi.\Wh-What are you talking about?\We just happened to miss the name tag on that jacket.\But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married.\If he had a wife, response:	he wouldn't have brought his jacket here for a button repair.
context: We need to cautiously observe and act, Koichi.\Wh-What are you talking about?\We just happened to miss the name tag on that jacket.\But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married.\If he had a wife,\he wouldn't have brought his jacket here for a button repair. response:	He's between the ages of 25 and 35, and he looks pretty rich.
context: Wh-What are you talking about?\We just happened to miss the name tag on that jacket.\But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married.\If he had a wife,\he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich. response:	Judging from the material and design, that jacket was a high-end brand.
context: We just happened to miss the name tag on that jacket.\But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married.\If he had a wife,\he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand. response:	Even if we don't follow him now,
context: But considering how big the jacket was,\we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married.\If he had a wife,\he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now, response:	we've significantly narrowed down who it might be.
context: we can tell that the guy's about 175 centimeters tall.\He's an office employee, and not married.\If he had a wife,\he wouldn't have brought his jacket here for a button repair.\He's between the ages of 25 and 35, and he looks pretty rich.\Judging from the material and design, that jacket was a high-end brand.\Even if we don't follow him now,\we've significantly narrowed down who it might be. response:	I-I see...
