context: 3 years ago response:	3 years ago
context: 3 years ago\3 years ago response:	Trigger finger
context: 3 years ago\3 years ago\Trigger finger response:	Trigger finger
context: 3 years ago\3 years ago\Trigger finger\Trigger finger response:	We're playing the role of ourselves
context: 3 years ago\3 years ago\Trigger finger\Trigger finger\We're playing the role of ourselves response:	Into our flippant illusion
context: 3 years ago\3 years ago\Trigger finger\Trigger finger\We're playing the role of ourselves\Into our flippant illusion response:	That's not good.
context: 3 years ago\3 years ago\Trigger finger\Trigger finger\We're playing the role of ourselves\Into our flippant illusion\That's not good. response:	Don't you paint your nails?
context: 3 years ago\3 years ago\Trigger finger\Trigger finger\We're playing the role of ourselves\Into our flippant illusion\That's not good.\Don't you paint your nails? response:	Look. Isn't this cute?
context: 3 years ago\Trigger finger\Trigger finger\We're playing the role of ourselves\Into our flippant illusion\That's not good.\Don't you paint your nails?\Look. Isn't this cute? response:	You don't have to get one made for guitarists.
context: Trigger finger\Trigger finger\We're playing the role of ourselves\Into our flippant illusion\That's not good.\Don't you paint your nails?\Look. Isn't this cute?\You don't have to get one made for guitarists. response:	The cheap stuff they sell in stores works just fine.
context: Trigger finger\We're playing the role of ourselves\Into our flippant illusion\That's not good.\Don't you paint your nails?\Look. Isn't this cute?\You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine. response:	This one is my favorite.
context: We're playing the role of ourselves\Into our flippant illusion\That's not good.\Don't you paint your nails?\Look. Isn't this cute?\You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine.\This one is my favorite. response:	Sit down.
context: Into our flippant illusion\That's not good.\Don't you paint your nails?\Look. Isn't this cute?\You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine.\This one is my favorite.\Sit down. response:	Here.
context: That's not good.\Don't you paint your nails?\Look. Isn't this cute?\You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine.\This one is my favorite.\Sit down.\Here. response:	Yayoi!
context: Don't you paint your nails?\Look. Isn't this cute?\You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine.\This one is my favorite.\Sit down.\Here.\Yayoi! response:	Good morning!
context: Look. Isn't this cute?\You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine.\This one is my favorite.\Sit down.\Here.\Yayoi!\Good morning! response:	It's time to get up.
context: You don't have to get one made for guitarists.\The cheap stuff they sell in stores works just fine.\This one is my favorite.\Sit down.\Here.\Yayoi!\Good morning!\It's time to get up. response:	Now, to all the latent criminals...
context: The cheap stuff they sell in stores works just fine.\This one is my favorite.\Sit down.\Here.\Yayoi!\Good morning!\It's time to get up.\Now, to all the latent criminals... response:	Be sure to keep working on purifying your Hue!
context: This one is my favorite.\Sit down.\Here.\Yayoi!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue! response:	Be sure to keep working on purifying your Hue!
context: Sit down.\Here.\Yayoi!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue! response:	Good morning!
context: Here.\Yayoi!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\Good morning! response:	It's time to get up.
context: Yayoi!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\Good morning!\It's time to get up. response:	Now, to all the latent criminals...
context: Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\Good morning!\It's time to get up.\Now, to all the latent criminals... response:	Be sure to keep working on purifying your Hue!
context: It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue! response:	Be sure to keep working on purifying your Hue!
context: Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue! response:	An Enforcer? At the Public Safety Bureau?
context: Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau? response:	Sibyl determined that you have the aptitude for it.
context: Be sure to keep working on purifying your Hue!\Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it. response:	You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.
context: Good morning!\It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you. response:	Does that mean... that my Psycho-Pass will never recover?
context: It's time to get up.\Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover? response:	I would like to show
context: Now, to all the latent criminals...\Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover?\I would like to show response:	I would like to show
context: Be sure to keep working on purifying your Hue!\Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover?\I would like to show\I would like to show response:	Cut open my skull
context: Be sure to keep working on purifying your Hue!\An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover?\I would like to show\I would like to show\Cut open my skull response:	Cut open my skull
context: An Enforcer? At the Public Safety Bureau?\Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover?\I would like to show\I would like to show\Cut open my skull\Cut open my skull response:	Look into my head
context: Sibyl determined that you have the aptitude for it.\You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover?\I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head response:	Look into my head
context: You're a latent criminal. I think this is an once-in-a-lifetime opportunity for you.\Does that mean... that my Psycho-Pass will never recover?\I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head response:	I don't know why I'm so hurt
context: Does that mean... that my Psycho-Pass will never recover?\I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so hurt response:	I don't know why I'm so hurt
context: I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so hurt\I don't know why I'm so hurt response:	I can't be so brash
context: I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so hurt\I don't know why I'm so hurt\I can't be so brash response:	I can't be so brash
context: Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so hurt\I don't know why I'm so hurt\I can't be so brash\I can't be so brash response:	I'm going to crash
context: Cut open my skull\Look into my head\Look into my head\I don't know why I'm so hurt\I don't know why I'm so hurt\I can't be so brash\I can't be so brash\I'm going to crash response:	I'm going to crash
context: Look into my head\Look into my head\I don't know why I'm so hurt\I don't know why I'm so hurt\I can't be so brash\I can't be so brash\I'm going to crash\I'm going to crash response:	'Cause I feel
context: Look into my head\I don't know why I'm so hurt\I don't know why I'm so hurt\I can't be so brash\I can't be so brash\I'm going to crash\I'm going to crash\'Cause I feel response:	'Cause I feel
context: I don't know why I'm so hurt\I don't know why I'm so hurt\I can't be so brash\I can't be so brash\I'm going to crash\I'm going to crash\'Cause I feel\'Cause I feel response:	I can't always show my everything to you
context: I don't know why I'm so hurt\I can't be so brash\I can't be so brash\I'm going to crash\I'm going to crash\'Cause I feel\'Cause I feel\I can't always show my everything to you response:	I can't always show my everything to you
