context: I was having a dream... response:	Please wake up, groom.
context: I was having a dream...\Please wake up, groom. response:	The bride is ready.
context: I was having a dream...\Please wake up, groom.\The bride is ready. response:	A dream of the unbelievable day that brought us together.
context: I was having a dream...\Please wake up, groom.\The bride is ready.\A dream of the unbelievable day that brought us together. response:	Barbecue beef combo.
context: I was having a dream...\Please wake up, groom.\The bride is ready.\A dream of the unbelievable day that brought us together.\Barbecue beef combo. response:	Without beef.
context: I was having a dream...\Please wake up, groom.\The bride is ready.\A dream of the unbelievable day that brought us together.\Barbecue beef combo.\Without beef. response:	Sure thing.
context: I was having a dream...\Please wake up, groom.\The bride is ready.\A dream of the unbelievable day that brought us together.\Barbecue beef combo.\Without beef.\Sure thing. response:	You'd think the cheapest item on this cafeteria's menu would be rice, but no.
context: I was having a dream...\Please wake up, groom.\The bride is ready.\A dream of the unbelievable day that brought us together.\Barbecue beef combo.\Without beef.\Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no. response:	Barbecue Beef Combo
context: Please wake up, groom.\The bride is ready.\A dream of the unbelievable day that brought us together.\Barbecue beef combo.\Without beef.\Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo response:	Rice Miso Soup Pickled Vegetables
context: The bride is ready.\A dream of the unbelievable day that brought us together.\Barbecue beef combo.\Without beef.\Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables response:	Subtract 200 yen for the beef from the barbecue beef combo,
context: A dream of the unbelievable day that brought us together.\Barbecue beef combo.\Without beef.\Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo, response:	and you get rice plus miso soup and pickled veggies for the price of rice.
context: Barbecue beef combo.\Without beef.\Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice. response:	You get free, unlimited water, too.
context: Without beef.\Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too. response:	School cafeteria for the win.
context: Sure thing.\You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too.\School cafeteria for the win. response:	Uesugi-kun's on his own again.
context: You'd think the cheapest item on this cafeteria's menu would be rice, but no.\Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too.\School cafeteria for the win.\Uesugi-kun's on his own again. response:	Oh, man.
context: Barbecue Beef Combo\Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too.\School cafeteria for the win.\Uesugi-kun's on his own again.\Oh, man. response:	The Quintessential Quintuplets
context: Rice Miso Soup Pickled Vegetables\Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too.\School cafeteria for the win.\Uesugi-kun's on his own again.\Oh, man.\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: Subtract 200 yen for the beef from the barbecue beef combo,\and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too.\School cafeteria for the win.\Uesugi-kun's on his own again.\Oh, man.\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: and you get rice plus miso soup and pickled veggies for the price of rice.\You get free, unlimited water, too.\School cafeteria for the win.\Uesugi-kun's on his own again.\Oh, man.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: You get free, unlimited water, too.\School cafeteria for the win.\Uesugi-kun's on his own again.\Oh, man.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	Yo, who's that?
context: School cafeteria for the win.\Uesugi-kun's on his own again.\Oh, man.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Yo, who's that? response:	Someone's sitting with Uesugi?
context: Uesugi-kun's on his own again.\Oh, man.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Yo, who's that?\Someone's sitting with Uesugi? response:	That never happens!
context: Oh, man.\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Yo, who's that?\Someone's sitting with Uesugi?\That never happens! response:	She isn't wearing our uniform...
