context: I don't see you up this early very often, Ichika. response:	Although I'm still the last one of the five of us.
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us. response:	I don't know when Miku left the bed, either.
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either. response:	Night
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either.\Night response:	Yotsuba went looking for Miku and hasn't come back, too.
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either.\Night\Yotsuba went looking for Miku and hasn't come back, too. response:	Searching
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either.\Night\Yotsuba went looking for Miku and hasn't come back, too.\Searching response:	Searching
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either.\Night\Yotsuba went looking for Miku and hasn't come back, too.\Searching\Searching response:	Miku!
context: I don't see you up this early very often, Ichika.\Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either.\Night\Yotsuba went looking for Miku and hasn't come back, too.\Searching\Searching\Miku! response:	What about him?
context: Although I'm still the last one of the five of us.\I don't know when Miku left the bed, either.\Night\Yotsuba went looking for Miku and hasn't come back, too.\Searching\Searching\Miku!\What about him? response:	Dunno.
context: I don't know when Miku left the bed, either.\Night\Yotsuba went looking for Miku and hasn't come back, too.\Searching\Searching\Miku!\What about him?\Dunno. response:	Maybe he's still asleep.
context: Night\Yotsuba went looking for Miku and hasn't come back, too.\Searching\Searching\Miku!\What about him?\Dunno.\Maybe he's still asleep. response:	So he actually stayed over.
context: Yotsuba went looking for Miku and hasn't come back, too.\Searching\Searching\Miku!\What about him?\Dunno.\Maybe he's still asleep.\So he actually stayed over. response:	Well, that'll be over with soon enough.
context: Searching\Searching\Miku!\What about him?\Dunno.\Maybe he's still asleep.\So he actually stayed over.\Well, that'll be over with soon enough. response:	You should come study with us.
context: Searching\Miku!\What about him?\Dunno.\Maybe he's still asleep.\So he actually stayed over.\Well, that'll be over with soon enough.\You should come study with us. response:	It's actually pretty fun.
