context: Karaoke Village response:	Kinoshita-kun, go clean up booth 13.
context: Karaoke Village\Kinoshita-kun, go clean up booth 13. response:	Oh, sure.
context: Karaoke Village\Kinoshita-kun, go clean up booth 13.\Oh, sure. response:	I started a part-time job.
context: Karaoke Village\Kinoshita-kun, go clean up booth 13.\Oh, sure.\I started a part-time job. response:	Beam
context: Karaoke Village\Kinoshita-kun, go clean up booth 13.\Oh, sure.\I started a part-time job.\Beam response:	Beam
context: Karaoke Village\Kinoshita-kun, go clean up booth 13.\Oh, sure.\I started a part-time job.\Beam\Beam response:	Happy
context: Karaoke Village\Kinoshita-kun, go clean up booth 13.\Oh, sure.\I started a part-time job.\Beam\Beam\Happy response:	Happy
context: Karaoke Village\Kinoshita-kun, go clean up booth 13.\Oh, sure.\I started a part-time job.\Beam\Beam\Happy\Happy response:	Aw, it's so cute!
context: Kinoshita-kun, go clean up booth 13.\Oh, sure.\I started a part-time job.\Beam\Beam\Happy\Happy\Aw, it's so cute! response:	Mizuhara's gift!
context: Oh, sure.\I started a part-time job.\Beam\Beam\Happy\Happy\Aw, it's so cute!\Mizuhara's gift! response:	The phone case she picked out for me!
context: I started a part-time job.\Beam\Beam\Happy\Happy\Aw, it's so cute!\Mizuhara's gift!\The phone case she picked out for me! response:	Just for me!
context: Beam\Beam\Happy\Happy\Aw, it's so cute!\Mizuhara's gift!\The phone case she picked out for me!\Just for me! response:	I'm an actress.
context: Beam\Happy\Happy\Aw, it's so cute!\Mizuhara's gift!\The phone case she picked out for me!\Just for me!\I'm an actress. response:	I'm next-door neighbors with an actress!
context: Happy\Happy\Aw, it's so cute!\Mizuhara's gift!\The phone case she picked out for me!\Just for me!\I'm an actress.\I'm next-door neighbors with an actress! response:	Grin
context: Happy\Aw, it's so cute!\Mizuhara's gift!\The phone case she picked out for me!\Just for me!\I'm an actress.\I'm next-door neighbors with an actress!\Grin response:	I must be the only guy in history to get a gift from a rental girlfriend!
context: Aw, it's so cute!\Mizuhara's gift!\The phone case she picked out for me!\Just for me!\I'm an actress.\I'm next-door neighbors with an actress!\Grin\I must be the only guy in history to get a gift from a rental girlfriend! response:	She must see me as someone special.
context: Mizuhara's gift!\The phone case she picked out for me!\Just for me!\I'm an actress.\I'm next-door neighbors with an actress!\Grin\I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special. response:	I did it!
context: The phone case she picked out for me!\Just for me!\I'm an actress.\I'm next-door neighbors with an actress!\Grin\I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special.\I did it! response:	It's a small one, but I built another connection with her!
context: Just for me!\I'm an actress.\I'm next-door neighbors with an actress!\Grin\I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special.\I did it!\It's a small one, but I built another connection with her! response:	Anon Trying Their Best
context: I'm an actress.\I'm next-door neighbors with an actress!\Grin\I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special.\I did it!\It's a small one, but I built another connection with her!\Anon Trying Their Best response:	I'm still using the aroma candle she gave me. Chizuru-chan 1
context: I'm next-door neighbors with an actress!\Grin\I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special.\I did it!\It's a small one, but I built another connection with her!\Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1 response:	Anon Trying Their Best
context: Grin\I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special.\I did it!\It's a small one, but I built another connection with her!\Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best response:	I got cookies, yo
context: I must be the only guy in history to get a gift from a rental girlfriend!\She must see me as someone special.\I did it!\It's a small one, but I built another connection with her!\Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best\I got cookies, yo response:	Anon Trying Their Best
context: She must see me as someone special.\I did it!\It's a small one, but I built another connection with her!\Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best\I got cookies, yo\Anon Trying Their Best response:	Same, and they were delicious. Isn't she just the best?
context: I did it!\It's a small one, but I built another connection with her!\Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best\I got cookies, yo\Anon Trying Their Best\Same, and they were delicious. Isn't she just the best? response:	Anon Trying Their Best
context: It's a small one, but I built another connection with her!\Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best\I got cookies, yo\Anon Trying Their Best\Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best response:	Guess there are more of us than I thought...
context: Anon Trying Their Best\I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best\I got cookies, yo\Anon Trying Their Best\Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best\Guess there are more of us than I thought... response:	Cafe Kanoir
context: I'm still using the aroma candle she gave me. Chizuru-chan 1\Anon Trying Their Best\I got cookies, yo\Anon Trying Their Best\Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best\Guess there are more of us than I thought...\Cafe Kanoir response:	I mean...
context: Anon Trying Their Best\I got cookies, yo\Anon Trying Their Best\Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best\Guess there are more of us than I thought...\Cafe Kanoir\I mean... response:	I'm a girlfriend.
context: I got cookies, yo\Anon Trying Their Best\Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best\Guess there are more of us than I thought...\Cafe Kanoir\I mean...\I'm a girlfriend. response:	But... I don't know... It might give your clients the wrong idea.
context: Anon Trying Their Best\Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best\Guess there are more of us than I thought...\Cafe Kanoir\I mean...\I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea. response:	I'm a girlfriend.
context: Same, and they were delicious. Isn't she just the best?\Anon Trying Their Best\Guess there are more of us than I thought...\Cafe Kanoir\I mean...\I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend. response:	Yeah, but... a g-gif
context: Anon Trying Their Best\Guess there are more of us than I thought...\Cafe Kanoir\I mean...\I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend.\Yeah, but... a g-gif response:	I'm a girlfriend, okay?
context: Guess there are more of us than I thought...\Cafe Kanoir\I mean...\I'm a girlfriend.\But... I don't know... It might give your clients the wrong idea.\I'm a girlfriend.\Yeah, but... a g-gif\I'm a girlfriend, okay? response:	It's perfectly normal for a girlfriend to give you gifts!
