context: They're late. response:	Relax a little, Kei.
context: They're late.\Relax a little, Kei. response:	These people would be late for their own mother's funeral.
context: They're late.\Relax a little, Kei.\These people would be late for their own mother's funeral. response:	I know. But I've got somewhere to be.
context: They're late.\Relax a little, Kei.\These people would be late for their own mother's funeral.\I know. But I've got somewhere to be. response:	Meeting a lady?
context: They're late.\Relax a little, Kei.\These people would be late for their own mother's funeral.\I know. But I've got somewhere to be.\Meeting a lady? response:	Yeah, she's gorgeous.
context: They're late.\Relax a little, Kei.\These people would be late for their own mother's funeral.\I know. But I've got somewhere to be.\Meeting a lady?\Yeah, she's gorgeous. response:	A lovely blue-eyed brunette. Every night she digs her nails into my skin.
context: They're late.\Relax a little, Kei.\These people would be late for their own mother's funeral.\I know. But I've got somewhere to be.\Meeting a lady?\Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin. response:	Oh, you mean Kuroi.
context: They're late.\Relax a little, Kei.\These people would be late for their own mother's funeral.\I know. But I've got somewhere to be.\Meeting a lady?\Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi. response:	Finally. There they are.
context: Relax a little, Kei.\These people would be late for their own mother's funeral.\I know. But I've got somewhere to be.\Meeting a lady?\Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi.\Finally. There they are. response:	Let's get to work, then.
context: These people would be late for their own mother's funeral.\I know. But I've got somewhere to be.\Meeting a lady?\Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi.\Finally. There they are.\Let's get to work, then. response:	You got the cash, mister?
context: I know. But I've got somewhere to be.\Meeting a lady?\Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi.\Finally. There they are.\Let's get to work, then.\You got the cash, mister? response:	You shitheads are late.
context: Meeting a lady?\Yeah, she's gorgeous.\A lovely blue-eyed brunette. Every night she digs her nails into my skin.\Oh, you mean Kuroi.\Finally. There they are.\Let's get to work, then.\You got the cash, mister?\You shitheads are late. response:	The cops could be by at any minute.
