context: Presented by SoulEaterFan response:	Presented by SoulEaterFan
context: Presented by SoulEaterFan\Presented by SoulEaterFan response:	Hold your breath
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath response:	Deadly Night awaits us
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us response:	You desired it,
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it, response:	the world like that
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that response:	to reflect in those eyes
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes response:	OOHO
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO response:	Even if those dreams will be scary
context: Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary response:	For your sake, Fairy Blue
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue response:	Breaking of stars
context: Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars response:	was decorated by
context: You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by response:	So don't stop believing!
context: the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing! response:	As long as I'm looking at
context: to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at response:	the brightly shining moon.
context: OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon. response:	My dried lips
context: Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips response:	are exposed to
context: For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to response:	the freezing sun.
context: Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun. response:	Overflowing tears
context: was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears response:	with its reflecting shine,
context: So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine, response:	keep falling down my cheeks.
context: As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks. response:	Hoping to make up,
context: the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up, response:	I have been looking for you
context: My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you response:	in dreary places.
context: are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places. response:	When our fingers made contact
context: the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact response:	the only thing that was scrambled
context: Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled response:	was your loneliness
context: with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness response:	The wish we held on
context: keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on response:	in the middle of our heartbeats,
context: Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats, response:	if only that was our destiny...
context: I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny... response:	Although I have lost you,
context: in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you, response:	the memories you left behind,
context: When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind, response:	along with your image,
context: the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image, response:	even now
context: was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now response:	remain within' me...
context: The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me... response:	Cut the Cards
context: in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Cut the Cards response:	Cut the Cards: Medusa Surrenders to Shibusen?
context: if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen? response:	Winding and Sliding
context: Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding response:	The Dancing Doctor, A New World?
context: the memories you left behind,\along with your image,\even now\remain within' me...\Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding\The Dancing Doctor, A New World? response:	I've come to make a deal.
context: along with your image,\even now\remain within' me...\Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding\The Dancing Doctor, A New World?\I've come to make a deal. response:	She's here.
context: even now\remain within' me...\Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding\The Dancing Doctor, A New World?\I've come to make a deal.\She's here. response:	Even with her Soul Protect on, I can tell...
context: remain within' me...\Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding\The Dancing Doctor, A New World?\I've come to make a deal.\She's here.\Even with her Soul Protect on, I can tell... response:	That Medusa is behind this door.
context: Cut the Cards\Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding\The Dancing Doctor, A New World?\I've come to make a deal.\She's here.\Even with her Soul Protect on, I can tell...\That Medusa is behind this door. response:	Is someone there?
context: Cut the Cards: Medusa Surrenders to Shibusen?\Winding and Sliding\The Dancing Doctor, A New World?\I've come to make a deal.\She's here.\Even with her Soul Protect on, I can tell...\That Medusa is behind this door.\Is someone there? response:	I'm thirsty.
context: Winding and Sliding\The Dancing Doctor, A New World?\I've come to make a deal.\She's here.\Even with her Soul Protect on, I can tell...\That Medusa is behind this door.\Is someone there?\I'm thirsty. response:	May I have a glass of water?
context: The Dancing Doctor, A New World?\I've come to make a deal.\She's here.\Even with her Soul Protect on, I can tell...\That Medusa is behind this door.\Is someone there?\I'm thirsty.\May I have a glass of water? response:	That bitch...
context: I've come to make a deal.\She's here.\Even with her Soul Protect on, I can tell...\That Medusa is behind this door.\Is someone there?\I'm thirsty.\May I have a glass of water?\That bitch... response:	Medusa!
context: She's here.\Even with her Soul Protect on, I can tell...\That Medusa is behind this door.\Is someone there?\I'm thirsty.\May I have a glass of water?\That bitch...\Medusa! response:	Oh, a girl's voice.
context: Even with her Soul Protect on, I can tell...\That Medusa is behind this door.\Is someone there?\I'm thirsty.\May I have a glass of water?\That bitch...\Medusa!\Oh, a girl's voice. response:	Is there something I can do for you?
context: That Medusa is behind this door.\Is someone there?\I'm thirsty.\May I have a glass of water?\That bitch...\Medusa!\Oh, a girl's voice.\Is there something I can do for you? response:	It's all your fault.
context: Is someone there?\I'm thirsty.\May I have a glass of water?\That bitch...\Medusa!\Oh, a girl's voice.\Is there something I can do for you?\It's all your fault. response:	What are you talking about?
context: I'm thirsty.\May I have a glass of water?\That bitch...\Medusa!\Oh, a girl's voice.\Is there something I can do for you?\It's all your fault.\What are you talking about? response:	I don't understand what you mean.
context: May I have a glass of water?\That bitch...\Medusa!\Oh, a girl's voice.\Is there something I can do for you?\It's all your fault.\What are you talking about?\I don't understand what you mean. response:	It's your fault that Crona's suffering!
