context: Hot Summer Day response:	Spirits of the Dead
context: Hot Summer Day\Spirits of the Dead response:	Hey, Shu! Open this for me!
context: Hot Summer Day\Spirits of the Dead\Hey, Shu! Open this for me! response:	Huh? Are you going out somewhere?
context: Hot Summer Day\Spirits of the Dead\Hey, Shu! Open this for me!\Huh? Are you going out somewhere? response:	We've been over this! My club's going on a vacation.
context: Hot Summer Day\Spirits of the Dead\Hey, Shu! Open this for me!\Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation. response:	Oh, yeah, I sort of feel like you told me that... did you?
context: Hot Summer Day\Spirits of the Dead\Hey, Shu! Open this for me!\Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you? response:	Yes, I did.
context: Hot Summer Day\Spirits of the Dead\Hey, Shu! Open this for me!\Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did. response:	I'm not going to be home for a while, got it?
context: Hot Summer Day\Spirits of the Dead\Hey, Shu! Open this for me!\Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did.\I'm not going to be home for a while, got it? response:	What, you're leaving me here all alone?!
context: Spirits of the Dead\Hey, Shu! Open this for me!\Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did.\I'm not going to be home for a while, got it?\What, you're leaving me here all alone?! response:	It's not my fault, you know.
context: Hey, Shu! Open this for me!\Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did.\I'm not going to be home for a while, got it?\What, you're leaving me here all alone?!\It's not my fault, you know. response:	But I'll be lonely! I'm coming with you!
context: Huh? Are you going out somewhere?\We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did.\I'm not going to be home for a while, got it?\What, you're leaving me here all alone?!\It's not my fault, you know.\But I'll be lonely! I'm coming with you! response:	Stop it, you're heavy!
context: We've been over this! My club's going on a vacation.\Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did.\I'm not going to be home for a while, got it?\What, you're leaving me here all alone?!\It's not my fault, you know.\But I'll be lonely! I'm coming with you!\Stop it, you're heavy! response:	Inori! Shu says he's abandoning me!
context: Oh, yeah, I sort of feel like you told me that... did you?\Yes, I did.\I'm not going to be home for a while, got it?\What, you're leaving me here all alone?!\It's not my fault, you know.\But I'll be lonely! I'm coming with you!\Stop it, you're heavy!\Inori! Shu says he's abandoning me! response:	Enough, okay? Let go!
context: Yes, I did.\I'm not going to be home for a while, got it?\What, you're leaving me here all alone?!\It's not my fault, you know.\But I'll be lonely! I'm coming with you!\Stop it, you're heavy!\Inori! Shu says he's abandoning me!\Enough, okay? Let go! response:	You're going to Oshima, right?
context: I'm not going to be home for a while, got it?\What, you're leaving me here all alone?!\It's not my fault, you know.\But I'll be lonely! I'm coming with you!\Stop it, you're heavy!\Inori! Shu says he's abandoning me!\Enough, okay? Let go!\You're going to Oshima, right? response:	Yeah.
context: What, you're leaving me here all alone?!\It's not my fault, you know.\But I'll be lonely! I'm coming with you!\Stop it, you're heavy!\Inori! Shu says he's abandoning me!\Enough, okay? Let go!\You're going to Oshima, right?\Yeah. response:	I see.
context: It's not my fault, you know.\But I'll be lonely! I'm coming with you!\Stop it, you're heavy!\Inori! Shu says he's abandoning me!\Enough, okay? Let go!\You're going to Oshima, right?\Yeah.\I see. response:	Pay your father a visit, then.
context: But I'll be lonely! I'm coming with you!\Stop it, you're heavy!\Inori! Shu says he's abandoning me!\Enough, okay? Let go!\You're going to Oshima, right?\Yeah.\I see.\Pay your father a visit, then. response:	We're here, we're here!
context: Stop it, you're heavy!\Inori! Shu says he's abandoning me!\Enough, okay? Let go!\You're going to Oshima, right?\Yeah.\I see.\Pay your father a visit, then.\We're here, we're here! response:	What a nice day! I'm so glad it's not raining.
context: Inori! Shu says he's abandoning me!\Enough, okay? Let go!\You're going to Oshima, right?\Yeah.\I see.\Pay your father a visit, then.\We're here, we're here!\What a nice day! I'm so glad it's not raining. response:	So, I hear we're heading to your family's vacation house?
context: Enough, okay? Let go!\You're going to Oshima, right?\Yeah.\I see.\Pay your father a visit, then.\We're here, we're here!\What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house? response:	Uh, yeah. I lived here when I was a little kid.
context: You're going to Oshima, right?\Yeah.\I see.\Pay your father a visit, then.\We're here, we're here!\What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid. response:	Man, you're a lifesaver!
context: Yeah.\I see.\Pay your father a visit, then.\We're here, we're here!\What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver! response:	Tamadate Souta?
context: I see.\Pay your father a visit, then.\We're here, we're here!\What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver!\Tamadate Souta? response:	You mean the one in my class?
context: Pay your father a visit, then.\We're here, we're here!\What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver!\Tamadate Souta?\You mean the one in my class? response:	Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.
context: We're here, we're here!\What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver!\Tamadate Souta?\You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there. response:	We need his Void's power to break through their security.
context: What a nice day! I'm so glad it's not raining.\So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver!\Tamadate Souta?\You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security. response:	Of all people...
context: So, I hear we're heading to your family's vacation house?\Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver!\Tamadate Souta?\You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security.\Of all people... response:	All you have to do is invite him on a trip. You can't tell me that's hard.
context: Uh, yeah. I lived here when I was a little kid.\Man, you're a lifesaver!\Tamadate Souta?\You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security.\Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard. response:	I can do it.
context: Man, you're a lifesaver!\Tamadate Souta?\You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security.\Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it. response:	Very good. Always cherish your friends.
context: Tamadate Souta?\You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security.\Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it.\Very good. Always cherish your friends. response:	Stupid Gai. He doesn't understand my feelings at all.
context: You mean the one in my class?\Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security.\Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it.\Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all. response:	Whoa! This place is so fancy!
context: Yes. Bring him to Oshima. We're going to infiltrate a GHQ facility there.\We need his Void's power to break through their security.\Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it.\Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy! response:	What do your folks do for a living, Ouma?
context: We need his Void's power to break through their security.\Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it.\Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy!\What do your folks do for a living, Ouma? response:	Er...
context: Of all people...\All you have to do is invite him on a trip. You can't tell me that's hard.\I can do it.\Very good. Always cherish your friends.\Stupid Gai. He doesn't understand my feelings at all.\Whoa! This place is so fancy!\What do your folks do for a living, Ouma?\Er... response:	What's with this mansion?
