context: You just can't stand to be on your own! response:	Who isn't alone in this society?
context: You just can't stand to be on your own!\Who isn't alone in this society? response:	There's no place for communities in this world
context: You just can't stand to be on your own!\Who isn't alone in this society?\There's no place for communities in this world response:	where everyone is watched over by the system and lives within the system's standards.
context: You just can't stand to be on your own!\Who isn't alone in this society?\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards. response:	Everyone stays in their own little cell,
context: You just can't stand to be on your own!\Who isn't alone in this society?\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell, response:	and the system tames them by giving them each their own personal serenity.
context: You just can't stand to be on your own!\Who isn't alone in this society?\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity. response:	You're the same too, right, Kougami Shinya?
context: You just can't stand to be on your own!\Who isn't alone in this society?\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya? response:	No one accepted your justice.
context: You just can't stand to be on your own!\Who isn't alone in this society?\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya?\No one accepted your justice. response:	No one understood your anger, either.
context: Who isn't alone in this society?\There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya?\No one accepted your justice.\No one understood your anger, either. response:	So you turned your back on trust and friendships,
context: There's no place for communities in this world\where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya?\No one accepted your justice.\No one understood your anger, either.\So you turned your back on trust and friendships, response:	and you even abandoned the only place you could belong to in order to come this far.
context: where everyone is watched over by the system and lives within the system's standards.\Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya?\No one accepted your justice.\No one understood your anger, either.\So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far. response:	And yet you laugh at my solitude?
context: Everyone stays in their own little cell,\and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya?\No one accepted your justice.\No one understood your anger, either.\So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude? response:	But, you know, I highly value one who doesn't fear solitude
context: and the system tames them by giving them each their own personal serenity.\You're the same too, right, Kougami Shinya?\No one accepted your justice.\No one understood your anger, either.\So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude response:	you, who turned your solitude into a weapon.
context: You're the same too, right, Kougami Shinya?\No one accepted your justice.\No one understood your anger, either.\So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon. response:	22: Perfect World
context: No one accepted your justice.\No one understood your anger, either.\So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon.\22: Perfect World response:	22: Perfect World
context: No one understood your anger, either.\So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon.\22: Perfect World\22: Perfect World response:	22: Perfect World
context: So you turned your back on trust and friendships,\and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon.\22: Perfect World\22: Perfect World\22: Perfect World response:	22: Perfect World
context: and you even abandoned the only place you could belong to in order to come this far.\And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon.\22: Perfect World\22: Perfect World\22: Perfect World\22: Perfect World response:	I would like to show
context: And yet you laugh at my solitude?\But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon.\22: Perfect World\22: Perfect World\22: Perfect World\22: Perfect World\I would like to show response:	Cut open my skull
context: But, you know, I highly value one who doesn't fear solitude\you, who turned your solitude into a weapon.\22: Perfect World\22: Perfect World\22: Perfect World\22: Perfect World\I would like to show\Cut open my skull response:	Look into my head
context: you, who turned your solitude into a weapon.\22: Perfect World\22: Perfect World\22: Perfect World\22: Perfect World\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: 22: Perfect World\22: Perfect World\22: Perfect World\22: Perfect World\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: 22: Perfect World\22: Perfect World\22: Perfect World\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: 22: Perfect World\22: Perfect World\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: 22: Perfect World\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	You never learn, do you, Kougami?
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\You never learn, do you, Kougami? response:	Hold it right there,
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\You never learn, do you, Kougami?\Hold it right there, response:	Kougami.
