context: Ourarch-enemy Naraku had totally concealed himself from us. response:	Fifty years ago, Onigumo the brigand gave rise to Naraku.
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku. response:	Rasetsu Kansuke, who harbored a deep grudge against Onigumo,
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo, response:	met Kikyo shortly before his death.
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death. response:	Just about that time, as we journeyed in our search for Naraku,
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku, response:	a chance meeting awaited us.
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us. response:	It seems like such a peaceful village.
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us.\It seems like such a peaceful village. response:	No sign that Naraku's been here.
context: Ourarch-enemy Naraku had totally concealed himself from us.\Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us.\It seems like such a peaceful village.\No sign that Naraku's been here. response:	But this place is...
context: Fifty years ago, Onigumo the brigand gave rise to Naraku.\Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us.\It seems like such a peaceful village.\No sign that Naraku's been here.\But this place is... response:	Huh? What is it, Sango?
context: Rasetsu Kansuke, who harbored a deep grudge against Onigumo,\met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us.\It seems like such a peaceful village.\No sign that Naraku's been here.\But this place is...\Huh? What is it, Sango? response:	Every field is in ruins.
context: met Kikyo shortly before his death.\Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us.\It seems like such a peaceful village.\No sign that Naraku's been here.\But this place is...\Huh? What is it, Sango?\Every field is in ruins. response:	What happened?
context: Just about that time, as we journeyed in our search for Naraku,\a chance meeting awaited us.\It seems like such a peaceful village.\No sign that Naraku's been here.\But this place is...\Huh? What is it, Sango?\Every field is in ruins.\What happened? response:	A boar, perhaps?
context: a chance meeting awaited us.\It seems like such a peaceful village.\No sign that Naraku's been here.\But this place is...\Huh? What is it, Sango?\Every field is in ruins.\What happened?\A boar, perhaps? response:	It's very strange.
context: It seems like such a peaceful village.\No sign that Naraku's been here.\But this place is...\Huh? What is it, Sango?\Every field is in ruins.\What happened?\A boar, perhaps?\It's very strange. response:	- There! - Huh?!
context: No sign that Naraku's been here.\But this place is...\Huh? What is it, Sango?\Every field is in ruins.\What happened?\A boar, perhaps?\It's very strange.\- There! - Huh?! response:	No mistake!
context: But this place is...\Huh? What is it, Sango?\Every field is in ruins.\What happened?\A boar, perhaps?\It's very strange.\- There! - Huh?!\No mistake! response:	- Please wait! - Villagers?
context: Huh? What is it, Sango?\Every field is in ruins.\What happened?\A boar, perhaps?\It's very strange.\- There! - Huh?!\No mistake!\- Please wait! - Villagers? response:	You there... the silver haired one!
