context: Never before in all the world had such a mysterious phantom manifested... response:	And whenever that strange figure appeared before people,
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people, response:	they all felt a chill run down their spines...
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people,\they all felt a chill run down their spines... response:	You're out of places to run, serial jewelry thief!
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people,\they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief! response:	Villain! Surrender!
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people,\they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief!\Villain! Surrender! response:	Fools! You really believe you can capture me?!
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people,\they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief!\Villain! Surrender!\Fools! You really believe you can capture me?! response:	Monster!
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people,\they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief!\Villain! Surrender!\Fools! You really believe you can capture me?!\Monster! response:	An invisible person!
context: Never before in all the world had such a mysterious phantom manifested...\And whenever that strange figure appeared before people,\they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief!\Villain! Surrender!\Fools! You really believe you can capture me?!\Monster!\An invisible person! response:	Yes, be shocked! And cringe in fear!
context: And whenever that strange figure appeared before people,\they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief!\Villain! Surrender!\Fools! You really believe you can capture me?!\Monster!\An invisible person!\Yes, be shocked! And cringe in fear! response:	This is my true form!
context: they all felt a chill run down their spines...\You're out of places to run, serial jewelry thief!\Villain! Surrender!\Fools! You really believe you can capture me?!\Monster!\An invisible person!\Yes, be shocked! And cringe in fear!\This is my true form! response:	Was there ever anything more fearsome in this world
context: You're out of places to run, serial jewelry thief!\Villain! Surrender!\Fools! You really believe you can capture me?!\Monster!\An invisible person!\Yes, be shocked! And cringe in fear!\This is my true form!\Was there ever anything more fearsome in this world response:	than this absolute hollowness, this infinite nothingness?
context: Villain! Surrender!\Fools! You really believe you can capture me?!\Monster!\An invisible person!\Yes, be shocked! And cringe in fear!\This is my true form!\Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness? response:	To the people involved, it was like glimpsing a rip in the fabric of the world.
context: Fools! You really believe you can capture me?!\Monster!\An invisible person!\Yes, be shocked! And cringe in fear!\This is my true form!\Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world. response:	They shivered in terror, shaken to their very souls...
context: Monster!\An invisible person!\Yes, be shocked! And cringe in fear!\This is my true form!\Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls... response:	Huh... So this is the kind of story Lucy writes...
context: An invisible person!\Yes, be shocked! And cringe in fear!\This is my true form!\Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes... response:	Hey, hey!
context: Yes, be shocked! And cringe in fear!\This is my true form!\Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes...\Hey, hey! response:	I never said you could read it!
context: This is my true form!\Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes...\Hey, hey!\I never said you could read it! response:	Yo, Lucy.
context: Was there ever anything more fearsome in this world\than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes...\Hey, hey!\I never said you could read it!\Yo, Lucy. response:	So this time it's a story about an invisible person, huh?
context: than this absolute hollowness, this infinite nothingness?\To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes...\Hey, hey!\I never said you could read it!\Yo, Lucy.\So this time it's a story about an invisible person, huh? response:	W-Well, I thought I'd try tackling sort of a different genre, so...
context: To the people involved, it was like glimpsing a rip in the fabric of the world.\They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes...\Hey, hey!\I never said you could read it!\Yo, Lucy.\So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so... response:	Everybody's thought at least once about what would happen
context: They shivered in terror, shaken to their very souls...\Huh... So this is the kind of story Lucy writes...\Hey, hey!\I never said you could read it!\Yo, Lucy.\So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen response:	if they became invisible, right?
context: Huh... So this is the kind of story Lucy writes...\Hey, hey!\I never said you could read it!\Yo, Lucy.\So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen\if they became invisible, right? response:	And I had a feeling I could write an interesting story about it...
context: Hey, hey!\I never said you could read it!\Yo, Lucy.\So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen\if they became invisible, right?\And I had a feeling I could write an interesting story about it... response:	Fools! You really believe you can capture me?!
context: I never said you could read it!\Yo, Lucy.\So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen\if they became invisible, right?\And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?! response:	Yes, be shocked! And cringe in fear!
context: Yo, Lucy.\So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen\if they became invisible, right?\And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear! response:	This is my true form!
context: So this time it's a story about an invisible person, huh?\W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen\if they became invisible, right?\And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear!\This is my true form! response:	Stop it! Stop it! Stop it!
context: W-Well, I thought I'd try tackling sort of a different genre, so...\Everybody's thought at least once about what would happen\if they became invisible, right?\And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear!\This is my true form!\Stop it! Stop it! Stop it! response:	What did you two come here for?!
context: Everybody's thought at least once about what would happen\if they became invisible, right?\And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear!\This is my true form!\Stop it! Stop it! Stop it!\What did you two come here for?! response:	If you've got no reason, then get out!
context: if they became invisible, right?\And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear!\This is my true form!\Stop it! Stop it! Stop it!\What did you two come here for?!\If you've got no reason, then get out! response:	We're here to invite you out on a job!
context: And I had a feeling I could write an interesting story about it...\Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear!\This is my true form!\Stop it! Stop it! Stop it!\What did you two come here for?!\If you've got no reason, then get out!\We're here to invite you out on a job! response:	If you don't work, you're gonna be flat broke.
context: Fools! You really believe you can capture me?!\Yes, be shocked! And cringe in fear!\This is my true form!\Stop it! Stop it! Stop it!\What did you two come here for?!\If you've got no reason, then get out!\We're here to invite you out on a job!\If you don't work, you're gonna be flat broke. response:	I'm busy right now!
context: Yes, be shocked! And cringe in fear!\This is my true form!\Stop it! Stop it! Stop it!\What did you two come here for?!\If you've got no reason, then get out!\We're here to invite you out on a job!\If you don't work, you're gonna be flat broke.\I'm busy right now! response:	I'm sure you two can handle whatever the job is.
context: This is my true form!\Stop it! Stop it! Stop it!\What did you two come here for?!\If you've got no reason, then get out!\We're here to invite you out on a job!\If you don't work, you're gonna be flat broke.\I'm busy right now!\I'm sure you two can handle whatever the job is. response:	That's not the way it works. We're a team, remember?
context: Stop it! Stop it! Stop it!\What did you two come here for?!\If you've got no reason, then get out!\We're here to invite you out on a job!\If you don't work, you're gonna be flat broke.\I'm busy right now!\I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember? response:	Aye!
context: What did you two come here for?!\If you've got no reason, then get out!\We're here to invite you out on a job!\If you don't work, you're gonna be flat broke.\I'm busy right now!\I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember?\Aye! response:	And when we work together as a team, it's gotta include you.
context: If you've got no reason, then get out!\We're here to invite you out on a job!\If you don't work, you're gonna be flat broke.\I'm busy right now!\I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember?\Aye!\And when we work together as a team, it's gotta include you. response:	Natsu...
context: We're here to invite you out on a job!\If you don't work, you're gonna be flat broke.\I'm busy right now!\I'm sure you two can handle whatever the job is.\That's not the way it works. We're a team, remember?\Aye!\And when we work together as a team, it's gotta include you.\Natsu... response:	Plus, I'm starving!
