context: Otter No. 11 response:	Otter goes back to the sea!
context: Otter No. 11\Otter goes back to the sea! response:	OLIVINE THOLEIITE
context: Otter No. 11\Otter goes back to the sea!\OLIVINE THOLEIITE response:	My tail is made of Carbon nanotubes.
context: Otter No. 11\Otter goes back to the sea!\OLIVINE THOLEIITE\My tail is made of Carbon nanotubes. response:	Fist as yours is like tofu.
context: Otter No. 11\Otter goes back to the sea!\OLIVINE THOLEIITE\My tail is made of Carbon nanotubes.\Fist as yours is like tofu. response:	Don't underestimate tofu... Yushida.
context: Otter No. 11\Otter goes back to the sea!\OLIVINE THOLEIITE\My tail is made of Carbon nanotubes.\Fist as yours is like tofu.\Don't underestimate tofu... Yushida. response:	No,
context: Otter No. 11\Otter goes back to the sea!\OLIVINE THOLEIITE\My tail is made of Carbon nanotubes.\Fist as yours is like tofu.\Don't underestimate tofu... Yushida.\No, response:	Otter No. 9.
context: Otter No. 11\Otter goes back to the sea!\OLIVINE THOLEIITE\My tail is made of Carbon nanotubes.\Fist as yours is like tofu.\Don't underestimate tofu... Yushida.\No,\Otter No. 9. response:	Indeed, I'm Otter No. 9.
context: Otter goes back to the sea!\OLIVINE THOLEIITE\My tail is made of Carbon nanotubes.\Fist as yours is like tofu.\Don't underestimate tofu... Yushida.\No,\Otter No. 9.\Indeed, I'm Otter No. 9. response:	Made for humans convenience... An abandoned Lost Number.
context: OLIVINE THOLEIITE\My tail is made of Carbon nanotubes.\Fist as yours is like tofu.\Don't underestimate tofu... Yushida.\No,\Otter No. 9.\Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number. response:	But I have changed,
context: My tail is made of Carbon nanotubes.\Fist as yours is like tofu.\Don't underestimate tofu... Yushida.\No,\Otter No. 9.\Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number.\But I have changed, response:	By repeating remodeling myself, I became an existence beyond humans.
context: Fist as yours is like tofu.\Don't underestimate tofu... Yushida.\No,\Otter No. 9.\Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number.\But I have changed,\By repeating remodeling myself, I became an existence beyond humans. response:	I already don't need humans.
context: Don't underestimate tofu... Yushida.\No,\Otter No. 9.\Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number.\But I have changed,\By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans. response:	By ridding of humans, we will be the kings of new world.
context: No,\Otter No. 9.\Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number.\But I have changed,\By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans.\By ridding of humans, we will be the kings of new world. response:	I won't let you.
context: Otter No. 9.\Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number.\But I have changed,\By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans.\By ridding of humans, we will be the kings of new world.\I won't let you. response:	PORPHYRITIC ANDESITE
context: Indeed, I'm Otter No. 9.\Made for humans convenience... An abandoned Lost Number.\But I have changed,\By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans.\By ridding of humans, we will be the kings of new world.\I won't let you.\PORPHYRITIC ANDESITE response:	You too are supposed to hate humans,
context: Made for humans convenience... An abandoned Lost Number.\But I have changed,\By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans.\By ridding of humans, we will be the kings of new world.\I won't let you.\PORPHYRITIC ANDESITE\You too are supposed to hate humans, response:	Why are you getting in the way?
context: But I have changed,\By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans.\By ridding of humans, we will be the kings of new world.\I won't let you.\PORPHYRITIC ANDESITE\You too are supposed to hate humans,\Why are you getting in the way? response:	You won't understand.
context: By repeating remodeling myself, I became an existence beyond humans.\I already don't need humans.\By ridding of humans, we will be the kings of new world.\I won't let you.\PORPHYRITIC ANDESITE\You too are supposed to hate humans,\Why are you getting in the way?\You won't understand. response:	I'm Otter Human.
context: I already don't need humans.\By ridding of humans, we will be the kings of new world.\I won't let you.\PORPHYRITIC ANDESITE\You too are supposed to hate humans,\Why are you getting in the way?\You won't understand.\I'm Otter Human. response:	Not an otter nor a human... But Halfway.
context: By ridding of humans, we will be the kings of new world.\I won't let you.\PORPHYRITIC ANDESITE\You too are supposed to hate humans,\Why are you getting in the way?\You won't understand.\I'm Otter Human.\Not an otter nor a human... But Halfway. response:	But this is who I am.
