context: Milika here! response:	In this video, I try walking in on three of my classmates in a relationship.
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship. response:	I thought about messing with them, but...
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but... response:	They found out I'm secretly a MeTuber!
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but...\They found out I'm secretly a MeTuber! response:	I'm going to have to become this weirdo's girlfriend now!
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but...\They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now! response:	I'll be your girlfriend, too!
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but...\They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too! response:	What?
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but...\They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too!\What? response:	You? Become Naoya's girlfriend?
context: Milika here!\In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but...\They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too!\What?\You? Become Naoya's girlfriend? response:	That's right.
context: In this video, I try walking in on three of my classmates in a relationship.\I thought about messing with them, but...\They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too!\What?\You? Become Naoya's girlfriend?\That's right. response:	I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.
context: I thought about messing with them, but...\They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too!\What?\You? Become Naoya's girlfriend?\That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend. response:	Wh-What are you trying to do?
context: They found out I'm secretly a MeTuber!\I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too!\What?\You? Become Naoya's girlfriend?\That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do? response:	Um...
context: I'm going to have to become this weirdo's girlfriend now!\I'll be your girlfriend, too!\What?\You? Become Naoya's girlfriend?\That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do?\Um... response:	Maybe, now that her identity's out,
context: I'll be your girlfriend, too!\What?\You? Become Naoya's girlfriend?\That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do?\Um...\Maybe, now that her identity's out, response:	she wants a man to protect her from creepy stalkers and stuff.
context: What?\You? Become Naoya's girlfriend?\That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do?\Um...\Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff. response:	N-N-N-N-N-N-No way!
context: You? Become Naoya's girlfriend?\That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do?\Um...\Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way! response:	She's so obvious!
context: That's right.\I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do?\Um...\Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way!\She's so obvious! response:	Why would I ever ask anyone for help?
context: I, Milika-sama, the heartbreakingly cute streamer, will be your third girlfriend.\Wh-What are you trying to do?\Um...\Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way!\She's so obvious!\Why would I ever ask anyone for help? response:	Um...
context: Wh-What are you trying to do?\Um...\Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way!\She's so obvious!\Why would I ever ask anyone for help?\Um... response:	I j-just felt like it's time I had a boyfriend.
context: Um...\Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way!\She's so obvious!\Why would I ever ask anyone for help?\Um...\I j-just felt like it's time I had a boyfriend. response:	Such a sloppy lie.
context: Maybe, now that her identity's out,\she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way!\She's so obvious!\Why would I ever ask anyone for help?\Um...\I j-just felt like it's time I had a boyfriend.\Such a sloppy lie. response:	Saki-chan...
context: she wants a man to protect her from creepy stalkers and stuff.\N-N-N-N-N-N-No way!\She's so obvious!\Why would I ever ask anyone for help?\Um...\I j-just felt like it's time I had a boyfriend.\Such a sloppy lie.\Saki-chan... response:	She says that's not it, so that's not it.
context: N-N-N-N-N-N-No way!\She's so obvious!\Why would I ever ask anyone for help?\Um...\I j-just felt like it's time I had a boyfriend.\Such a sloppy lie.\Saki-chan...\She says that's not it, so that's not it. response:	How are you so gullible?!
context: She's so obvious!\Why would I ever ask anyone for help?\Um...\I j-just felt like it's time I had a boyfriend.\Such a sloppy lie.\Saki-chan...\She says that's not it, so that's not it.\How are you so gullible?! response:	Aren't you happy?
context: Why would I ever ask anyone for help?\Um...\I j-just felt like it's time I had a boyfriend.\Such a sloppy lie.\Saki-chan...\She says that's not it, so that's not it.\How are you so gullible?!\Aren't you happy? response:	My long, slender legs.
context: Um...\I j-just felt like it's time I had a boyfriend.\Such a sloppy lie.\Saki-chan...\She says that's not it, so that's not it.\How are you so gullible?!\Aren't you happy?\My long, slender legs. response:	My glamorous body.
context: I j-just felt like it's time I had a boyfriend.\Such a sloppy lie.\Saki-chan...\She says that's not it, so that's not it.\How are you so gullible?!\Aren't you happy?\My long, slender legs.\My glamorous body. response:	My long lashes and clear eyes...
context: Such a sloppy lie.\Saki-chan...\She says that's not it, so that's not it.\How are you so gullible?!\Aren't you happy?\My long, slender legs.\My glamorous body.\My long lashes and clear eyes... response:	You won't come across many girls as pretty as me.
context: Saki-chan...\She says that's not it, so that's not it.\How are you so gullible?!\Aren't you happy?\My long, slender legs.\My glamorous body.\My long lashes and clear eyes...\You won't come across many girls as pretty as me. response:	Will you?
context: She says that's not it, so that's not it.\How are you so gullible?!\Aren't you happy?\My long, slender legs.\My glamorous body.\My long lashes and clear eyes...\You won't come across many girls as pretty as me.\Will you? response:	T-True.
context: How are you so gullible?!\Aren't you happy?\My long, slender legs.\My glamorous body.\My long lashes and clear eyes...\You won't come across many girls as pretty as me.\Will you?\T-True. response:	Naoya?!
context: Aren't you happy?\My long, slender legs.\My glamorous body.\My long lashes and clear eyes...\You won't come across many girls as pretty as me.\Will you?\T-True.\Naoya?! response:	I think you're really cute.
context: My long, slender legs.\My glamorous body.\My long lashes and clear eyes...\You won't come across many girls as pretty as me.\Will you?\T-True.\Naoya?!\I think you're really cute. response:	Of course.
context: My glamorous body.\My long lashes and clear eyes...\You won't come across many girls as pretty as me.\Will you?\T-True.\Naoya?!\I think you're really cute.\Of course. response:	I've actually seen your videos and thought you're attractive.
context: My long lashes and clear eyes...\You won't come across many girls as pretty as me.\Will you?\T-True.\Naoya?!\I think you're really cute.\Of course.\I've actually seen your videos and thought you're attractive. response:	Right?
context: You won't come across many girls as pretty as me.\Will you?\T-True.\Naoya?!\I think you're really cute.\Of course.\I've actually seen your videos and thought you're attractive.\Right? response:	It'd be like a dream if I could make you my girlfriend.
context: Will you?\T-True.\Naoya?!\I think you're really cute.\Of course.\I've actually seen your videos and thought you're attractive.\Right?\It'd be like a dream if I could make you my girlfriend. response:	Aw...
context: T-True.\Naoya?!\I think you're really cute.\Of course.\I've actually seen your videos and thought you're attractive.\Right?\It'd be like a dream if I could make you my girlfriend.\Aw... response:	But... sorry.
context: Naoya?!\I think you're really cute.\Of course.\I've actually seen your videos and thought you're attractive.\Right?\It'd be like a dream if I could make you my girlfriend.\Aw...\But... sorry. response:	Huh?
context: I think you're really cute.\Of course.\I've actually seen your videos and thought you're attractive.\Right?\It'd be like a dream if I could make you my girlfriend.\Aw...\But... sorry.\Huh? response:	Girlfriend, Girlfriend
context: Of course.\I've actually seen your videos and thought you're attractive.\Right?\It'd be like a dream if I could make you my girlfriend.\Aw...\But... sorry.\Huh?\Girlfriend, Girlfriend response:	Girlfriend, Girlfriend
context: I've actually seen your videos and thought you're attractive.\Right?\It'd be like a dream if I could make you my girlfriend.\Aw...\But... sorry.\Huh?\Girlfriend, Girlfriend\Girlfriend, Girlfriend response:	Episode 5
context: Right?\It'd be like a dream if I could make you my girlfriend.\Aw...\But... sorry.\Huh?\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 5 response:	A Third One!?
context: It'd be like a dream if I could make you my girlfriend.\Aw...\But... sorry.\Huh?\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 5\A Third One!? response:	Huh?
context: Aw...\But... sorry.\Huh?\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 5\A Third One!?\Huh? response:	Sorry.
context: But... sorry.\Huh?\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 5\A Third One!?\Huh?\Sorry. response:	I can't date you.
context: Huh?\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 5\A Third One!?\Huh?\Sorry.\I can't date you. response:	Naoya! Well said!
context: Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 5\A Third One!?\Huh?\Sorry.\I can't date you.\Naoya! Well said! response:	Naoya-kun!
context: Girlfriend, Girlfriend\Episode 5\A Third One!?\Huh?\Sorry.\I can't date you.\Naoya! Well said!\Naoya-kun! response:	Y-You're going to reject me?!
context: Episode 5\A Third One!?\Huh?\Sorry.\I can't date you.\Naoya! Well said!\Naoya-kun!\Y-You're going to reject me?! response:	W-Wait, you!
context: A Third One!?\Huh?\Sorry.\I can't date you.\Naoya! Well said!\Naoya-kun!\Y-You're going to reject me?!\W-Wait, you! response:	Are you actually going to reject me?
context: Huh?\Sorry.\I can't date you.\Naoya! Well said!\Naoya-kun!\Y-You're going to reject me?!\W-Wait, you!\Are you actually going to reject me? response:	I'm sorry. Really.
context: Sorry.\I can't date you.\Naoya! Well said!\Naoya-kun!\Y-You're going to reject me?!\W-Wait, you!\Are you actually going to reject me?\I'm sorry. Really. response:	If you're just looking for a boyfriend, you'll find one in no time.
context: I can't date you.\Naoya! Well said!\Naoya-kun!\Y-You're going to reject me?!\W-Wait, you!\Are you actually going to reject me?\I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time. response:	But I'm so cute, and I'm huge on MeTube.
context: Naoya! Well said!\Naoya-kun!\Y-You're going to reject me?!\W-Wait, you!\Are you actually going to reject me?\I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube. response:	I'm obviously better than those two!
context: Naoya-kun!\Y-You're going to reject me?!\W-Wait, you!\Are you actually going to reject me?\I'm sorry. Really.\If you're just looking for a boyfriend, you'll find one in no time.\But I'm so cute, and I'm huge on MeTube.\I'm obviously better than those two! response:	Is that really how you choose who to date?
