context: The next day, Chizu-chan came to school looking refreshed, response:	as if she'd finally pulled a splinter out of her heart.
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart. response:	She still wouldn't talk to Sanada-kun,
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun, response:	but she didn't seem to be ignoring him like yesterday.
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday. response:	I feel like having fun.
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday.\I feel like having fun. response:	Fun?
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday.\I feel like having fun.\Fun? response:	I'm in, as long as it's not an all-you-can-eat or anything.
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday.\I feel like having fun.\Fun?\I'm in, as long as it's not an all-you-can-eat or anything. response:	No?
context: The next day, Chizu-chan came to school looking refreshed,\as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday.\I feel like having fun.\Fun?\I'm in, as long as it's not an all-you-can-eat or anything.\No? response:	I'll get fat.
context: as if she'd finally pulled a splinter out of her heart.\She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday.\I feel like having fun.\Fun?\I'm in, as long as it's not an all-you-can-eat or anything.\No?\I'll get fat. response:	I know!
context: She still wouldn't talk to Sanada-kun,\but she didn't seem to be ignoring him like yesterday.\I feel like having fun.\Fun?\I'm in, as long as it's not an all-you-can-eat or anything.\No?\I'll get fat.\I know! response:	I felt like Chizu-chan had come back.
context: but she didn't seem to be ignoring him like yesterday.\I feel like having fun.\Fun?\I'm in, as long as it's not an all-you-can-eat or anything.\No?\I'll get fat.\I know!\I felt like Chizu-chan had come back. response:	The last time we sang was at the sports day party.
context: I feel like having fun.\Fun?\I'm in, as long as it's not an all-you-can-eat or anything.\No?\I'll get fat.\I know!\I felt like Chizu-chan had come back.\The last time we sang was at the sports day party. response:	I don't think I'm as pissed at Ryu as I was anymore either.
context: Fun?\I'm in, as long as it's not an all-you-can-eat or anything.\No?\I'll get fat.\I know!\I felt like Chizu-chan had come back.\The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either. response:	That's good.
context: I'm in, as long as it's not an all-you-can-eat or anything.\No?\I'll get fat.\I know!\I felt like Chizu-chan had come back.\The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either.\That's good. response:	You want to have ramen before we go home?
context: No?\I'll get fat.\I know!\I felt like Chizu-chan had come back.\The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either.\That's good.\You want to have ramen before we go home? response:	At Sanada-kun's place?
context: I'll get fat.\I know!\I felt like Chizu-chan had come back.\The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either.\That's good.\You want to have ramen before we go home?\At Sanada-kun's place? response:	Really?
context: I know!\I felt like Chizu-chan had come back.\The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either.\That's good.\You want to have ramen before we go home?\At Sanada-kun's place?\Really? response:	Nah, I think I might get pissed again if I look at his face.
context: I felt like Chizu-chan had come back.\The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either.\That's good.\You want to have ramen before we go home?\At Sanada-kun's place?\Really?\Nah, I think I might get pissed again if I look at his face. response:	Yeah.
context: The last time we sang was at the sports day party.\I don't think I'm as pissed at Ryu as I was anymore either.\That's good.\You want to have ramen before we go home?\At Sanada-kun's place?\Really?\Nah, I think I might get pissed again if I look at his face.\Yeah. response:	We said a lot about Ryu,
context: I don't think I'm as pissed at Ryu as I was anymore either.\That's good.\You want to have ramen before we go home?\At Sanada-kun's place?\Really?\Nah, I think I might get pissed again if I look at his face.\Yeah.\We said a lot about Ryu, response:	but I'm actually glad he's here.
context: That's good.\You want to have ramen before we go home?\At Sanada-kun's place?\Really?\Nah, I think I might get pissed again if I look at his face.\Yeah.\We said a lot about Ryu,\but I'm actually glad he's here. response:	You might not have been able to snap if he weren't around.
context: You want to have ramen before we go home?\At Sanada-kun's place?\Really?\Nah, I think I might get pissed again if I look at his face.\Yeah.\We said a lot about Ryu,\but I'm actually glad he's here.\You might not have been able to snap if he weren't around. response:	I've been thinking, ever since that fight...
context: At Sanada-kun's place?\Really?\Nah, I think I might get pissed again if I look at his face.\Yeah.\We said a lot about Ryu,\but I'm actually glad he's here.\You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight... response:	I must have wanted to talk to Tohru.
context: Really?\Nah, I think I might get pissed again if I look at his face.\Yeah.\We said a lot about Ryu,\but I'm actually glad he's here.\You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight...\I must have wanted to talk to Tohru. response:	I didn't realize either.
context: Nah, I think I might get pissed again if I look at his face.\Yeah.\We said a lot about Ryu,\but I'm actually glad he's here.\You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight...\I must have wanted to talk to Tohru.\I didn't realize either. response:	Not that I could have talked to him the way I was, of course.
context: Yeah.\We said a lot about Ryu,\but I'm actually glad he's here.\You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight...\I must have wanted to talk to Tohru.\I didn't realize either.\Not that I could have talked to him the way I was, of course. response:	What will you say when you next see him?
context: We said a lot about Ryu,\but I'm actually glad he's here.\You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight...\I must have wanted to talk to Tohru.\I didn't realize either.\Not that I could have talked to him the way I was, of course.\What will you say when you next see him? response:	I love you.”
context: but I'm actually glad he's here.\You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight...\I must have wanted to talk to Tohru.\I didn't realize either.\Not that I could have talked to him the way I was, of course.\What will you say when you next see him?\I love you.” response:	Just kidding.
context: You might not have been able to snap if he weren't around.\I've been thinking, ever since that fight...\I must have wanted to talk to Tohru.\I didn't realize either.\Not that I could have talked to him the way I was, of course.\What will you say when you next see him?\I love you.”\Just kidding. response:	You didn't think I was serious, did you?
context: I've been thinking, ever since that fight...\I must have wanted to talk to Tohru.\I didn't realize either.\Not that I could have talked to him the way I was, of course.\What will you say when you next see him?\I love you.”\Just kidding.\You didn't think I was serious, did you? response:	Sorry, that's really not funny.
context: I must have wanted to talk to Tohru.\I didn't realize either.\Not that I could have talked to him the way I was, of course.\What will you say when you next see him?\I love you.”\Just kidding.\You didn't think I was serious, did you?\Sorry, that's really not funny. response:	Oh, she's kidding.
context: I didn't realize either.\Not that I could have talked to him the way I was, of course.\What will you say when you next see him?\I love you.”\Just kidding.\You didn't think I was serious, did you?\Sorry, that's really not funny.\Oh, she's kidding. response:	No, I won't.
context: Not that I could have talked to him the way I was, of course.\What will you say when you next see him?\I love you.”\Just kidding.\You didn't think I was serious, did you?\Sorry, that's really not funny.\Oh, she's kidding.\No, I won't. response:	I already know what he'd say.
context: What will you say when you next see him?\I love you.”\Just kidding.\You didn't think I was serious, did you?\Sorry, that's really not funny.\Oh, she's kidding.\No, I won't.\I already know what he'd say. response:	Huh?
context: I love you.”\Just kidding.\You didn't think I was serious, did you?\Sorry, that's really not funny.\Oh, she's kidding.\No, I won't.\I already know what he'd say.\Huh? response:	What?
