context: The enemy is completely falling apart. response:	Take it! Now is the time to achieve honor! Take it all now!
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now! response:	-Right! -We'll give vent to our fifty years of anger!
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger! response:	Olminu!
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger!\Olminu! response:	Tell Yoichi. Extend the firing line.
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger!\Olminu!\Tell Yoichi. Extend the firing line. response:	Yoichi! Nobunaga said, Start shooting their rear. Break them.
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger!\Olminu!\Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them. response:	Roger.
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger!\Olminu!\Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger. response:	Musketmen! Keep reloading! Don't let your fuse extinguish!
context: The enemy is completely falling apart.\Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger!\Olminu!\Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish! response:	When Toyo falls back, we provide cover fire.
context: Take it! Now is the time to achieve honor! Take it all now!\-Right! -We'll give vent to our fifty years of anger!\Olminu!\Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire. response:	But since Toyo is Toyo, he probably won't fall back...
context: -Right! -We'll give vent to our fifty years of anger!\Olminu!\Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back... response:	In that case, we will also charge forward.
context: Olminu!\Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward. response:	Can we keep this going?
context: Tell Yoichi. Extend the firing line.\Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward.\Can we keep this going? response:	No, I have a bad feeling about this.
context: Yoichi! Nobunaga said, Start shooting their rear. Break them.\Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward.\Can we keep this going?\No, I have a bad feeling about this. response:	It has the same smell as Kanegasaki.
context: Roger.\Musketmen! Keep reloading! Don't let your fuse extinguish!\When Toyo falls back, we provide cover fire.\But since Toyo is Toyo, he probably won't fall back...\In that case, we will also charge forward.\Can we keep this going?\No, I have a bad feeling about this.\It has the same smell as Kanegasaki. response:	Abandon the vanguard.
