context: I'm hungry, Nako. response:	Me too.
context: I'm hungry, Nako.\Me too. response:	Give me a second.
context: I'm hungry, Nako.\Me too.\Give me a second. response:	Jeez, it's not often I'm off work early,
context: I'm hungry, Nako.\Me too.\Give me a second.\Jeez, it's not often I'm off work early, response:	yet look at what I'm doing...
context: I'm hungry, Nako.\Me too.\Give me a second.\Jeez, it's not often I'm off work early,\yet look at what I'm doing... response:	Oops...
context: I'm hungry, Nako.\Me too.\Give me a second.\Jeez, it's not often I'm off work early,\yet look at what I'm doing...\Oops... response:	I don't want onions.
context: I'm hungry, Nako.\Me too.\Give me a second.\Jeez, it's not often I'm off work early,\yet look at what I'm doing...\Oops...\I don't want onions. response:	Me neither.
context: I'm hungry, Nako.\Me too.\Give me a second.\Jeez, it's not often I'm off work early,\yet look at what I'm doing...\Oops...\I don't want onions.\Me neither. response:	You won't grow if you don't eat-
context: Me too.\Give me a second.\Jeez, it's not often I'm off work early,\yet look at what I'm doing...\Oops...\I don't want onions.\Me neither.\You won't grow if you don't eat- response:	If you don't eat your veggies,
context: Give me a second.\Jeez, it's not often I'm off work early,\yet look at what I'm doing...\Oops...\I don't want onions.\Me neither.\You won't grow if you don't eat-\If you don't eat your veggies, response:	the old man from the third district is
context: Jeez, it's not often I'm off work early,\yet look at what I'm doing...\Oops...\I don't want onions.\Me neither.\You won't grow if you don't eat-\If you don't eat your veggies,\the old man from the third district is response:	gonna steal your belly button!
context: yet look at what I'm doing...\Oops...\I don't want onions.\Me neither.\You won't grow if you don't eat-\If you don't eat your veggies,\the old man from the third district is\gonna steal your belly button! response:	No!
context: Oops...\I don't want onions.\Me neither.\You won't grow if you don't eat-\If you don't eat your veggies,\the old man from the third district is\gonna steal your belly button!\No! response:	I don't agree.
context: I don't want onions.\Me neither.\You won't grow if you don't eat-\If you don't eat your veggies,\the old man from the third district is\gonna steal your belly button!\No!\I don't agree. response:	Praising a child too much is counterproductive.
context: Me neither.\You won't grow if you don't eat-\If you don't eat your veggies,\the old man from the third district is\gonna steal your belly button!\No!\I don't agree.\Praising a child too much is counterproductive. response:	What if they get accustomed to it and grow up to be lazy?
context: You won't grow if you don't eat-\If you don't eat your veggies,\the old man from the third district is\gonna steal your belly button!\No!\I don't agree.\Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy? response:	No, children are clever.
context: If you don't eat your veggies,\the old man from the third district is\gonna steal your belly button!\No!\I don't agree.\Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy?\No, children are clever. response:	If they're praised,
context: the old man from the third district is\gonna steal your belly button!\No!\I don't agree.\Praising a child too much is counterproductive.\What if they get accustomed to it and grow up to be lazy?\No, children are clever.\If they're praised, response:	they'll work even harder to become
