context: hajimete no kimochi my first feelings response:	shonbori no mune ni upon my downhearted chest
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest response:	sotto nagerareta hidamarine a sunny ray of light was gently thrown
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown response:	hitori aruiteta walking alone...
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone... response:	sora miageta toki when I looked up at the sky,
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky, response:	haru ga soko ni kiteta spring was near,
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near, response:	misetekureta it showed me
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near,\misetekureta it showed me response:	kowareru omoiwa these trembling feelings are
context: hajimete no kimochi my first feelings\shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near,\misetekureta it showed me\kowareru omoiwa these trembling feelings are response:	maichiru hanabirane fluttering petals,
context: shonbori no mune ni upon my downhearted chest\sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near,\misetekureta it showed me\kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals, response:	sukininatte iino is it okay for me to fall in love?
context: sotto nagerareta hidamarine a sunny ray of light was gently thrown\hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near,\misetekureta it showed me\kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love? response:	soretomo or will...
context: hitori aruiteta walking alone...\sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near,\misetekureta it showed me\kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will... response:	tamerau kokoro ga my hesitating heart
context: sora miageta toki when I looked up at the sky,\haru ga soko ni kiteta spring was near,\misetekureta it showed me\kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart response:	bureiki kakerukedo put on my brakes,
context: haru ga soko ni kiteta spring was near,\misetekureta it showed me\kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes, response:	kurushikute it's so painful
context: misetekureta it showed me\kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful response:	ikiga tomarisou desu I can't breathe
