context: The moon's pretty. response:	Is that, like...
context: The moon's pretty.\Is that, like... response:	Sacchan, you're supposed to look at this person if you're confessing.
context: The moon's pretty.\Is that, like...\Sacchan, you're supposed to look at this person if you're confessing. response:	R-Right, Hiro-kun?
context: The moon's pretty.\Is that, like...\Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun? response:	Otherwise it's like I'm...
context: The moon's pretty.\Is that, like...\Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun?\Otherwise it's like I'm... response:	Huh?
context: The moon's pretty.\Is that, like...\Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun?\Otherwise it's like I'm...\Huh? response:	I'm confessing to both of you.
context: The moon's pretty.\Is that, like...\Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun?\Otherwise it's like I'm...\Huh?\I'm confessing to both of you. response:	I like Touko-chan,
context: The moon's pretty.\Is that, like...\Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun?\Otherwise it's like I'm...\Huh?\I'm confessing to both of you.\I like Touko-chan, response:	and I like Hiro-kun.
context: Is that, like...\Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun?\Otherwise it's like I'm...\Huh?\I'm confessing to both of you.\I like Touko-chan,\and I like Hiro-kun. response:	Thanks.
context: Sacchan, you're supposed to look at this person if you're confessing.\R-Right, Hiro-kun?\Otherwise it's like I'm...\Huh?\I'm confessing to both of you.\I like Touko-chan,\and I like Hiro-kun.\Thanks. response:	I finally said it.
context: R-Right, Hiro-kun?\Otherwise it's like I'm...\Huh?\I'm confessing to both of you.\I like Touko-chan,\and I like Hiro-kun.\Thanks.\I finally said it. response:	Thanks to Hiro-kun.
context: Otherwise it's like I'm...\Huh?\I'm confessing to both of you.\I like Touko-chan,\and I like Hiro-kun.\Thanks.\I finally said it.\Thanks to Hiro-kun. response:	And I could say it to you, too.
context: Huh?\I'm confessing to both of you.\I like Touko-chan,\and I like Hiro-kun.\Thanks.\I finally said it.\Thanks to Hiro-kun.\And I could say it to you, too. response:	Yeah,
context: I'm confessing to both of you.\I like Touko-chan,\and I like Hiro-kun.\Thanks.\I finally said it.\Thanks to Hiro-kun.\And I could say it to you, too.\Yeah, response:	the moon's pretty today.
context: I like Touko-chan,\and I like Hiro-kun.\Thanks.\I finally said it.\Thanks to Hiro-kun.\And I could say it to you, too.\Yeah,\the moon's pretty today. response:	Sacchan, I still don't get it.
context: and I like Hiro-kun.\Thanks.\I finally said it.\Thanks to Hiro-kun.\And I could say it to you, too.\Yeah,\the moon's pretty today.\Sacchan, I still don't get it. response:	Touko-chan, let's stay good friends.
context: Thanks.\I finally said it.\Thanks to Hiro-kun.\And I could say it to you, too.\Yeah,\the moon's pretty today.\Sacchan, I still don't get it.\Touko-chan, let's stay good friends. response:	Yeah,
context: I finally said it.\Thanks to Hiro-kun.\And I could say it to you, too.\Yeah,\the moon's pretty today.\Sacchan, I still don't get it.\Touko-chan, let's stay good friends.\Yeah, response:	the moon's pretty today.
context: Thanks to Hiro-kun.\And I could say it to you, too.\Yeah,\the moon's pretty today.\Sacchan, I still don't get it.\Touko-chan, let's stay good friends.\Yeah,\the moon's pretty today. response:	Episode 10 Jonathan
context: And I could say it to you, too.\Yeah,\the moon's pretty today.\Sacchan, I still don't get it.\Touko-chan, let's stay good friends.\Yeah,\the moon's pretty today.\Episode 10 Jonathan response:	Sacchan seems so happy.
context: Yeah,\the moon's pretty today.\Sacchan, I still don't get it.\Touko-chan, let's stay good friends.\Yeah,\the moon's pretty today.\Episode 10 Jonathan\Sacchan seems so happy. response:	Sacchan texts me every day.
context: the moon's pretty today.\Sacchan, I still don't get it.\Touko-chan, let's stay good friends.\Yeah,\the moon's pretty today.\Episode 10 Jonathan\Sacchan seems so happy.\Sacchan texts me every day. response:	She does?
context: Sacchan, I still don't get it.\Touko-chan, let's stay good friends.\Yeah,\the moon's pretty today.\Episode 10 Jonathan\Sacchan seems so happy.\Sacchan texts me every day.\She does? response:	Saying, For tomorrow.
context: Touko-chan, let's stay good friends.\Yeah,\the moon's pretty today.\Episode 10 Jonathan\Sacchan seems so happy.\Sacchan texts me every day.\She does?\Saying, For tomorrow. response:	For tomorrow?
context: Yeah,\the moon's pretty today.\Episode 10 Jonathan\Sacchan seems so happy.\Sacchan texts me every day.\She does?\Saying, For tomorrow.\For tomorrow? response:	I'm home!
context: the moon's pretty today.\Episode 10 Jonathan\Sacchan seems so happy.\Sacchan texts me every day.\She does?\Saying, For tomorrow.\For tomorrow?\I'm home! response:	I wonder what's for dinner today.
context: Episode 10 Jonathan\Sacchan seems so happy.\Sacchan texts me every day.\She does?\Saying, For tomorrow.\For tomorrow?\I'm home!\I wonder what's for dinner today. response:	Scooch, scooch.
context: Sacchan seems so happy.\Sacchan texts me every day.\She does?\Saying, For tomorrow.\For tomorrow?\I'm home!\I wonder what's for dinner today.\Scooch, scooch. response:	Yanagi-san was running today, too.
context: Sacchan texts me every day.\She does?\Saying, For tomorrow.\For tomorrow?\I'm home!\I wonder what's for dinner today.\Scooch, scooch.\Yanagi-san was running today, too. response:	Really? Yana-chan's really hanging in there.
context: She does?\Saying, For tomorrow.\For tomorrow?\I'm home!\I wonder what's for dinner today.\Scooch, scooch.\Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there. response:	Hina, have you told Touko already?
context: Saying, For tomorrow.\For tomorrow?\I'm home!\I wonder what's for dinner today.\Scooch, scooch.\Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there.\Hina, have you told Touko already? response:	What?
context: For tomorrow?\I'm home!\I wonder what's for dinner today.\Scooch, scooch.\Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there.\Hina, have you told Touko already?\What? response:	Wait until after dinner.
context: I'm home!\I wonder what's for dinner today.\Scooch, scooch.\Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there.\Hina, have you told Touko already?\What?\Wait until after dinner. response:	Tada.
context: I wonder what's for dinner today.\Scooch, scooch.\Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there.\Hina, have you told Touko already?\What?\Wait until after dinner.\Tada. response:	It's so cute, Hina.
context: Scooch, scooch.\Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there.\Hina, have you told Touko already?\What?\Wait until after dinner.\Tada.\It's so cute, Hina. response:	Isn't it a bit too showy?
context: Yanagi-san was running today, too.\Really? Yana-chan's really hanging in there.\Hina, have you told Touko already?\What?\Wait until after dinner.\Tada.\It's so cute, Hina.\Isn't it a bit too showy? response:	Yana-chan gave you that?
context: Really? Yana-chan's really hanging in there.\Hina, have you told Touko already?\What?\Wait until after dinner.\Tada.\It's so cute, Hina.\Isn't it a bit too showy?\Yana-chan gave you that? response:	She told me Yukinari-san complimented her in it.
context: Hina, have you told Touko already?\What?\Wait until after dinner.\Tada.\It's so cute, Hina.\Isn't it a bit too showy?\Yana-chan gave you that?\She told me Yukinari-san complimented her in it. response:	I said I couldn't take it, but...
context: What?\Wait until after dinner.\Tada.\It's so cute, Hina.\Isn't it a bit too showy?\Yana-chan gave you that?\She told me Yukinari-san complimented her in it.\I said I couldn't take it, but... response:	Should I not have?
context: Wait until after dinner.\Tada.\It's so cute, Hina.\Isn't it a bit too showy?\Yana-chan gave you that?\She told me Yukinari-san complimented her in it.\I said I couldn't take it, but...\Should I not have? response:	No, it looks nice on you!
context: Tada.\It's so cute, Hina.\Isn't it a bit too showy?\Yana-chan gave you that?\She told me Yukinari-san complimented her in it.\I said I couldn't take it, but...\Should I not have?\No, it looks nice on you! response:	Good for you.
context: It's so cute, Hina.\Isn't it a bit too showy?\Yana-chan gave you that?\She told me Yukinari-san complimented her in it.\I said I couldn't take it, but...\Should I not have?\No, it looks nice on you!\Good for you. response:	Right?!
context: Isn't it a bit too showy?\Yana-chan gave you that?\She told me Yukinari-san complimented her in it.\I said I couldn't take it, but...\Should I not have?\No, it looks nice on you!\Good for you.\Right?! response:	Can I say something?
context: Yana-chan gave you that?\She told me Yukinari-san complimented her in it.\I said I couldn't take it, but...\Should I not have?\No, it looks nice on you!\Good for you.\Right?!\Can I say something? response:	Here, coffee.
context: She told me Yukinari-san complimented her in it.\I said I couldn't take it, but...\Should I not have?\No, it looks nice on you!\Good for you.\Right?!\Can I say something?\Here, coffee. response:	Hina, when you're wearing that
context: I said I couldn't take it, but...\Should I not have?\No, it looks nice on you!\Good for you.\Right?!\Can I say something?\Here, coffee.\Hina, when you're wearing that response:	Don't let it get cold.
context: Should I not have?\No, it looks nice on you!\Good for you.\Right?!\Can I say something?\Here, coffee.\Hina, when you're wearing that\Don't let it get cold. response:	Onee-chan, Yanagi-san says she's going to change into someone new.
context: No, it looks nice on you!\Good for you.\Right?!\Can I say something?\Here, coffee.\Hina, when you're wearing that\Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new. response:	Yana-chan sure is amazing.
context: Good for you.\Right?!\Can I say something?\Here, coffee.\Hina, when you're wearing that\Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing. response:	A new Yana-chan, huh?
context: Right?!\Can I say something?\Here, coffee.\Hina, when you're wearing that\Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing.\A new Yana-chan, huh? response:	I want to meet her.
context: Can I say something?\Here, coffee.\Hina, when you're wearing that\Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing.\A new Yana-chan, huh?\I want to meet her. response:	I want to meet her...
context: Here, coffee.\Hina, when you're wearing that\Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing.\A new Yana-chan, huh?\I want to meet her.\I want to meet her... response:	From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito
context: Hina, when you're wearing that\Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing.\A new Yana-chan, huh?\I want to meet her.\I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito response:	From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito
context: Don't let it get cold.\Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing.\A new Yana-chan, huh?\I want to meet her.\I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito response:	Meijinden is amazing.
context: Onee-chan, Yanagi-san says she's going to change into someone new.\Yana-chan sure is amazing.\A new Yana-chan, huh?\I want to meet her.\I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing. response:	It makes me feel
context: Yana-chan sure is amazing.\A new Yana-chan, huh?\I want to meet her.\I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing.\It makes me feel response:	really small, or really big.
context: A new Yana-chan, huh?\I want to meet her.\I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing.\It makes me feel\really small, or really big. response:	Looking forward to Tsuki wo Ageru Hito,
context: I want to meet her.\I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing.\It makes me feel\really small, or really big.\Looking forward to Tsuki wo Ageru Hito, response:	Hiro.
context: I want to meet her...\From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing.\It makes me feel\really small, or really big.\Looking forward to Tsuki wo Ageru Hito,\Hiro. response:	I still can't hear it.
context: From: Sacchan Subject: For tomorrow Tsuki wo Ageru Hito\From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing.\It makes me feel\really small, or really big.\Looking forward to Tsuki wo Ageru Hito,\Hiro.\I still can't hear it. response:	You can't hear the fragments of the future anymore?
context: From: Hiro Shirasaki Re: For Tomorrow Meijinden is amazing. It makes me feel really small, or really big. Looking forward to Tsuki wo Ageru Hito\Meijinden is amazing.\It makes me feel\really small, or really big.\Looking forward to Tsuki wo Ageru Hito,\Hiro.\I still can't hear it.\You can't hear the fragments of the future anymore? response:	But why?
context: Meijinden is amazing.\It makes me feel\really small, or really big.\Looking forward to Tsuki wo Ageru Hito,\Hiro.\I still can't hear it.\You can't hear the fragments of the future anymore?\But why? response:	Is it because you met Touko?
context: It makes me feel\really small, or really big.\Looking forward to Tsuki wo Ageru Hito,\Hiro.\I still can't hear it.\You can't hear the fragments of the future anymore?\But why?\Is it because you met Touko? response:	Maybe you don't need it anymore.
context: really small, or really big.\Looking forward to Tsuki wo Ageru Hito,\Hiro.\I still can't hear it.\You can't hear the fragments of the future anymore?\But why?\Is it because you met Touko?\Maybe you don't need it anymore. response:	Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.
context: Looking forward to Tsuki wo Ageru Hito,\Hiro.\I still can't hear it.\You can't hear the fragments of the future anymore?\But why?\Is it because you met Touko?\Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon. response:	Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2
context: Hiro.\I still can't hear it.\You can't hear the fragments of the future anymore?\But why?\Is it because you met Touko?\Maybe you don't need it anymore.\Inbox From: Yanagi Subject: Hinode-hama today Clear skies today. Hinode Bridge, futon.\Inbox From: Yanagi Subject: Hinode-hama today Sunny all day. In front of the gelato store. Blacks 1, Whites 2 response:	Blacks 1, Whites 2, huh?
