context: Sharl, response:	are you okay?
context: Sharl,\are you okay? response:	You really
context: Sharl,\are you okay?\You really response:	are Heroes.
context: Sharl,\are you okay?\You really\are Heroes. response:	We were telling the truth, huh?
context: Sharl,\are you okay?\You really\are Heroes.\We were telling the truth, huh? response:	We're the Heroes from Biscotti and Galette.
context: Sharl,\are you okay?\You really\are Heroes.\We were telling the truth, huh?\We're the Heroes from Biscotti and Galette. response:	I found our stuff, so we can communicate with people.
context: Sharl,\are you okay?\You really\are Heroes.\We were telling the truth, huh?\We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people. response:	I hope it connects.
context: Sharl,\are you okay?\You really\are Heroes.\We were telling the truth, huh?\We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people.\I hope it connects. response:	The Dragon Priestess
context: are you okay?\You really\are Heroes.\We were telling the truth, huh?\We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people.\I hope it connects.\The Dragon Priestess response:	Um, what is that?
context: You really\are Heroes.\We were telling the truth, huh?\We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people.\I hope it connects.\The Dragon Priestess\Um, what is that? response:	This allows us to communicate with Biscotti and Galette!
context: are Heroes.\We were telling the truth, huh?\We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people.\I hope it connects.\The Dragon Priestess\Um, what is that?\This allows us to communicate with Biscotti and Galette! response:	Shinku!
context: We were telling the truth, huh?\We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people.\I hope it connects.\The Dragon Priestess\Um, what is that?\This allows us to communicate with Biscotti and Galette!\Shinku! response:	Shinku!
context: We're the Heroes from Biscotti and Galette.\I found our stuff, so we can communicate with people.\I hope it connects.\The Dragon Priestess\Um, what is that?\This allows us to communicate with Biscotti and Galette!\Shinku!\Shinku! response:	Princess!
context: I found our stuff, so we can communicate with people.\I hope it connects.\The Dragon Priestess\Um, what is that?\This allows us to communicate with Biscotti and Galette!\Shinku!\Shinku!\Princess! response:	I'm so glad I reached you!
context: I hope it connects.\The Dragon Priestess\Um, what is that?\This allows us to communicate with Biscotti and Galette!\Shinku!\Shinku!\Princess!\I'm so glad I reached you! response:	Shinku!
context: The Dragon Priestess\Um, what is that?\This allows us to communicate with Biscotti and Galette!\Shinku!\Shinku!\Princess!\I'm so glad I reached you!\Shinku! response:	Nanami-san!
context: Um, what is that?\This allows us to communicate with Biscotti and Galette!\Shinku!\Shinku!\Princess!\I'm so glad I reached you!\Shinku!\Nanami-san! response:	I'm so glad!
context: This allows us to communicate with Biscotti and Galette!\Shinku!\Shinku!\Princess!\I'm so glad I reached you!\Shinku!\Nanami-san!\I'm so glad! response:	Are you safe?
context: Shinku!\Shinku!\Princess!\I'm so glad I reached you!\Shinku!\Nanami-san!\I'm so glad!\Are you safe? response:	We are!
context: Shinku!\Princess!\I'm so glad I reached you!\Shinku!\Nanami-san!\I'm so glad!\Are you safe?\We are! response:	I'm sorry, Princess; we're going to be late.
context: Princess!\I'm so glad I reached you!\Shinku!\Nanami-san!\I'm so glad!\Are you safe?\We are!\I'm sorry, Princess; we're going to be late. response:	Not at all!
context: I'm so glad I reached you!\Shinku!\Nanami-san!\I'm so glad!\Are you safe?\We are!\I'm sorry, Princess; we're going to be late.\Not at all! response:	Where are you now?
context: Shinku!\Nanami-san!\I'm so glad!\Are you safe?\We are!\I'm sorry, Princess; we're going to be late.\Not at all!\Where are you now? response:	Each of the three countries just sent out search teams for you!
context: Nanami-san!\I'm so glad!\Are you safe?\We are!\I'm sorry, Princess; we're going to be late.\Not at all!\Where are you now?\Each of the three countries just sent out search teams for you! response:	Um...
context: I'm so glad!\Are you safe?\We are!\I'm sorry, Princess; we're going to be late.\Not at all!\Where are you now?\Each of the three countries just sent out search teams for you!\Um... response:	Where are we again?
context: Are you safe?\We are!\I'm sorry, Princess; we're going to be late.\Not at all!\Where are you now?\Each of the three countries just sent out search teams for you!\Um...\Where are we again? response:	The south side of the continent.
context: We are!\I'm sorry, Princess; we're going to be late.\Not at all!\Where are you now?\Each of the three countries just sent out search teams for you!\Um...\Where are we again?\The south side of the continent. response:	The Dragon Forest on the Corone Plateau.
context: I'm sorry, Princess; we're going to be late.\Not at all!\Where are you now?\Each of the three countries just sent out search teams for you!\Um...\Where are we again?\The south side of the continent.\The Dragon Forest on the Corone Plateau. response:	So she said.
context: Not at all!\Where are you now?\Each of the three countries just sent out search teams for you!\Um...\Where are we again?\The south side of the continent.\The Dragon Forest on the Corone Plateau.\So she said. response:	Great.
context: Where are you now?\Each of the three countries just sent out search teams for you!\Um...\Where are we again?\The south side of the continent.\The Dragon Forest on the Corone Plateau.\So she said.\Great. response:	That's surprisingly close.
context: Each of the three countries just sent out search teams for you!\Um...\Where are we again?\The south side of the continent.\The Dragon Forest on the Corone Plateau.\So she said.\Great.\That's surprisingly close. response:	If I send out someone now, we should be able to meet you today.
context: Um...\Where are we again?\The south side of the continent.\The Dragon Forest on the Corone Plateau.\So she said.\Great.\That's surprisingly close.\If I send out someone now, we should be able to meet you today. response:	I'm glad.
context: Where are we again?\The south side of the continent.\The Dragon Forest on the Corone Plateau.\So she said.\Great.\That's surprisingly close.\If I send out someone now, we should be able to meet you today.\I'm glad. response:	Um...
context: The south side of the continent.\The Dragon Forest on the Corone Plateau.\So she said.\Great.\That's surprisingly close.\If I send out someone now, we should be able to meet you today.\I'm glad.\Um... response:	Oh right! I have to introduce you!
context: The Dragon Forest on the Corone Plateau.\So she said.\Great.\That's surprisingly close.\If I send out someone now, we should be able to meet you today.\I'm glad.\Um...\Oh right! I have to introduce you! response:	Sharl!
context: So she said.\Great.\That's surprisingly close.\If I send out someone now, we should be able to meet you today.\I'm glad.\Um...\Oh right! I have to introduce you!\Sharl! response:	Princess, this girl saved us.
context: Great.\That's surprisingly close.\If I send out someone now, we should be able to meet you today.\I'm glad.\Um...\Oh right! I have to introduce you!\Sharl!\Princess, this girl saved us. response:	I-I'm Sharl.
context: That's surprisingly close.\If I send out someone now, we should be able to meet you today.\I'm glad.\Um...\Oh right! I have to introduce you!\Sharl!\Princess, this girl saved us.\I-I'm Sharl. response:	A Dragon Priestess.
context: If I send out someone now, we should be able to meet you today.\I'm glad.\Um...\Oh right! I have to introduce you!\Sharl!\Princess, this girl saved us.\I-I'm Sharl.\A Dragon Priestess. response:	I'm the leader of Biscotti,
context: I'm glad.\Um...\Oh right! I have to introduce you!\Sharl!\Princess, this girl saved us.\I-I'm Sharl.\A Dragon Priestess.\I'm the leader of Biscotti, response:	Millihiore Firianno Biscotti.
context: Um...\Oh right! I have to introduce you!\Sharl!\Princess, this girl saved us.\I-I'm Sharl.\A Dragon Priestess.\I'm the leader of Biscotti,\Millihiore Firianno Biscotti. response:	Thank you for saving
context: Oh right! I have to introduce you!\Sharl!\Princess, this girl saved us.\I-I'm Sharl.\A Dragon Priestess.\I'm the leader of Biscotti,\Millihiore Firianno Biscotti.\Thank you for saving response:	Shinku and Nanami-san.
context: Sharl!\Princess, this girl saved us.\I-I'm Sharl.\A Dragon Priestess.\I'm the leader of Biscotti,\Millihiore Firianno Biscotti.\Thank you for saving\Shinku and Nanami-san. response:	I-I'm honored.
context: Princess, this girl saved us.\I-I'm Sharl.\A Dragon Priestess.\I'm the leader of Biscotti,\Millihiore Firianno Biscotti.\Thank you for saving\Shinku and Nanami-san.\I-I'm honored. response:	We'll probably be
context: I-I'm Sharl.\A Dragon Priestess.\I'm the leader of Biscotti,\Millihiore Firianno Biscotti.\Thank you for saving\Shinku and Nanami-san.\I-I'm honored.\We'll probably be response:	getting close to the entrance to the dragon's forest.
context: A Dragon Priestess.\I'm the leader of Biscotti,\Millihiore Firianno Biscotti.\Thank you for saving\Shinku and Nanami-san.\I-I'm honored.\We'll probably be\getting close to the entrance to the dragon's forest. response:	We'll likely be intruding on everyone there...
context: I'm the leader of Biscotti,\Millihiore Firianno Biscotti.\Thank you for saving\Shinku and Nanami-san.\I-I'm honored.\We'll probably be\getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there... response:	Um... it's okay.
context: Millihiore Firianno Biscotti.\Thank you for saving\Shinku and Nanami-san.\I-I'm honored.\We'll probably be\getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there...\Um... it's okay. response:	So yeah, I'm safe!
context: Thank you for saving\Shinku and Nanami-san.\I-I'm honored.\We'll probably be\getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there...\Um... it's okay.\So yeah, I'm safe! response:	I'm relieved.
context: Shinku and Nanami-san.\I-I'm honored.\We'll probably be\getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there...\Um... it's okay.\So yeah, I'm safe!\I'm relieved. response:	I'm glad you're safe.
context: I-I'm honored.\We'll probably be\getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there...\Um... it's okay.\So yeah, I'm safe!\I'm relieved.\I'm glad you're safe. response:	Sorry to worry you.
context: We'll probably be\getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there...\Um... it's okay.\So yeah, I'm safe!\I'm relieved.\I'm glad you're safe.\Sorry to worry you. response:	Gaul and the others already went looking for you.
context: getting close to the entrance to the dragon's forest.\We'll likely be intruding on everyone there...\Um... it's okay.\So yeah, I'm safe!\I'm relieved.\I'm glad you're safe.\Sorry to worry you.\Gaul and the others already went looking for you. response:	We'll be on our way, too.
context: We'll likely be intruding on everyone there...\Um... it's okay.\So yeah, I'm safe!\I'm relieved.\I'm glad you're safe.\Sorry to worry you.\Gaul and the others already went looking for you.\We'll be on our way, too. response:	Thanks!
context: Um... it's okay.\So yeah, I'm safe!\I'm relieved.\I'm glad you're safe.\Sorry to worry you.\Gaul and the others already went looking for you.\We'll be on our way, too.\Thanks! response:	I'm glad they're safe.
context: So yeah, I'm safe!\I'm relieved.\I'm glad you're safe.\Sorry to worry you.\Gaul and the others already went looking for you.\We'll be on our way, too.\Thanks!\I'm glad they're safe. response:	That's right!
context: I'm relieved.\I'm glad you're safe.\Sorry to worry you.\Gaul and the others already went looking for you.\We'll be on our way, too.\Thanks!\I'm glad they're safe.\That's right! response:	Sorry, sorry.
