context: Inside the human body... response:	are working hard every day.
context: Inside the human body...\are working hard every day. response:	DENDRITE
context: Inside the human body...\are working hard every day.\DENDRITE response:	ARTERIES
context: Inside the human body...\are working hard every day.\DENDRITE\ARTERIES response:	Sorry for the wait!
context: Inside the human body...\are working hard every day.\DENDRITE\ARTERIES\Sorry for the wait! response:	FRAGILE CONDENSED GAS
context: Inside the human body...\are working hard every day.\DENDRITE\ARTERIES\Sorry for the wait!\FRAGILE CONDENSED GAS response:	Here's today's oxygen delivery!
context: Inside the human body...\are working hard every day.\DENDRITE\ARTERIES\Sorry for the wait!\FRAGILE CONDENSED GAS\Here's today's oxygen delivery! response:	RED BLOOD CELLS
context: Inside the human body...\are working hard every day.\DENDRITE\ARTERIES\Sorry for the wait!\FRAGILE CONDENSED GAS\Here's today's oxygen delivery!\RED BLOOD CELLS response:	Red Blood Cell.
context: are working hard every day.\DENDRITE\ARTERIES\Sorry for the wait!\FRAGILE CONDENSED GAS\Here's today's oxygen delivery!\RED BLOOD CELLS\Red Blood Cell. response:	Her red color is due to the large amounts of hemoglobin.
context: DENDRITE\ARTERIES\Sorry for the wait!\FRAGILE CONDENSED GAS\Here's today's oxygen delivery!\RED BLOOD CELLS\Red Blood Cell.\Her red color is due to the large amounts of hemoglobin. response:	She carries oxygen and carbon dioxide using blood circulation.
context: ARTERIES\Sorry for the wait!\FRAGILE CONDENSED GAS\Here's today's oxygen delivery!\RED BLOOD CELLS\Red Blood Cell.\Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation. response:	EPISODE 1: PNEUMOCOCCUS
context: Sorry for the wait!\FRAGILE CONDENSED GAS\Here's today's oxygen delivery!\RED BLOOD CELLS\Red Blood Cell.\Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS response:	If you could please sign here...
context: FRAGILE CONDENSED GAS\Here's today's oxygen delivery!\RED BLOOD CELLS\Red Blood Cell.\Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS\If you could please sign here... response:	Thanks!
context: Here's today's oxygen delivery!\RED BLOOD CELLS\Red Blood Cell.\Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS\If you could please sign here...\Thanks! response:	Thanks for your hard work!
context: RED BLOOD CELLS\Red Blood Cell.\Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS\If you could please sign here...\Thanks!\Thanks for your hard work! response:	Well, I hope to serve you again!
context: Red Blood Cell.\Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS\If you could please sign here...\Thanks!\Thanks for your hard work!\Well, I hope to serve you again! response:	Huh?
context: Her red color is due to the large amounts of hemoglobin.\She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS\If you could please sign here...\Thanks!\Thanks for your hard work!\Well, I hope to serve you again!\Huh? response:	What is this?
context: She carries oxygen and carbon dioxide using blood circulation.\EPISODE 1: PNEUMOCOCCUS\If you could please sign here...\Thanks!\Thanks for your hard work!\Well, I hope to serve you again!\Huh?\What is this? response:	Oh, no! Here they come!
context: EPISODE 1: PNEUMOCOCCUS\If you could please sign here...\Thanks!\Thanks for your hard work!\Well, I hope to serve you again!\Huh?\What is this?\Oh, no! Here they come! response:	Run!
context: If you could please sign here...\Thanks!\Thanks for your hard work!\Well, I hope to serve you again!\Huh?\What is this?\Oh, no! Here they come!\Run! response:	Whoa! The vascular endothelial cells...
context: Thanks!\Thanks for your hard work!\Well, I hope to serve you again!\Huh?\What is this?\Oh, no! Here they come!\Run!\Whoa! The vascular endothelial cells... response:	Seems like a pretty damn comfortable place!
context: Thanks for your hard work!\Well, I hope to serve you again!\Huh?\What is this?\Oh, no! Here they come!\Run!\Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place! response:	Not too hot, not too cold.
context: Well, I hope to serve you again!\Huh?\What is this?\Oh, no! Here they come!\Run!\Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place!\Not too hot, not too cold. response:	And looks like there's tons and tons of food!
context: Huh?\What is this?\Oh, no! Here they come!\Run!\Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place!\Not too hot, not too cold.\And looks like there's tons and tons of food! response:	It's settled! Starting today, this is our land!
context: What is this?\Oh, no! Here they come!\Run!\Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place!\Not too hot, not too cold.\And looks like there's tons and tons of food!\It's settled! Starting today, this is our land! response:	First of all...
context: Oh, no! Here they come!\Run!\Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place!\Not too hot, not too cold.\And looks like there's tons and tons of food!\It's settled! Starting today, this is our land!\First of all... response:	Let's get these annoying residents outta the way!
context: Run!\Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place!\Not too hot, not too cold.\And looks like there's tons and tons of food!\It's settled! Starting today, this is our land!\First of all...\Let's get these annoying residents outta the way! response:	WHITE BLOOD CELL
context: Whoa! The vascular endothelial cells...\Seems like a pretty damn comfortable place!\Not too hot, not too cold.\And looks like there's tons and tons of food!\It's settled! Starting today, this is our land!\First of all...\Let's get these annoying residents outta the way!\WHITE BLOOD CELL response:	Die, germ!
context: Seems like a pretty damn comfortable place!\Not too hot, not too cold.\And looks like there's tons and tons of food!\It's settled! Starting today, this is our land!\First of all...\Let's get these annoying residents outta the way!\WHITE BLOOD CELL\Die, germ! response:	Die!
context: Not too hot, not too cold.\And looks like there's tons and tons of food!\It's settled! Starting today, this is our land!\First of all...\Let's get these annoying residents outta the way!\WHITE BLOOD CELL\Die, germ!\Die! response:	Who are these guys?
context: And looks like there's tons and tons of food!\It's settled! Starting today, this is our land!\First of all...\Let's get these annoying residents outta the way!\WHITE BLOOD CELL\Die, germ!\Die!\Who are these guys? response:	This is White Blood Cell Neutrophil Division, U-1146.
context: It's settled! Starting today, this is our land!\First of all...\Let's get these annoying residents outta the way!\WHITE BLOOD CELL\Die, germ!\Die!\Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146. response:	The invading germs have been exterminated.
context: First of all...\Let's get these annoying residents outta the way!\WHITE BLOOD CELL\Die, germ!\Die!\Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated. response:	WHITE BLOOD CELLS (NEUTROPHILS)
context: Let's get these annoying residents outta the way!\WHITE BLOOD CELL\Die, germ!\Die!\Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS) response:	White Blood Cell. (Neutrophil.)
context: WHITE BLOOD CELL\Die, germ!\Die!\Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.) response:	His main task is to eliminate foreign substances from outside,
context: Die, germ!\Die!\Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside, response:	such as bacteria and viruses.
context: Die!\Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside,\such as bacteria and viruses. response:	Neutrophils comprise over half of the White Blood Cells in the blood.
context: Who are these guys?\This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside,\such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood. response:	LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!
context: This is White Blood Cell Neutrophil Division, U-1146.\The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside,\such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS! response:	Listen up! Don't let a single bacterium get away!
context: The invading germs have been exterminated.\WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside,\such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away! response:	Because there'll be hell to pay if even one escapes!
context: WHITE BLOOD CELLS (NEUTROPHILS)\White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside,\such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes! response:	Whoa! It's the White Blood Cells!
context: White Blood Cell. (Neutrophil.)\His main task is to eliminate foreign substances from outside,\such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells! response:	Scary!
context: His main task is to eliminate foreign substances from outside,\such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells!\Scary! response:	CELL
context: such as bacteria and viruses.\Neutrophils comprise over half of the White Blood Cells in the blood.\LET'S BID THEM A PLEASANT GOODBYE! BYE-BYE GERMS!\Listen up! Don't let a single bacterium get away!\Because there'll be hell to pay if even one escapes!\Whoa! It's the White Blood Cells!\Scary!\CELL response:	Seriously, talk about merciless! He's splattered with blood!
