context: Atsushi-kun! response:	I thought you weren't like that!
context: Atsushi-kun!\I thought you weren't like that! response:	What's the matter?
context: Atsushi-kun!\I thought you weren't like that!\What's the matter? response:	I know.
context: Atsushi-kun!\I thought you weren't like that!\What's the matter?\I know. response:	Drink, Kunikida!
context: Atsushi-kun!\I thought you weren't like that!\What's the matter?\I know.\Drink, Kunikida! response:	Here I go.
context: Atsushi-kun!\I thought you weren't like that!\What's the matter?\I know.\Drink, Kunikida!\Here I go. response:	Good job!
context: Atsushi-kun!\I thought you weren't like that!\What's the matter?\I know.\Drink, Kunikida!\Here I go.\Good job! response:	You're quite a cheap drunk, aren't you?
context: Atsushi-kun!\I thought you weren't like that!\What's the matter?\I know.\Drink, Kunikida!\Here I go.\Good job!\You're quite a cheap drunk, aren't you? response:	Naomi-san!
context: I thought you weren't like that!\What's the matter?\I know.\Drink, Kunikida!\Here I go.\Good job!\You're quite a cheap drunk, aren't you?\Naomi-san! response:	You better take responsibility.
context: What's the matter?\I know.\Drink, Kunikida!\Here I go.\Good job!\You're quite a cheap drunk, aren't you?\Naomi-san!\You better take responsibility. response:	Kyouka-chan!
context: I know.\Drink, Kunikida!\Here I go.\Good job!\You're quite a cheap drunk, aren't you?\Naomi-san!\You better take responsibility.\Kyouka-chan! response:	Despicable!
context: Drink, Kunikida!\Here I go.\Good job!\You're quite a cheap drunk, aren't you?\Naomi-san!\You better take responsibility.\Kyouka-chan!\Despicable! response:	What?
context: Here I go.\Good job!\You're quite a cheap drunk, aren't you?\Naomi-san!\You better take responsibility.\Kyouka-chan!\Despicable!\What? response:	I am.
context: Good job!\You're quite a cheap drunk, aren't you?\Naomi-san!\You better take responsibility.\Kyouka-chan!\Despicable!\What?\I am. response:	I-I have a lot of work tomorrow.
context: You're quite a cheap drunk, aren't you?\Naomi-san!\You better take responsibility.\Kyouka-chan!\Despicable!\What?\I am.\I-I have a lot of work tomorrow. response:	Drink!
context: Naomi-san!\You better take responsibility.\Kyouka-chan!\Despicable!\What?\I am.\I-I have a lot of work tomorrow.\Drink! response:	Wait, I -
context: You better take responsibility.\Kyouka-chan!\Despicable!\What?\I am.\I-I have a lot of work tomorrow.\Drink!\Wait, I - response:	I can't chug like that.
context: Kyouka-chan!\Despicable!\What?\I am.\I-I have a lot of work tomorrow.\Drink!\Wait, I -\I can't chug like that. response:	You... You...
context: Despicable!\What?\I am.\I-I have a lot of work tomorrow.\Drink!\Wait, I -\I can't chug like that.\You... You... response:	N-Naomi-san, Tanizaki-san can't really take jokes!
context: What?\I am.\I-I have a lot of work tomorrow.\Drink!\Wait, I -\I can't chug like that.\You... You...\N-Naomi-san, Tanizaki-san can't really take jokes! response:	Hear me out, Kyouka-chan!
context: I am.\I-I have a lot of work tomorrow.\Drink!\Wait, I -\I can't chug like that.\You... You...\N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan! response:	Come!
context: I-I have a lot of work tomorrow.\Drink!\Wait, I -\I can't chug like that.\You... You...\N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan!\Come! response:	Beast Beneath the Moonlight!
context: Drink!\Wait, I -\I can't chug like that.\You... You...\N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan!\Come!\Beast Beneath the Moonlight! response:	Rashoumon Demonic Armor!
context: Wait, I -\I can't chug like that.\You... You...\N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan!\Come!\Beast Beneath the Moonlight!\Rashoumon Demonic Armor! response:	Come on, now.
context: I can't chug like that.\You... You...\N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan!\Come!\Beast Beneath the Moonlight!\Rashoumon Demonic Armor!\Come on, now. response:	I don't want to have spent all that money on nothing.
context: You... You...\N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan!\Come!\Beast Beneath the Moonlight!\Rashoumon Demonic Armor!\Come on, now.\I don't want to have spent all that money on nothing. response:	Three minutes left.
context: N-Naomi-san, Tanizaki-san can't really take jokes!\Hear me out, Kyouka-chan!\Come!\Beast Beneath the Moonlight!\Rashoumon Demonic Armor!\Come on, now.\I don't want to have spent all that money on nothing.\Three minutes left. response:	Kyouka-chan, if you'd prefer, I can set you up with a life of killing.
context: Hear me out, Kyouka-chan!\Come!\Beast Beneath the Moonlight!\Rashoumon Demonic Armor!\Come on, now.\I don't want to have spent all that money on nothing.\Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing. response:	But your anguish isn't yours alone.
context: Come!\Beast Beneath the Moonlight!\Rashoumon Demonic Armor!\Come on, now.\I don't want to have spent all that money on nothing.\Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone. response:	What should one do, when what they want to be isn't what they're best at?
context: Beast Beneath the Moonlight!\Rashoumon Demonic Armor!\Come on, now.\I don't want to have spent all that money on nothing.\Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at? response:	Everyone fights, searching for the correct way to live their lives.
context: Rashoumon Demonic Armor!\Come on, now.\I don't want to have spent all that money on nothing.\Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives. response:	What do they seek by fighting?
context: Come on, now.\I don't want to have spent all that money on nothing.\Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting? response:	How ought they live?
context: I don't want to have spent all that money on nothing.\Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting?\How ought they live? response:	No one can say.
context: Three minutes left.\Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting?\How ought they live?\No one can say. response:	All we have is the right to waver.
context: Kyouka-chan, if you'd prefer, I can set you up with a life of killing.\But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting?\How ought they live?\No one can say.\All we have is the right to waver. response:	Like stray dogs that have hit rock bottom.
context: But your anguish isn't yours alone.\What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting?\How ought they live?\No one can say.\All we have is the right to waver.\Like stray dogs that have hit rock bottom. response:	No!
context: What should one do, when what they want to be isn't what they're best at?\Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting?\How ought they live?\No one can say.\All we have is the right to waver.\Like stray dogs that have hit rock bottom.\No! response:	Weretiger!
context: Everyone fights, searching for the correct way to live their lives.\What do they seek by fighting?\How ought they live?\No one can say.\All we have is the right to waver.\Like stray dogs that have hit rock bottom.\No!\Weretiger! response:	If he's right...
context: What do they seek by fighting?\How ought they live?\No one can say.\All we have is the right to waver.\Like stray dogs that have hit rock bottom.\No!\Weretiger!\If he's right... response:	It is worthless.
context: How ought they live?\No one can say.\All we have is the right to waver.\Like stray dogs that have hit rock bottom.\No!\Weretiger!\If he's right...\It is worthless. response:	The words of your past are fundamentally unrelated to who you are now.
context: No one can say.\All we have is the right to waver.\Like stray dogs that have hit rock bottom.\No!\Weretiger!\If he's right...\It is worthless.\The words of your past are fundamentally unrelated to who you are now. response:	If I may shed away my burden now, I will...
context: All we have is the right to waver.\Like stray dogs that have hit rock bottom.\No!\Weretiger!\If he's right...\It is worthless.\The words of your past are fundamentally unrelated to who you are now.\If I may shed away my burden now, I will... response:	Die, weretiger!
context: Like stray dogs that have hit rock bottom.\No!\Weretiger!\If he's right...\It is worthless.\The words of your past are fundamentally unrelated to who you are now.\If I may shed away my burden now, I will...\Die, weretiger! response:	I'm spent.
context: No!\Weretiger!\If he's right...\It is worthless.\The words of your past are fundamentally unrelated to who you are now.\If I may shed away my burden now, I will...\Die, weretiger!\I'm spent. response:	If he stands back up...
context: Weretiger!\If he's right...\It is worthless.\The words of your past are fundamentally unrelated to who you are now.\If I may shed away my burden now, I will...\Die, weretiger!\I'm spent.\If he stands back up... response:	I won, Zelda.
