context: I'm surprised you're knockin' back the booze during an emergency like this. response:	Hey, I know this guy. He's Gryder, a notorious drunk around these parts.
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts. response:	Nice that you're able to afford it.
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it. response:	Meanwhile, we're racing around in the name of justice.
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice. response:	Justice?
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice.\Justice? response:	That's right.
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice.\Justice?\That's right. response:	Justice towards fighting against the returned Oracion Seis.
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice.\Justice?\That's right.\Justice towards fighting against the returned Oracion Seis. response:	Justice towards protecting the citizens of Fiore.
context: I'm surprised you're knockin' back the booze during an emergency like this.\Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice.\Justice?\That's right.\Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore. response:	Gryder, you got any sense of justice?
context: Hey, I know this guy. He's Gryder, a notorious drunk around these parts.\Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice.\Justice?\That's right.\Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice? response:	Justice, my ass! I don't wanna hear it!
context: Nice that you're able to afford it.\Meanwhile, we're racing around in the name of justice.\Justice?\That's right.\Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it! response:	What the hell?!
context: Meanwhile, we're racing around in the name of justice.\Justice?\That's right.\Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it!\What the hell?! response:	You think you can get away with pickin' a fight with Fiore soldiers?!
context: Justice?\That's right.\Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it!\What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?! response:	Your teleportation speed is rusty.
context: That's right.\Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it!\What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty. response:	Stop this, Doranbolt.
context: Justice towards fighting against the returned Oracion Seis.\Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it!\What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty.\Stop this, Doranbolt. response:	I'm Mest. The traitor, Mest Gryder.
context: Justice towards protecting the citizens of Fiore.\Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it!\What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty.\Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder. response:	You're still using that name?
context: Gryder, you got any sense of justice?\Justice, my ass! I don't wanna hear it!\What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty.\Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder.\You're still using that name? response:	Whatever. I need to speak with you.
context: Justice, my ass! I don't wanna hear it!\What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty.\Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder.\You're still using that name?\Whatever. I need to speak with you. response:	Follow me.
context: What the hell?!\You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty.\Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder.\You're still using that name?\Whatever. I need to speak with you.\Follow me. response:	What's wrong with justice? There was a time when even you...
context: You think you can get away with pickin' a fight with Fiore soldiers?!\Your teleportation speed is rusty.\Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder.\You're still using that name?\Whatever. I need to speak with you.\Follow me.\What's wrong with justice? There was a time when even you... response:	I abandoned Wendy.
context: Your teleportation speed is rusty.\Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder.\You're still using that name?\Whatever. I need to speak with you.\Follow me.\What's wrong with justice? There was a time when even you...\I abandoned Wendy. response:	I abandoned all of them.
context: Stop this, Doranbolt.\I'm Mest. The traitor, Mest Gryder.\You're still using that name?\Whatever. I need to speak with you.\Follow me.\What's wrong with justice? There was a time when even you...\I abandoned Wendy.\I abandoned all of them. response:	How is that justice?
context: I'm Mest. The traitor, Mest Gryder.\You're still using that name?\Whatever. I need to speak with you.\Follow me.\What's wrong with justice? There was a time when even you...\I abandoned Wendy.\I abandoned all of them.\How is that justice? response:	There's no need for you to fixate on justice.
context: You're still using that name?\Whatever. I need to speak with you.\Follow me.\What's wrong with justice? There was a time when even you...\I abandoned Wendy.\I abandoned all of them.\How is that justice?\There's no need for you to fixate on justice. response:	Right now, I need your strength.
context: Whatever. I need to speak with you.\Follow me.\What's wrong with justice? There was a time when even you...\I abandoned Wendy.\I abandoned all of them.\How is that justice?\There's no need for you to fixate on justice.\Right now, I need your strength. response:	That's why I'm here.
context: Follow me.\What's wrong with justice? There was a time when even you...\I abandoned Wendy.\I abandoned all of them.\How is that justice?\There's no need for you to fixate on justice.\Right now, I need your strength.\That's why I'm here. response:	Lahar...
context: What's wrong with justice? There was a time when even you...\I abandoned Wendy.\I abandoned all of them.\How is that justice?\There's no need for you to fixate on justice.\Right now, I need your strength.\That's why I'm here.\Lahar... response:	Come with me, Doranbolt.
context: I abandoned Wendy.\I abandoned all of them.\How is that justice?\There's no need for you to fixate on justice.\Right now, I need your strength.\That's why I'm here.\Lahar...\Come with me, Doranbolt. response:	I'll apologize if it'll help.
context: I abandoned all of them.\How is that justice?\There's no need for you to fixate on justice.\Right now, I need your strength.\That's why I'm here.\Lahar...\Come with me, Doranbolt.\I'll apologize if it'll help. response:	Alright?
context: How is that justice?\There's no need for you to fixate on justice.\Right now, I need your strength.\That's why I'm here.\Lahar...\Come with me, Doranbolt.\I'll apologize if it'll help.\Alright? response:	I'm not Doranbolt.
