context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The Clover Kingdom's royal capital suddenly fell under attack.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack. response:	Flames rose in five spots throughout the capital,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital, response:	and the Magic Knights deployed to each location to help the panicked citizens.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens. response:	They battled an unknown enemy.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy. response:	Come at me yourself!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy.\Come at me yourself! response:	Don't get cocky, you little brat!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy.\Come at me yourself!\Don't get cocky, you little brat! response:	Come forth, Alfred.
context: He was called the Wizard King, and he became a legend.\The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy.\Come at me yourself!\Don't get cocky, you little brat!\Come forth, Alfred. response:	Number Two, Alfred.
context: The Clover Kingdom's royal capital suddenly fell under attack.\Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy.\Come at me yourself!\Don't get cocky, you little brat!\Come forth, Alfred.\Number Two, Alfred. response:	Go, Alfred!
context: Flames rose in five spots throughout the capital,\and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy.\Come at me yourself!\Don't get cocky, you little brat!\Come forth, Alfred.\Number Two, Alfred.\Go, Alfred! response:	I would always close my eyes
context: and the Magic Knights deployed to each location to help the panicked citizens.\They battled an unknown enemy.\Come at me yourself!\Don't get cocky, you little brat!\Come forth, Alfred.\Number Two, Alfred.\Go, Alfred!\I would always close my eyes response:	And cower at reality
context: They battled an unknown enemy.\Come at me yourself!\Don't get cocky, you little brat!\Come forth, Alfred.\Number Two, Alfred.\Go, Alfred!\I would always close my eyes\And cower at reality response:	I can't stand the idea
context: Come at me yourself!\Don't get cocky, you little brat!\Come forth, Alfred.\Number Two, Alfred.\Go, Alfred!\I would always close my eyes\And cower at reality\I can't stand the idea response:	Of just making excuses to give up
context: Don't get cocky, you little brat!\Come forth, Alfred.\Number Two, Alfred.\Go, Alfred!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up response:	Stand right there
context: Come forth, Alfred.\Number Two, Alfred.\Go, Alfred!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there response:	I don't want to be near you
context: Number Two, Alfred.\Go, Alfred!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you response:	Any minute now
context: Go, Alfred!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now response:	Just wait right there
context: I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there response:	(The decisive battle is still a long way off)
context: And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off) response:	Black and blue
context: I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue response:	I'll give up on giving up
context: Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up response:	And get the world on my side
context: Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side response:	I'm looking for the reason I'm alive
context: I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive response:	Every time somewhere under this sky
context: Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky response:	Break through the tearful nights
context: Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights response:	And head where the light shines
context: (The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines response:	I want to keep my promise
context: Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise response:	I'll deliver it to you
context: I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you response:	shape of love
context: And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love response:	The Crimson Lion King
context: I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love\The Crimson Lion King response:	Central District
context: Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love\The Crimson Lion King\Central District response:	Something's wrong.
context: Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love\The Crimson Lion King\Central District\Something's wrong. response:	Their numbers are great, but they're far too weak.
context: And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love\The Crimson Lion King\Central District\Something's wrong.\Their numbers are great, but they're far too weak. response:	What does the enemy want?
context: I want to keep my promise\I'll deliver it to you\shape of love\The Crimson Lion King\Central District\Something's wrong.\Their numbers are great, but they're far too weak.\What does the enemy want? response:	Where is their main force?
context: I'll deliver it to you\shape of love\The Crimson Lion King\Central District\Something's wrong.\Their numbers are great, but they're far too weak.\What does the enemy want?\Where is their main force? response:	What are they after?
context: shape of love\The Crimson Lion King\Central District\Something's wrong.\Their numbers are great, but they're far too weak.\What does the enemy want?\Where is their main force?\What are they after? response:	The king?
context: The Crimson Lion King\Central District\Something's wrong.\Their numbers are great, but they're far too weak.\What does the enemy want?\Where is their main force?\What are they after?\The king? response:	Where is the Wizard King?
context: Central District\Something's wrong.\Their numbers are great, but they're far too weak.\What does the enemy want?\Where is their main force?\What are they after?\The king?\Where is the Wizard King? response:	During an emergency like this,
context: Something's wrong.\Their numbers are great, but they're far too weak.\What does the enemy want?\Where is their main force?\What are they after?\The king?\Where is the Wizard King?\During an emergency like this, response:	he should be the first to rush to the side of
context: Their numbers are great, but they're far too weak.\What does the enemy want?\Where is their main force?\What are they after?\The king?\Where is the Wizard King?\During an emergency like this,\he should be the first to rush to the side of response:	King of the Clover Kingdom Augustus Kira Clover XIII
context: What does the enemy want?\Where is their main force?\What are they after?\The king?\Where is the Wizard King?\During an emergency like this,\he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII response:	Augustus Kira Clover XIII, King of the Clover Kingdom.
context: Where is their main force?\What are they after?\The king?\Where is the Wizard King?\During an emergency like this,\he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom. response:	His first priority should be to protect me. That is...
context: What are they after?\The king?\Where is the Wizard King?\During an emergency like this,\he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is... response:	the most important duty of
context: The king?\Where is the Wizard King?\During an emergency like this,\he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is...\the most important duty of response:	the most powerful mage in the kingdom,the Wizard King!
context: Where is the Wizard King?\During an emergency like this,\he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is...\the most important duty of\the most powerful mage in the kingdom,the Wizard King! response:	You are absolutely right, Your Majesty.
context: During an emergency like this,\he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is...\the most important duty of\the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty. response:	Rest assured, we, the advisors of the Wizard King, will protect you.
context: he should be the first to rush to the side of\King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is...\the most important duty of\the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you. response:	Curse that Julius.
context: King of the Clover Kingdom Augustus Kira Clover XIII\Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is...\the most important duty of\the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius. response:	He's gotten full of himself because his authority equals mine when we're at war,
context: Augustus Kira Clover XIII, King of the Clover Kingdom.\His first priority should be to protect me. That is...\the most important duty of\the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war, response:	hasn't he?
context: His first priority should be to protect me. That is...\the most important duty of\the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war,\hasn't he? response:	Honestly...
context: the most important duty of\the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war,\hasn't he?\Honestly... response:	I'm the only leader of the Clover Kingdom!
context: the most powerful mage in the kingdom,the Wizard King!\You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war,\hasn't he?\Honestly...\I'm the only leader of the Clover Kingdom! response:	Castle Town Kikka
context: You are absolutely right, Your Majesty.\Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war,\hasn't he?\Honestly...\I'm the only leader of the Clover Kingdom!\Castle Town Kikka response:	Chef! What are you doing?
context: Rest assured, we, the advisors of the Wizard King, will protect you.\Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war,\hasn't he?\Honestly...\I'm the only leader of the Clover Kingdom!\Castle Town Kikka\Chef! What are you doing? response:	The royal capital is under attack! We need to take shelter!
context: Curse that Julius.\He's gotten full of himself because his authority equals mine when we're at war,\hasn't he?\Honestly...\I'm the only leader of the Clover Kingdom!\Castle Town Kikka\Chef! What are you doing?\The royal capital is under attack! We need to take shelter! response:	You idiots! Like a true chef could leave in the middle of cooking!
context: He's gotten full of himself because his authority equals mine when we're at war,\hasn't he?\Honestly...\I'm the only leader of the Clover Kingdom!\Castle Town Kikka\Chef! What are you doing?\The royal capital is under attack! We need to take shelter!\You idiots! Like a true chef could leave in the middle of cooking! response:	I will deliver the best dishes, no matter the situation!
context: hasn't he?\Honestly...\I'm the only leader of the Clover Kingdom!\Castle Town Kikka\Chef! What are you doing?\The royal capital is under attack! We need to take shelter!\You idiots! Like a true chef could leave in the middle of cooking!\I will deliver the best dishes, no matter the situation! response:	That's what it means to be the best!
context: Honestly...\I'm the only leader of the Clover Kingdom!\Castle Town Kikka\Chef! What are you doing?\The royal capital is under attack! We need to take shelter!\You idiots! Like a true chef could leave in the middle of cooking!\I will deliver the best dishes, no matter the situation!\That's what it means to be the best! response:	Uh, but all the Magic Knights have been deployed, so there's no one here!
context: I'm the only leader of the Clover Kingdom!\Castle Town Kikka\Chef! What are you doing?\The royal capital is under attack! We need to take shelter!\You idiots! Like a true chef could leave in the middle of cooking!\I will deliver the best dishes, no matter the situation!\That's what it means to be the best!\Uh, but all the Magic Knights have been deployed, so there's no one here! response:	They left for battle.
