context: Hina response:	Hina was deeply troubled.
context: Hina\Hina was deeply troubled. response:	Fried chicken and rolled omelette should be fine, right?
context: Hina\Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right? response:	And maybe sweet and spicy kinpira...
context: Hina\Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira... response:	No! No brown colors!
context: Hina\Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira...\No! No brown colors! response:	PAT PAT PAT
context: Hina\Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira...\No! No brown colors!\PAT PAT PAT response:	It has to be a cute lunch, or else.
context: Hina\Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira...\No! No brown colors!\PAT PAT PAT\It has to be a cute lunch, or else. response:	Maybe you don't get it.
context: Hina\Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira...\No! No brown colors!\PAT PAT PAT\It has to be a cute lunch, or else.\Maybe you don't get it. response:	The moment you open it, it's like, Ta-daaa!
context: Hina was deeply troubled.\Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira...\No! No brown colors!\PAT PAT PAT\It has to be a cute lunch, or else.\Maybe you don't get it.\The moment you open it, it's like, Ta-daaa! response:	Wow, how cute!
context: Fried chicken and rolled omelette should be fine, right?\And maybe sweet and spicy kinpira...\No! No brown colors!\PAT PAT PAT\It has to be a cute lunch, or else.\Maybe you don't get it.\The moment you open it, it's like, Ta-daaa!\Wow, how cute! response:	But he's a middle school boy, right?
context: And maybe sweet and spicy kinpira...\No! No brown colors!\PAT PAT PAT\It has to be a cute lunch, or else.\Maybe you don't get it.\The moment you open it, it's like, Ta-daaa!\Wow, how cute!\But he's a middle school boy, right? response:	And if it's after a game,
context: No! No brown colors!\PAT PAT PAT\It has to be a cute lunch, or else.\Maybe you don't get it.\The moment you open it, it's like, Ta-daaa!\Wow, how cute!\But he's a middle school boy, right?\And if it's after a game, response:	I would think delicious-looking is better than cute.
context: PAT PAT PAT\It has to be a cute lunch, or else.\Maybe you don't get it.\The moment you open it, it's like, Ta-daaa!\Wow, how cute!\But he's a middle school boy, right?\And if it's after a game,\I would think delicious-looking is better than cute. response:	Right, Kiriyama?
context: It has to be a cute lunch, or else.\Maybe you don't get it.\The moment you open it, it's like, Ta-daaa!\Wow, how cute!\But he's a middle school boy, right?\And if it's after a game,\I would think delicious-looking is better than cute.\Right, Kiriyama? response:	Huh? That was fast. You peeled that many already?
context: Maybe you don't get it.\The moment you open it, it's like, Ta-daaa!\Wow, how cute!\But he's a middle school boy, right?\And if it's after a game,\I would think delicious-looking is better than cute.\Right, Kiriyama?\Huh? That was fast. You peeled that many already? response:	Ah, yes.
context: The moment you open it, it's like, Ta-daaa!\Wow, how cute!\But he's a middle school boy, right?\And if it's after a game,\I would think delicious-looking is better than cute.\Right, Kiriyama?\Huh? That was fast. You peeled that many already?\Ah, yes. response:	Tomorrow is Sunday.
context: Wow, how cute!\But he's a middle school boy, right?\And if it's after a game,\I would think delicious-looking is better than cute.\Right, Kiriyama?\Huh? That was fast. You peeled that many already?\Ah, yes.\Tomorrow is Sunday. response:	And they're so neat. You're good with your hands, Kiriyama.
context: But he's a middle school boy, right?\And if it's after a game,\I would think delicious-looking is better than cute.\Right, Kiriyama?\Huh? That was fast. You peeled that many already?\Ah, yes.\Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama. response:	I'm glad I asked you to come over. After all, I bought 4 kilograms.
context: And if it's after a game,\I would think delicious-looking is better than cute.\Right, Kiriyama?\Huh? That was fast. You peeled that many already?\Ah, yes.\Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms. response:	The baseball team from Hina's middle school is having a game.
context: I would think delicious-looking is better than cute.\Right, Kiriyama?\Huh? That was fast. You peeled that many already?\Ah, yes.\Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game. response:	I've never eaten boiled chestnuts before.
context: Right, Kiriyama?\Huh? That was fast. You peeled that many already?\Ah, yes.\Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before. response:	But you can eat this inner brown skin, huh?
context: Huh? That was fast. You peeled that many already?\Ah, yes.\Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh? response:	That's right. You have to boil it for a while, though.
context: Ah, yes.\Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though. response:	It keeps well, so it's the perfect winter snack.
context: Tomorrow is Sunday.\And they're so neat. You're good with your hands, Kiriyama.\I'm glad I asked you to come over. After all, I bought 4 kilograms.\The baseball team from Hina's middle school is having a game.\I've never eaten boiled chestnuts before.\But you can eat this inner brown skin, huh?\That's right. You have to boil it for a while, though.\It keeps well, so it's the perfect winter snack. response:	And it seems the boy Hina is concerned about will be playing in the game.
