context: 23rd - Summer Break 25th - Summer School Starts response:	x becomes 4. Substitute this value in the formula to calculate the value of y.
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y. response:	Now you can derive the coordinates at the top, enabling you to draw a graph.
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph. response:	31st - Gala Concert
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert response:	You're totally distracted!
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert\You're totally distracted! response:	I'm doing what I'm supposed to.
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert\You're totally distracted!\I'm doing what I'm supposed to. response:	You were playing reluctantly! It sounded like your heart wasn't in it!
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert\You're totally distracted!\I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it! response:	Listen... Do we have to play this piece for the gala concert?
context: 23rd - Summer Break 25th - Summer School Starts\x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert\You're totally distracted!\I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert? response:	What's that? Is there a problem?
context: x becomes 4. Substitute this value in the formula to calculate the value of y.\Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert\You're totally distracted!\I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem? response:	For a gala concert, we should be playing something more glamorous.
context: Now you can derive the coordinates at the top, enabling you to draw a graph.\31st - Gala Concert\You're totally distracted!\I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous. response:	Let's change it to something more major...
context: 31st - Gala Concert\You're totally distracted!\I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous.\Let's change it to something more major... response:	No way! This is the song I want to play.
context: You're totally distracted!\I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous.\Let's change it to something more major...\No way! This is the song I want to play. response:	Don't worry, don't worry. If you and I play it, it will sound glamorous enough.
context: I'm doing what I'm supposed to.\You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous.\Let's change it to something more major...\No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough. response:	I wonder why you're so reluctant to play it?
context: You were playing reluctantly! It sounded like your heart wasn't in it!\Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous.\Let's change it to something more major...\No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it? response:	When the score was overflowing with so much love for you?
context: Listen... Do we have to play this piece for the gala concert?\What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous.\Let's change it to something more major...\No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you? response:	Kreisler's... Love's Joy.
context: What's that? Is there a problem?\For a gala concert, we should be playing something more glamorous.\Let's change it to something more major...\No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you?\Kreisler's... Love's Joy. response:	Love's... Sorrow.
context: For a gala concert, we should be playing something more glamorous.\Let's change it to something more major...\No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you?\Kreisler's... Love's Joy.\Love's... Sorrow. response:	Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.
context: Let's change it to something more major...\No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you?\Kreisler's... Love's Joy.\Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin. response:	There's a piano version of this song arranged by Rachmaninoff.
context: No way! This is the song I want to play.\Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you?\Kreisler's... Love's Joy.\Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff. response:	Huh? Did I stick it here?
context: Don't worry, don't worry. If you and I play it, it will sound glamorous enough.\I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you?\Kreisler's... Love's Joy.\Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here? response:	Falling asleep under the piano again...
context: I wonder why you're so reluctant to play it?\When the score was overflowing with so much love for you?\Kreisler's... Love's Joy.\Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here?\Falling asleep under the piano again... response:	You're going to catch a cold.
context: When the score was overflowing with so much love for you?\Kreisler's... Love's Joy.\Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here?\Falling asleep under the piano again...\You're going to catch a cold. response:	You've gotten heavy, haven't you?
context: Kreisler's... Love's Joy.\Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here?\Falling asleep under the piano again...\You're going to catch a cold.\You've gotten heavy, haven't you? response:	Kousei...
context: Love's... Sorrow.\Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here?\Falling asleep under the piano again...\You're going to catch a cold.\You've gotten heavy, haven't you?\Kousei... response:	This is your punishment.
context: Love's Sorrow, the companion piece to Love's Joy by Kreisler, was written for the violin.\There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here?\Falling asleep under the piano again...\You're going to catch a cold.\You've gotten heavy, haven't you?\Kousei...\This is your punishment. response:	The piano isn't responding to you, is it?
context: There's a piano version of this song arranged by Rachmaninoff.\Huh? Did I stick it here?\Falling asleep under the piano again...\You're going to catch a cold.\You've gotten heavy, haven't you?\Kousei...\This is your punishment.\The piano isn't responding to you, is it? response:	I wish you would just die.
context: Huh? Did I stick it here?\Falling asleep under the piano again...\You're going to catch a cold.\You've gotten heavy, haven't you?\Kousei...\This is your punishment.\The piano isn't responding to you, is it?\I wish you would just die. response:	I can't hear! Help me, Mom!
context: Falling asleep under the piano again...\You're going to catch a cold.\You've gotten heavy, haven't you?\Kousei...\This is your punishment.\The piano isn't responding to you, is it?\I wish you would just die.\I can't hear! Help me, Mom! response:	I wonder why you're so reluctant to play it?
context: You're going to catch a cold.\You've gotten heavy, haven't you?\Kousei...\This is your punishment.\The piano isn't responding to you, is it?\I wish you would just die.\I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it? response:	Why? Because it reminds me of my mother.
context: You've gotten heavy, haven't you?\Kousei...\This is your punishment.\The piano isn't responding to you, is it?\I wish you would just die.\I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother. response:	Hiroko-san, I've got to practice...
context: Kousei...\This is your punishment.\The piano isn't responding to you, is it?\I wish you would just die.\I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice... response:	No sweat, no sweat! It's good to have a change of scenery, to take a breather!
context: This is your punishment.\The piano isn't responding to you, is it?\I wish you would just die.\I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather! response:	Cotton candy! Frappes!
context: The piano isn't responding to you, is it?\I wish you would just die.\I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes! response:	Hey, don't get lost on me.
context: I wish you would just die.\I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes!\Hey, don't get lost on me. response:	Rachmaninoff's Love's Sorrow.
context: I can't hear! Help me, Mom!\I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes!\Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow. response:	Saki used to play that all the time since we were students.
context: I wonder why you're so reluctant to play it?\Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes!\Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students. response:	She used to play it a lot as a lullaby.
context: Why? Because it reminds me of my mother.\Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes!\Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby. response:	This piece just reeks too much of my mom.
context: Hiroko-san, I've got to practice...\No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes!\Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby.\This piece just reeks too much of my mom. response:	So raw... and vivid... It closes in on me...
context: No sweat, no sweat! It's good to have a change of scenery, to take a breather!\Cotton candy! Frappes!\Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby.\This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me... response:	My mother must've had despised me, right?
context: Cotton candy! Frappes!\Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby.\This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me...\My mother must've had despised me, right? response:	No mother on earth despises her own child.
context: Hey, don't get lost on me.\Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby.\This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me...\My mother must've had despised me, right?\No mother on earth despises her own child. response:	That day...
context: Rachmaninoff's Love's Sorrow.\Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby.\This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me...\My mother must've had despised me, right?\No mother on earth despises her own child.\That day... response:	That was the moment you grew up, both as a person and as a pianist.
context: Saki used to play that all the time since we were students.\She used to play it a lot as a lullaby.\This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me...\My mother must've had despised me, right?\No mother on earth despises her own child.\That day...\That was the moment you grew up, both as a person and as a pianist. response:	There's no way that wouldn't make Saki happy.
context: She used to play it a lot as a lullaby.\This piece just reeks too much of my mom.\So raw... and vivid... It closes in on me...\My mother must've had despised me, right?\No mother on earth despises her own child.\That day...\That was the moment you grew up, both as a person and as a pianist.\There's no way that wouldn't make Saki happy. response:	There you are! Sorry!
