context: By the decree of the Heavenly Lord response:	I've come to invite High God Zhe Yan to the Nine Heavens to save a person.
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person. response:	The Medicine King has always been in charge of healing in the Nine Heavens.
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens. response:	Why would the Heavenly Lord send such a formal decree to invite you over?
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over? response:	It sounds serious.
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious. response:	It must be that no medicine is effective
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious.\It must be that no medicine is effective response:	and the Medicine King is at his wits' end.
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious.\It must be that no medicine is effective\and the Medicine King is at his wits' end. response:	Could it be Prince Ye Hua again?
context: By the decree of the Heavenly Lord\I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious.\It must be that no medicine is effective\and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again? response:	Who knew that you'd use up all your cultivation just to make the elixir?
context: I've come to invite High God Zhe Yan to the Nine Heavens to save a person.\The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious.\It must be that no medicine is effective\and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir? response:	It's no wonder that the Heavenly Lord would sent for me.
context: The Medicine King has always been in charge of healing in the Nine Heavens.\Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious.\It must be that no medicine is effective\and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me. response:	You were lucky.
context: Why would the Heavenly Lord send such a formal decree to invite you over?\It sounds serious.\It must be that no medicine is effective\and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me.\You were lucky. response:	If even a couple more hours had passed, even I wouldn't be able to save you.
context: It sounds serious.\It must be that no medicine is effective\and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me.\You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you. response:	Have you given the elixir to Qian Qian?
context: It must be that no medicine is effective\and the Medicine King is at his wits' end.\Could it be Prince Ye Hua again?\Who knew that you'd use up all your cultivation just to make the elixir?\It's no wonder that the Heavenly Lord would sent for me.\You were lucky.\If even a couple more hours had passed, even I wouldn't be able to save you.\Have you given the elixir to Qian Qian? response:	I have.
