context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground' response:	I- indeed. It appears that somehow you really are a Super Saiyan.
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan. response:	Having a calm, quiet heart, then awakened by intense anger, huh?
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh? response:	I see. Which is why no matter how hard Vegeta worked at it, he could not become one.
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one. response:	Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende! response:	You bastard!
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard! response:	W- what humiliation on my part! That I-that Freeza-sama should take this from him-
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him- response:	from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!
context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground'\I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen! response:	Contact with the gentlemen from the Ginyu Special Corps has been cut off,
context: I- indeed. It appears that somehow you really are a Super Saiyan.\Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off, response:	and the signal from Freeza-sama's Scouter has also disappeared!
context: Having a calm, quiet heart, then awakened by intense anger, huh?\I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared! response:	What...what the hell is happening on Planet Namek!?
context: I see. Which is why no matter how hard Vegeta worked at it, he could not become one.\Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!? response:	Perhaps it has finally come!
context: Kuririn-san...Dende...Father will surely win against Freeza! He will surely win, and avenge you, Kuririn-san and Dende!\You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!?\Perhaps it has finally come! response:	A new era, that is!
context: You bastard!\W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!?\Perhaps it has finally come!\A new era, that is! response:	A new era?
context: W- what humiliation on my part! That I-that Freeza-sama should take this from him-\from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!?\Perhaps it has finally come!\A new era, that is!\A new era? response:	Freeza, the one who wiped out my species, has finally been defeated!
context: from this Saiyan monkey scumbag! It's unbelievable! I didn't think this sort of thing could happen!\Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!?\Perhaps it has finally come!\A new era, that is!\A new era?\Freeza, the one who wiped out my species, has finally been defeated! response:	You miserable fool!
context: Contact with the gentlemen from the Ginyu Special Corps has been cut off,\and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!?\Perhaps it has finally come!\A new era, that is!\A new era?\Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool! response:	C- Commander!
context: and the signal from Freeza-sama's Scouter has also disappeared!\What...what the hell is happening on Planet Namek!?\Perhaps it has finally come!\A new era, that is!\A new era?\Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool!\C- Commander! response:	That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!
context: What...what the hell is happening on Planet Namek!?\Perhaps it has finally come!\A new era, that is!\A new era?\Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool!\C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama! response:	And that is not all, he has promised me that some day, my clan would be raised higher than any other!
context: Perhaps it has finally come!\A new era, that is!\A new era?\Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool!\C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other! response:	Isn't that true of your races as well!?
context: A new era, that is!\A new era?\Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool!\C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!? response:	Freeza-sama is the very savior of the universe! Treachery will not be tolerated!
context: A new era?\Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool!\C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated! response:	Signal on sensors! It is Freeza-sama!
context: Freeza, the one who wiped out my species, has finally been defeated!\You miserable fool!\C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama! response:	It's an incredible battle power reading!
context: You miserable fool!\C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading! response:	That's it! Freeza-sama must finally have gotten serious!
context: C- Commander!\That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious! response:	Another one! What is this other giant reading?
context: That we may stand here this day, triumphant over the rest of the universe, is due entirely to Freeza-sama!\And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading? response:	What's the matter!?
context: And that is not all, he has promised me that some day, my clan would be raised higher than any other!\Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading?\What's the matter!? response:	There is another, incredible reading right near Freeza-sama!
context: Isn't that true of your races as well!?\Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading?\What's the matter!?\There is another, incredible reading right near Freeza-sama! response:	-What!? -I will give you a level reading.
context: Freeza-sama is the very savior of the universe! Treachery will not be tolerated!\Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading?\What's the matter!?\There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading. response:	You're finished, Freeza.
context: Signal on sensors! It is Freeza-sama!\It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading?\What's the matter!?\There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading.\You're finished, Freeza. response:	I- I am Freeza! You're telling me I'm finished!?
context: It's an incredible battle power reading!\That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading?\What's the matter!?\There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading.\You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!? response:	That's it!
context: That's it! Freeza-sama must finally have gotten serious!\Another one! What is this other giant reading?\What's the matter!?\There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading.\You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!?\That's it! response:	The spaceship that Father rode here in!
context: Another one! What is this other giant reading?\What's the matter!?\There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading.\You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!?\That's it!\The spaceship that Father rode here in! response:	Still not yet!? If you don't cut that out, I'm really goin' to get angry!
context: What's the matter!?\There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading.\You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!?\That's it!\The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry! response:	I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.
context: There is another, incredible reading right near Freeza-sama!\-What!? -I will give you a level reading.\You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!?\That's it!\The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so. response:	Someone has gotten aboard Goku's spaceship!
context: -What!? -I will give you a level reading.\You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!?\That's it!\The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship! response:	I installed sensor devices in there.
context: You're finished, Freeza.\I- I am Freeza! You're telling me I'm finished!?\That's it!\The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there. response:	So, who could it be?
context: I- I am Freeza! You're telling me I'm finished!?\That's it!\The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there.\So, who could it be? response:	Gohan-chan!
context: That's it!\The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there.\So, who could it be?\Gohan-chan! response:	Piccolo-san, wait here a moment.
context: The spaceship that Father rode here in!\Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there.\So, who could it be?\Gohan-chan!\Piccolo-san, wait here a moment. response:	Gohan-chan!
context: Still not yet!? If you don't cut that out, I'm really goin' to get angry!\I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there.\So, who could it be?\Gohan-chan!\Piccolo-san, wait here a moment.\Gohan-chan! response:	Mother!
context: I have mentioned that this would be a piece of cake-yeow!-if you would not rush me so.\Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there.\So, who could it be?\Gohan-chan!\Piccolo-san, wait here a moment.\Gohan-chan!\Mother! response:	Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!
context: Someone has gotten aboard Goku's spaceship!\I installed sensor devices in there.\So, who could it be?\Gohan-chan!\Piccolo-san, wait here a moment.\Gohan-chan!\Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness! response:	Mother!
context: I installed sensor devices in there.\So, who could it be?\Gohan-chan!\Piccolo-san, wait here a moment.\Gohan-chan!\Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother! response:	-Gohan, what about Goku!? -What are you doin'!?
context: So, who could it be?\Gohan-chan!\Piccolo-san, wait here a moment.\Gohan-chan!\Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother!\-Gohan, what about Goku!? -What are you doin'!? response:	How are Goku and Kuririn!?
context: Gohan-chan!\Piccolo-san, wait here a moment.\Gohan-chan!\Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother!\-Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!? response:	Father is fighting against Freeza.
context: Piccolo-san, wait here a moment.\Gohan-chan!\Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother!\-Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!?\Father is fighting against Freeza. response:	Kuririn-san has died.
context: Gohan-chan!\Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother!\-Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!?\Father is fighting against Freeza.\Kuririn-san has died. response:	-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.
context: Mother!\Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother!\-Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!?\Father is fighting against Freeza.\Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now. response:	I have to go get Bulma-san!
context: Gohan-chan! You're alive, aren't ya!? Thank goodness! Really, thank goodness!\Mother!\-Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!?\Father is fighting against Freeza.\Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san! response:	Gohan-chan! Don't you be goin' anywhere! You stay right where you are!
context: Mother!\-Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!?\Father is fighting against Freeza.\Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are! response:	-I'm waiting here for you! -Wait, Gohan! Wait, I say!
context: -Gohan, what about Goku!? -What are you doin'!?\How are Goku and Kuririn!?\Father is fighting against Freeza.\Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say! response:	If it is to come down to me being killed by the likes of you,
context: How are Goku and Kuririn!?\Father is fighting against Freeza.\Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you, response:	I will choose death by my own hand!
context: Father is fighting against Freeza.\Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you,\I will choose death by my own hand! response:	Whichever you like.
context: Kuririn-san has died.\-W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you,\I will choose death by my own hand!\Whichever you like. response:	Fool. You expect me to die? It is you who will die.
context: -W- what did you say!? -I'm sorry, I don't have the time to go into detailed circumstances right now.\I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you,\I will choose death by my own hand!\Whichever you like.\Fool. You expect me to die? It is you who will die. response:	I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?
context: I have to go get Bulma-san!\Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you,\I will choose death by my own hand!\Whichever you like.\Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans? response:	Now perish, together with this whole planet!!
context: Gohan-chan! Don't you be goin' anywhere! You stay right where you are!\-I'm waiting here for you! -Wait, Gohan! Wait, I say!\If it is to come down to me being killed by the likes of you,\I will choose death by my own hand!\Whichever you like.\Fool. You expect me to die? It is you who will die.\I can continue to live, even in the vacuum of space. I wonder though, how about you Saiyans?\Now perish, together with this whole planet!! response:	Blow up!!
