context: We finally defeated the commander of Oracion Seis, Brain! response:	That dude Jura's crazy powerful!
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful! response:	But Nirvana isn't stopping...
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful!\But Nirvana isn't stopping... response:	And we don't even know how to stop it!
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful!\But Nirvana isn't stopping...\And we don't even know how to stop it! response:	What'll we do?
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful!\But Nirvana isn't stopping...\And we don't even know how to stop it!\What'll we do? response:	We will never give in.
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful!\But Nirvana isn't stopping...\And we don't even know how to stop it!\What'll we do?\We will never give in. response:	For our hopes are already as one!
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful!\But Nirvana isn't stopping...\And we don't even know how to stop it!\What'll we do?\We will never give in.\For our hopes are already as one! response:	This is the guild which Wendy and Carla are members of, Caitshelter.
context: We finally defeated the commander of Oracion Seis, Brain!\That dude Jura's crazy powerful!\But Nirvana isn't stopping...\And we don't even know how to stop it!\What'll we do?\We will never give in.\For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter. response:	Everyone, we've got a big problem!
context: That dude Jura's crazy powerful!\But Nirvana isn't stopping...\And we don't even know how to stop it!\What'll we do?\We will never give in.\For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem! response:	It's Nirvana!
context: But Nirvana isn't stopping...\And we don't even know how to stop it!\What'll we do?\We will never give in.\For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem!\It's Nirvana! response:	Nirvana is heading this way!
context: And we don't even know how to stop it!\What'll we do?\We will never give in.\For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem!\It's Nirvana!\Nirvana is heading this way! response:	What?
context: What'll we do?\We will never give in.\For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem!\It's Nirvana!\Nirvana is heading this way!\What? response:	The alliance plan failed?
context: We will never give in.\For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem!\It's Nirvana!\Nirvana is heading this way!\What?\The alliance plan failed? response:	Even with Jura and Erza with them?
context: For our hopes are already as one!\This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem!\It's Nirvana!\Nirvana is heading this way!\What?\The alliance plan failed?\Even with Jura and Erza with them? response:	Master!
context: This is the guild which Wendy and Carla are members of, Caitshelter.\Everyone, we've got a big problem!\It's Nirvana!\Nirvana is heading this way!\What?\The alliance plan failed?\Even with Jura and Erza with them?\Master! response:	Nabula...
context: Everyone, we've got a big problem!\It's Nirvana!\Nirvana is heading this way!\What?\The alliance plan failed?\Even with Jura and Erza with them?\Master!\Nabula... response:	Don't pour if you're gonna drink straight from the bottle!
context: It's Nirvana!\Nirvana is heading this way!\What?\The alliance plan failed?\Even with Jura and Erza with them?\Master!\Nabula...\Don't pour if you're gonna drink straight from the bottle! response:	Nabula...
context: Nirvana is heading this way!\What?\The alliance plan failed?\Even with Jura and Erza with them?\Master!\Nabula...\Don't pour if you're gonna drink straight from the bottle!\Nabula... response:	Listen, Nirvana is heading here...
context: What?\The alliance plan failed?\Even with Jura and Erza with them?\Master!\Nabula...\Don't pour if you're gonna drink straight from the bottle!\Nabula...\Listen, Nirvana is heading here... response:	What? For truth?
context: The alliance plan failed?\Even with Jura and Erza with them?\Master!\Nabula...\Don't pour if you're gonna drink straight from the bottle!\Nabula...\Listen, Nirvana is heading here...\What? For truth? response:	Swallow first, then talk!
context: Even with Jura and Erza with them?\Master!\Nabula...\Don't pour if you're gonna drink straight from the bottle!\Nabula...\Listen, Nirvana is heading here...\What? For truth?\Swallow first, then talk! response:	Nirvana is heading this way?
context: Master!\Nabula...\Don't pour if you're gonna drink straight from the bottle!\Nabula...\Listen, Nirvana is heading here...\What? For truth?\Swallow first, then talk!\Nirvana is heading this way? response:	Is this fate? Or merely coincidence-nabula?
context: Nabula...\Don't pour if you're gonna drink straight from the bottle!\Nabula...\Listen, Nirvana is heading here...\What? For truth?\Swallow first, then talk!\Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula? response:	I hope that Wendy is safe...
context: Don't pour if you're gonna drink straight from the bottle!\Nabula...\Listen, Nirvana is heading here...\What? For truth?\Swallow first, then talk!\Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe... response:	Yeah.
context: Nabula...\Listen, Nirvana is heading here...\What? For truth?\Swallow first, then talk!\Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe...\Yeah. response:	We're not actually any help in a pinch.
context: Listen, Nirvana is heading here...\What? For truth?\Swallow first, then talk!\Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe...\Yeah.\We're not actually any help in a pinch. response:	Swallow, then talk!
context: What? For truth?\Swallow first, then talk!\Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe...\Yeah.\We're not actually any help in a pinch.\Swallow, then talk! response:	The power of the magic of light still lives!
context: Swallow first, then talk!\Nirvana is heading this way?\Is this fate? Or merely coincidence-nabula?\I hope that Wendy is safe...\Yeah.\We're not actually any help in a pinch.\Swallow, then talk!\The power of the magic of light still lives! response:	Nabula! It shines brightly!
