context: Uka's Room response:	Maid Cafe Flea Market
context: Uka's Room\Maid Cafe Flea Market response:	30 days till the Cultural Festival!
context: Uka's Room\Maid Cafe Flea Market\30 days till the Cultural Festival! response:	Festival Committee: Sumizome + Koudo
context: Uka's Room\Maid Cafe Flea Market\30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo response:	The Fairytale Prince by Hashimoto
context: Uka's Room\Maid Cafe Flea Market\30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto response:	Please... Please...
context: Uka's Room\Maid Cafe Flea Market\30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto\Please... Please... response:	Role Draw
context: Uka's Room\Maid Cafe Flea Market\30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto\Please... Please...\Role Draw response:	Role Draw
context: Uka's Room\Maid Cafe Flea Market\30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto\Please... Please...\Role Draw\Role Draw response:	Role Draw
context: Maid Cafe Flea Market\30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto\Please... Please...\Role Draw\Role Draw\Role Draw response:	Role Draw
context: 30 days till the Cultural Festival!\Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto\Please... Please...\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Festival Committee: Sumizome + Koudo\The Fairytale Prince by Hashimoto\Please... Please...\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: The Fairytale Prince by Hashimoto\Please... Please...\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Please... Please...\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	Role Draw
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw response:	The Fairytale Prince by Hashimoto
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\The Fairytale Prince by Hashimoto response:	Let me get the role of Tanbabashi's lover!
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\The Fairytale Prince by Hashimoto\Let me get the role of Tanbabashi's lover! response:	Princess: Prince:... Fushimi Tanbabashi Inari Kouji
context: Role Draw\Role Draw\Role Draw\Role Draw\Role Draw\The Fairytale Prince by Hashimoto\Let me get the role of Tanbabashi's lover!\Princess: Prince:... Fushimi Tanbabashi Inari Kouji response:	What a shocking development!
context: Role Draw\Role Draw\Role Draw\Role Draw\The Fairytale Prince by Hashimoto\Let me get the role of Tanbabashi's lover!\Princess: Prince:... Fushimi Tanbabashi Inari Kouji\What a shocking development! response:	Inari, Konkon, Koi Iroha
context: Role Draw\Role Draw\Role Draw\The Fairytale Prince by Hashimoto\Let me get the role of Tanbabashi's lover!\Princess: Prince:... Fushimi Tanbabashi Inari Kouji\What a shocking development!\Inari, Konkon, Koi Iroha response:	nanige naku tsuita tameiki wa
