context: Miss Kobayashi, Miss Kobayashi! response:	I'm the ultimate maid, aren't I?
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I? response:	Tohru
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I?\Tohru response:	Maid
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I?\Tohru\Maid response:	Of course you're not, but what's up?
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I?\Tohru\Maid\Of course you're not, but what's up? response:	Miss Kobayashi
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I?\Tohru\Maid\Of course you're not, but what's up?\Miss Kobayashi response:	No, I think I am the ultimate maid.
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I?\Tohru\Maid\Of course you're not, but what's up?\Miss Kobayashi\No, I think I am the ultimate maid. response:	I told you, you're not.
context: Miss Kobayashi, Miss Kobayashi!\I'm the ultimate maid, aren't I?\Tohru\Maid\Of course you're not, but what's up?\Miss Kobayashi\No, I think I am the ultimate maid.\I told you, you're not. response:	I found this book.
context: I'm the ultimate maid, aren't I?\Tohru\Maid\Of course you're not, but what's up?\Miss Kobayashi\No, I think I am the ultimate maid.\I told you, you're not.\I found this book. response:	Maid Cafe Open!
context: Tohru\Maid\Of course you're not, but what's up?\Miss Kobayashi\No, I think I am the ultimate maid.\I told you, you're not.\I found this book.\Maid Cafe Open! response:	Welcoming you with the best maids
context: Maid\Of course you're not, but what's up?\Miss Kobayashi\No, I think I am the ultimate maid.\I told you, you're not.\I found this book.\Maid Cafe Open!\Welcoming you with the best maids response:	Maid cafe opening?
context: Of course you're not, but what's up?\Miss Kobayashi\No, I think I am the ultimate maid.\I told you, you're not.\I found this book.\Maid Cafe Open!\Welcoming you with the best maids\Maid cafe opening? response:	Welcoming you with the best maids
context: Miss Kobayashi\No, I think I am the ultimate maid.\I told you, you're not.\I found this book.\Maid Cafe Open!\Welcoming you with the best maids\Maid cafe opening?\Welcoming you with the best maids response:	That's rather close.
context: No, I think I am the ultimate maid.\I told you, you're not.\I found this book.\Maid Cafe Open!\Welcoming you with the best maids\Maid cafe opening?\Welcoming you with the best maids\That's rather close. response:	The best maids?!
context: I told you, you're not.\I found this book.\Maid Cafe Open!\Welcoming you with the best maids\Maid cafe opening?\Welcoming you with the best maids\That's rather close.\The best maids?! response:	How can they make such false claims without me!
context: I found this book.\Maid Cafe Open!\Welcoming you with the best maids\Maid cafe opening?\Welcoming you with the best maids\That's rather close.\The best maids?!\How can they make such false claims without me! response:	Yeah, no one should make false claims.
context: Maid Cafe Open!\Welcoming you with the best maids\Maid cafe opening?\Welcoming you with the best maids\That's rather close.\The best maids?!\How can they make such false claims without me!\Yeah, no one should make false claims. response:	The dragon in front of me is doing that right now, though.
context: Welcoming you with the best maids\Maid cafe opening?\Welcoming you with the best maids\That's rather close.\The best maids?!\How can they make such false claims without me!\Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though. response:	Actually a Dragon
context: Maid cafe opening?\Welcoming you with the best maids\That's rather close.\The best maids?!\How can they make such false claims without me!\Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though.\Actually a Dragon response:	For now, I'll turn them into ash from which nothing will grow with my cursed flames.
context: Welcoming you with the best maids\That's rather close.\The best maids?!\How can they make such false claims without me!\Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though.\Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames. response:	Literally burning love?!
context: That's rather close.\The best maids?!\How can they make such false claims without me!\Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though.\Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?! response:	No, you better not do that.
context: The best maids?!\How can they make such false claims without me!\Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though.\Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?!\No, you better not do that. response:	Regardless!
context: How can they make such false claims without me!\Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though.\Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?!\No, you better not do that.\Regardless! response:	I'm going to scout out the enemy!
context: Yeah, no one should make false claims.\The dragon in front of me is doing that right now, though.\Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?!\No, you better not do that.\Regardless!\I'm going to scout out the enemy! response:	Is she okay?
context: The dragon in front of me is doing that right now, though.\Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?!\No, you better not do that.\Regardless!\I'm going to scout out the enemy!\Is she okay? response:	I'm back home.
context: Actually a Dragon\For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?!\No, you better not do that.\Regardless!\I'm going to scout out the enemy!\Is she okay?\I'm back home. response:	How was it?
context: For now, I'll turn them into ash from which nothing will grow with my cursed flames.\Literally burning love?!\No, you better not do that.\Regardless!\I'm going to scout out the enemy!\Is she okay?\I'm back home.\How was it? response:	You didn't do anything, did you?
context: Literally burning love?!\No, you better not do that.\Regardless!\I'm going to scout out the enemy!\Is she okay?\I'm back home.\How was it?\You didn't do anything, did you? response:	Somehow, I wound up working there!
context: No, you better not do that.\Regardless!\I'm going to scout out the enemy!\Is she okay?\I'm back home.\How was it?\You didn't do anything, did you?\Somehow, I wound up working there! response:	How?!
context: Regardless!\I'm going to scout out the enemy!\Is she okay?\I'm back home.\How was it?\You didn't do anything, did you?\Somehow, I wound up working there!\How?! response:	Because I'm
context: I'm going to scout out the enemy!\Is she okay?\I'm back home.\How was it?\You didn't do anything, did you?\Somehow, I wound up working there!\How?!\Because I'm response:	I proudly stormed the enemy's evil den.
context: Is she okay?\I'm back home.\How was it?\You didn't do anything, did you?\Somehow, I wound up working there!\How?!\Because I'm\I proudly stormed the enemy's evil den. response:	Evil den?
context: I'm back home.\How was it?\You didn't do anything, did you?\Somehow, I wound up working there!\How?!\Because I'm\I proudly stormed the enemy's evil den.\Evil den? response:	Pardon me!
context: How was it?\You didn't do anything, did you?\Somehow, I wound up working there!\How?!\Because I'm\I proudly stormed the enemy's evil den.\Evil den?\Pardon me! response:	Oh, my. Are you here to interview for a job?
context: You didn't do anything, did you?\Somehow, I wound up working there!\How?!\Because I'm\I proudly stormed the enemy's evil den.\Evil den?\Pardon me!\Oh, my. Are you here to interview for a job? response:	You're awfully motivated, wearing a maid outfit already.
context: Somehow, I wound up working there!\How?!\Because I'm\I proudly stormed the enemy's evil den.\Evil den?\Pardon me!\Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already. response:	You're so pretty, too.
context: How?!\Because I'm\I proudly stormed the enemy's evil den.\Evil den?\Pardon me!\Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already.\You're so pretty, too. response:	You've conquered me with your zeal.
context: Because I'm\I proudly stormed the enemy's evil den.\Evil den?\Pardon me!\Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already.\You're so pretty, too.\You've conquered me with your zeal. response:	You're hired!
context: I proudly stormed the enemy's evil den.\Evil den?\Pardon me!\Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already.\You're so pretty, too.\You've conquered me with your zeal.\You're hired! response:	Yay!
context: Evil den?\Pardon me!\Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already.\You're so pretty, too.\You've conquered me with your zeal.\You're hired!\Yay! response:	So, I returned victorious!
context: Pardon me!\Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already.\You're so pretty, too.\You've conquered me with your zeal.\You're hired!\Yay!\So, I returned victorious! response:	Is that maid cafe going to be okay?
context: Oh, my. Are you here to interview for a job?\You're awfully motivated, wearing a maid outfit already.\You're so pretty, too.\You've conquered me with your zeal.\You're hired!\Yay!\So, I returned victorious!\Is that maid cafe going to be okay? response:	Well, I have had a lot of free time on my hands lately while you and Kanna are gone.
context: You're awfully motivated, wearing a maid outfit already.\You're so pretty, too.\You've conquered me with your zeal.\You're hired!\Yay!\So, I returned victorious!\Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone. response:	You're like a wife getting a part-time job because she's bored!
context: You're so pretty, too.\You've conquered me with your zeal.\You're hired!\Yay!\So, I returned victorious!\Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored! response:	So, you are going to try working, then?
context: You've conquered me with your zeal.\You're hired!\Yay!\So, I returned victorious!\Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then? response:	Will you be okay?
context: You're hired!\Yay!\So, I returned victorious!\Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then?\Will you be okay? response:	What are you talking about?
context: Yay!\So, I returned victorious!\Is that maid cafe going to be okay?\Well, I have had a lot of free time on my hands lately while you and Kanna are gone.\You're like a wife getting a part-time job because she's bored!\So, you are going to try working, then?\Will you be okay?\What are you talking about? response:	I work as a maid every day.
