context: P- please listen to us! response:	We come from a planet called Earth, and in no way do we mean you any-
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any- response:	I don't want to hear anything you invaders have to say to us!
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us! response:	Invaders? W- w- wait just a minute, would you?
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you? response:	There's nothing sinister about us, I tell you! We're not invaders!
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders! response:	Shut up!
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders!\Shut up! response:	Hold on a minute! Those boys are right!
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders!\Shut up!\Hold on a minute! Those boys are right! response:	You talk too much for men! You're not popular with the girls, so-
context: P- please listen to us!\We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders!\Shut up!\Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so- response:	Stop standing around and do something!
context: We come from a planet called Earth, and in no way do we mean you any-\I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders!\Shut up!\Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something! response:	Gohan, we're fighting.
context: I don't want to hear anything you invaders have to say to us!\Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders!\Shut up!\Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something!\Gohan, we're fighting. response:	Right.
context: Invaders? W- w- wait just a minute, would you?\There's nothing sinister about us, I tell you! We're not invaders!\Shut up!\Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something!\Gohan, we're fighting.\Right. response:	Yee-ow-ow-ow!
context: There's nothing sinister about us, I tell you! We're not invaders!\Shut up!\Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something!\Gohan, we're fighting.\Right.\Yee-ow-ow-ow! response:	Hey! What did you do that for!?
context: Shut up!\Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something!\Gohan, we're fighting.\Right.\Yee-ow-ow-ow!\Hey! What did you do that for!? response:	Don't move!
context: Hold on a minute! Those boys are right!\You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something!\Gohan, we're fighting.\Right.\Yee-ow-ow-ow!\Hey! What did you do that for!?\Don't move! response:	I- I really will kill you.
context: You talk too much for men! You're not popular with the girls, so-\Stop standing around and do something!\Gohan, we're fighting.\Right.\Yee-ow-ow-ow!\Hey! What did you do that for!?\Don't move!\I- I really will kill you. response:	Zeshin, let's hurry and kill them. These guys have to be Freeza's men.
context: Stop standing around and do something!\Gohan, we're fighting.\Right.\Yee-ow-ow-ow!\Hey! What did you do that for!?\Don't move!\I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men. response:	Y- yeah...
context: Gohan, we're fighting.\Right.\Yee-ow-ow-ow!\Hey! What did you do that for!?\Don't move!\I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah... response:	W- we have to kill them, huh?
context: Right.\Yee-ow-ow-ow!\Hey! What did you do that for!?\Don't move!\I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah...\W- we have to kill them, huh? response:	W- what's happening!?
context: Yee-ow-ow-ow!\Hey! What did you do that for!?\Don't move!\I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah...\W- we have to kill them, huh?\W- what's happening!? response:	Zeshin! Bad news! We've gone into a meteor swarm!
context: Hey! What did you do that for!?\Don't move!\I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah...\W- we have to kill them, huh?\W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm! response:	What!? Damn...
context: Don't move!\I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah...\W- we have to kill them, huh?\W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn... response:	Hey, keep an eye on these guys! If they try anything funny, shoot them right there!
context: I- I really will kill you.\Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah...\W- we have to kill them, huh?\W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there! response:	Kuririn!
context: Zeshin, let's hurry and kill them. These guys have to be Freeza's men.\Y- yeah...\W- we have to kill them, huh?\W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn! response:	Now's our chance! Save me, quickly!
context: Y- yeah...\W- we have to kill them, huh?\W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn!\Now's our chance! Save me, quickly! response:	Y- yeah. Gohan...
context: W- we have to kill them, huh?\W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn!\Now's our chance! Save me, quickly!\Y- yeah. Gohan... response:	Right.
context: W- what's happening!?\Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn!\Now's our chance! Save me, quickly!\Y- yeah. Gohan...\Right. response:	No! No! No! Absolutely no way!
context: Zeshin! Bad news! We've gone into a meteor swarm!\What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn!\Now's our chance! Save me, quickly!\Y- yeah. Gohan...\Right.\No! No! No! Absolutely no way! response:	Oww!! Oww!!
context: What!? Damn...\Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn!\Now's our chance! Save me, quickly!\Y- yeah. Gohan...\Right.\No! No! No! Absolutely no way!\Oww!! Oww!! response:	I haven't even stuck you yet.
context: Hey, keep an eye on these guys! If they try anything funny, shoot them right there!\Kuririn!\Now's our chance! Save me, quickly!\Y- yeah. Gohan...\Right.\No! No! No! Absolutely no way!\Oww!! Oww!!\I haven't even stuck you yet. response:	My, my, Goku is positively hopeless over this sort of thing.
context: Kuririn!\Now's our chance! Save me, quickly!\Y- yeah. Gohan...\Right.\No! No! No! Absolutely no way!\Oww!! Oww!!\I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing. response:	Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!
context: Now's our chance! Save me, quickly!\Y- yeah. Gohan...\Right.\No! No! No! Absolutely no way!\Oww!! Oww!!\I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! response:	I told you, I haven't stuck you yet.
context: Y- yeah. Gohan...\Right.\No! No! No! Absolutely no way!\Oww!! Oww!!\I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet. response:	Good grief. For someone who's always doin' push-ups and sit-ups,
context: Right.\No! No! No! Absolutely no way!\Oww!! Oww!!\I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups, response:	what are you so upset over somethin' as small as this for?
context: No! No! No! Absolutely no way!\Oww!! Oww!!\I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for? response:	Chichi...
context: Oww!! Oww!!\I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for?\Chichi... response:	Hmph! How embarrassin'.
context: I haven't even stuck you yet.\My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for?\Chichi...\Hmph! How embarrassin'. response:	Compared to the sufferin' Gohan went through, that pain should be nothin' at all.
context: My, my, Goku is positively hopeless over this sort of thing.\Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for?\Chichi...\Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all. response:	I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.
context: Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow! Ow!\I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for?\Chichi...\Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake. response:	Chichi...
context: I told you, I haven't stuck you yet.\Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for?\Chichi...\Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi... response:	And stickum...
context: Good grief. For someone who's always doin' push-ups and sit-ups,\what are you so upset over somethin' as small as this for?\Chichi...\Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi...\And stickum... response:	What are you doing!? Hurry it up!
context: what are you so upset over somethin' as small as this for?\Chichi...\Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi...\And stickum...\What are you doing!? Hurry it up! response:	Right... but...
context: Chichi...\Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi...\And stickum...\What are you doing!? Hurry it up!\Right... but... response:	Any ship that goes into a meteor swarm like this won't last long,
context: Hmph! How embarrassin'.\Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi...\And stickum...\What are you doing!? Hurry it up!\Right... but...\Any ship that goes into a meteor swarm like this won't last long, response:	no matter how tough it is!
context: Compared to the sufferin' Gohan went through, that pain should be nothin' at all.\I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi...\And stickum...\What are you doing!? Hurry it up!\Right... but...\Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is! response:	If we don't hurry, we won't be spared, either!
context: I'm goin' to go pace a hundred times in front of the shrine for Gohan- chan's sake.\Chichi...\And stickum...\What are you doing!? Hurry it up!\Right... but...\Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is!\If we don't hurry, we won't be spared, either! response:	But that's why we can't just leave these needy people like this...
context: Chichi...\And stickum...\What are you doing!? Hurry it up!\Right... but...\Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is!\If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this... response:	Who are you calling needy people!?
context: And stickum...\What are you doing!? Hurry it up!\Right... but...\Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is!\If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this...\Who are you calling needy people!? response:	Are you okay?
context: What are you doing!? Hurry it up!\Right... but...\Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is!\If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this...\Who are you calling needy people!?\Are you okay? response:	All right!
context: Right... but...\Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is!\If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this...\Who are you calling needy people!?\Are you okay?\All right! response:	W- who are these guys?
context: Any ship that goes into a meteor swarm like this won't last long,\no matter how tough it is!\If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this...\Who are you calling needy people!?\Are you okay?\All right!\W- who are these guys? response:	Somebody help!
context: no matter how tough it is!\If we don't hurry, we won't be spared, either!\But that's why we can't just leave these needy people like this...\Who are you calling needy people!?\Are you okay?\All right!\W- who are these guys?\Somebody help! response:	Oh, no!
