context: I got a boyfriend recently. response:	Naoya is way too proper, and he can be a bit weird,
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird, response:	but he really cherishes me.
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird,\but he really cherishes me. response:	Or so I thought!
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird,\but he really cherishes me.\Or so I thought! response:	Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird,\but he really cherishes me.\Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him. response:	That asshole declared that he wants to date both of us!
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird,\but he really cherishes me.\Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us! response:	The Grovel
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird,\but he really cherishes me.\Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us!\The Grovel response:	And now the three of us are living together at his place!
context: I got a boyfriend recently.\Naoya is way too proper, and he can be a bit weird,\but he really cherishes me.\Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us!\The Grovel\And now the three of us are living together at his place! response:	The Three of Us
context: Naoya is way too proper, and he can be a bit weird,\but he really cherishes me.\Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us!\The Grovel\And now the three of us are living together at his place!\The Three of Us response:	Living Together
context: but he really cherishes me.\Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us!\The Grovel\And now the three of us are living together at his place!\The Three of Us\Living Together response:	What's going to happen to us?!
context: Or so I thought!\Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us!\The Grovel\And now the three of us are living together at his place!\The Three of Us\Living Together\What's going to happen to us?! response:	I don't think I can go through with this.
context: Now he tells me that he wants to date this other girl, Nagisa-chan, who confessed to him.\That asshole declared that he wants to date both of us!\The Grovel\And now the three of us are living together at his place!\The Three of Us\Living Together\What's going to happen to us?!\I don't think I can go through with this. response:	There are way too many problems with him dating the two of us.
context: That asshole declared that he wants to date both of us!\The Grovel\And now the three of us are living together at his place!\The Three of Us\Living Together\What's going to happen to us?!\I don't think I can go through with this.\There are way too many problems with him dating the two of us. response:	And my rival just has to be so...
context: The Grovel\And now the three of us are living together at his place!\The Three of Us\Living Together\What's going to happen to us?!\I don't think I can go through with this.\There are way too many problems with him dating the two of us.\And my rival just has to be so... response:	So cute and big-boobed and irresistible!
context: And now the three of us are living together at his place!\The Three of Us\Living Together\What's going to happen to us?!\I don't think I can go through with this.\There are way too many problems with him dating the two of us.\And my rival just has to be so...\So cute and big-boobed and irresistible! response:	Why did a girl like her have to ask out Naoya?
