context: Be careful, alright? response:	And it's fine if you decide to head right on back here, you know!
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know! response:	I'm counting on you to take care of Riko!
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko! response:	Understood.
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood. response:	You guys care take of yourselves, too.
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood.\You guys care take of yourselves, too. response:	Thank you to both of you!
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood.\You guys care take of yourselves, too.\Thank you to both of you! response:	Keep an eye out for the good news I'll be sending!
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood.\You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending! response:	Well then, we're off now!
context: Be careful, alright?\And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood.\You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now! response:	These new adventurers...
context: And it's fine if you decide to head right on back here, you know!\I'm counting on you to take care of Riko!\Understood.\You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\These new adventurers... response:	Welling up inside them is courage, wit, and curiosity.
context: I'm counting on you to take care of Riko!\Understood.\You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\These new adventurers...\Welling up inside them is courage, wit, and curiosity. response:	On their path, hope and despair alike are lying in wait.
context: Understood.\You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\These new adventurers...\Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait. response:	Daremo ga sakaraezu ni mogutteiku
context: You guys care take of yourselves, too.\Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\These new adventurers...\Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku response:	Sono me o tomoshibi yori kagayakasete
context: Thank you to both of you!\Keep an eye out for the good news I'll be sending!\Well then, we're off now!\These new adventurers...\Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete response:	Mezasu saki wa fukaku
context: Keep an eye out for the good news I'll be sending!\Well then, we're off now!\These new adventurers...\Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku response:	Massugu ni mayoikomu
context: Well then, we're off now!\These new adventurers...\Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu response:	Kuchiaketa naraku no wana
context: These new adventurers...\Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana response:	Shinjitsu no ato o oikakeyou
context: Welling up inside them is courage, wit, and curiosity.\On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou response:	Ima kotae ga mitsukaru nara zenbu nakushitemo ii
context: On their path, hope and despair alike are lying in wait.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii response:	Sono koe o hanasanai youni kodama ga mada hibiiteru
context: Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru response:	Rashinban wa zutto
context: Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto response:	Yami o sashita mama
context: Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama response:	Nigeba no nai
context: Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai response:	Hou e
context: Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e response:	Sore ga noroi demo
context: Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo response:	Kodou wa honmono
context: Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono response:	Nidoto akogare wa tomaranai
context: Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai response:	Uh, Reg... wake up.
context: Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\Uh, Reg... wake up. response:	Who's there?!
context: Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\Uh, Reg... wake up.\Who's there?! response:	Reg?
context: Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\Uh, Reg... wake up.\Who's there?!\Reg? response:	Huh?
context: Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\Uh, Reg... wake up.\Who's there?!\Reg?\Huh? response:	Huh?
