context: Listen to me, Kousei, response:	I want you to study the sheet music over and over,
context: Listen to me, Kousei,\I want you to study the sheet music over and over, response:	and play it again and again and again.
context: Listen to me, Kousei,\I want you to study the sheet music over and over,\and play it again and again and again. response:	That's how you're going to perfect it.
context: Listen to me, Kousei,\I want you to study the sheet music over and over,\and play it again and again and again.\That's how you're going to perfect it. response:	Just what the score calls for,
context: Listen to me, Kousei,\I want you to study the sheet music over and over,\and play it again and again and again.\That's how you're going to perfect it.\Just what the score calls for, response:	just as the composer intended,
context: Listen to me, Kousei,\I want you to study the sheet music over and over,\and play it again and again and again.\That's how you're going to perfect it.\Just what the score calls for,\just as the composer intended, response:	perfectly and precisely.
context: Listen to me, Kousei,\I want you to study the sheet music over and over,\and play it again and again and again.\That's how you're going to perfect it.\Just what the score calls for,\just as the composer intended,\perfectly and precisely. response:	You're off again! How many times do I have to tell you?
context: Listen to me, Kousei,\I want you to study the sheet music over and over,\and play it again and again and again.\That's how you're going to perfect it.\Just what the score calls for,\just as the composer intended,\perfectly and precisely.\You're off again! How many times do I have to tell you? response:	You're not going to bed until you can play that passage!
context: I want you to study the sheet music over and over,\and play it again and again and again.\That's how you're going to perfect it.\Just what the score calls for,\just as the composer intended,\perfectly and precisely.\You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage! response:	Take a good look at it! It's all there in the sheet music!
context: and play it again and again and again.\That's how you're going to perfect it.\Just what the score calls for,\just as the composer intended,\perfectly and precisely.\You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music! response:	Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.
context: That's how you're going to perfect it.\Just what the score calls for,\just as the composer intended,\perfectly and precisely.\You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto. response:	I bet there's sheet music plastered onto those glasses!
context: Just what the score calls for,\just as the composer intended,\perfectly and precisely.\You're off again! How many times do I have to tell you?\You're not going to bed until you can play that passage!\Take a good look at it! It's all there in the sheet music!\Arima's No. 1 again? Well, his mother is a direct disciple of Mr. Hashimoto.\I bet there's sheet music plastered onto those glasses! response:	Plus they'll hide the bruises from when she hits him.
