context: Intro response:	Ashiya, you okay?
context: Intro\Ashiya, you okay? response:	I'm terribly sorry, Milord.
context: Intro\Ashiya, you okay?\I'm terribly sorry, Milord. response:	I can't even go shopping like this...
context: Intro\Ashiya, you okay?\I'm terribly sorry, Milord.\I can't even go shopping like this... response:	Just forget about all that and get some rest.
context: Intro\Ashiya, you okay?\I'm terribly sorry, Milord.\I can't even go shopping like this...\Just forget about all that and get some rest. response:	I'll take care of dinner.
context: Intro\Ashiya, you okay?\I'm terribly sorry, Milord.\I can't even go shopping like this...\Just forget about all that and get some rest.\I'll take care of dinner. response:	Milord!
context: Intro\Ashiya, you okay?\I'm terribly sorry, Milord.\I can't even go shopping like this...\Just forget about all that and get some rest.\I'll take care of dinner.\Milord! response:	Such gracious words... for the likes of me...
context: Intro\Ashiya, you okay?\I'm terribly sorry, Milord.\I can't even go shopping like this...\Just forget about all that and get some rest.\I'll take care of dinner.\Milord!\Such gracious words... for the likes of me... response:	Looks like we've still got some rice.
context: Ashiya, you okay?\I'm terribly sorry, Milord.\I can't even go shopping like this...\Just forget about all that and get some rest.\I'll take care of dinner.\Milord!\Such gracious words... for the likes of me...\Looks like we've still got some rice. response:	Guess I could make some egg fried rice.
context: I'm terribly sorry, Milord.\I can't even go shopping like this...\Just forget about all that and get some rest.\I'll take care of dinner.\Milord!\Such gracious words... for the likes of me...\Looks like we've still got some rice.\Guess I could make some egg fried rice. response:	Huh? Is that Emi again?
context: I can't even go shopping like this...\Just forget about all that and get some rest.\I'll take care of dinner.\Milord!\Such gracious words... for the likes of me...\Looks like we've still got some rice.\Guess I could make some egg fried rice.\Huh? Is that Emi again? response:	Delivery for you!
context: Just forget about all that and get some rest.\I'll take care of dinner.\Milord!\Such gracious words... for the likes of me...\Looks like we've still got some rice.\Guess I could make some egg fried rice.\Huh? Is that Emi again?\Delivery for you! response:	Damn you...
context: I'll take care of dinner.\Milord!\Such gracious words... for the likes of me...\Looks like we've still got some rice.\Guess I could make some egg fried rice.\Huh? Is that Emi again?\Delivery for you!\Damn you... response:	Don't tell me you bought something again
context: Milord!\Such gracious words... for the likes of me...\Looks like we've still got some rice.\Guess I could make some egg fried rice.\Huh? Is that Emi again?\Delivery for you!\Damn you...\Don't tell me you bought something again response:	I haven't.
context: Such gracious words... for the likes of me...\Looks like we've still got some rice.\Guess I could make some egg fried rice.\Huh? Is that Emi again?\Delivery for you!\Damn you...\Don't tell me you bought something again\I haven't. response:	If I had, I'd've made them deliver it when you weren't around.
context: Looks like we've still got some rice.\Guess I could make some egg fried rice.\Huh? Is that Emi again?\Delivery for you!\Damn you...\Don't tell me you bought something again\I haven't.\If I had, I'd've made them deliver it when you weren't around. response:	Thank you!
context: Guess I could make some egg fried rice.\Huh? Is that Emi again?\Delivery for you!\Damn you...\Don't tell me you bought something again\I haven't.\If I had, I'd've made them deliver it when you weren't around.\Thank you! response:	Maou Sadao,
context: Huh? Is that Emi again?\Delivery for you!\Damn you...\Don't tell me you bought something again\I haven't.\If I had, I'd've made them deliver it when you weren't around.\Thank you!\Maou Sadao, response:	I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?
context: Delivery for you!\Damn you...\Don't tell me you bought something again\I haven't.\If I had, I'd've made them deliver it when you weren't around.\Thank you!\Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market? response:	Mikity
context: Damn you...\Don't tell me you bought something again\I haven't.\If I had, I'd've made them deliver it when you weren't around.\Thank you!\Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity response:	I found a bunch of lovely stuff in Hawaii,
context: Don't tell me you bought something again\I haven't.\If I had, I'd've made them deliver it when you weren't around.\Thank you!\Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity\I found a bunch of lovely stuff in Hawaii, response:	so could you put them up for sale in the local association's summer festival flea market?
context: I haven't.\If I had, I'd've made them deliver it when you weren't around.\Thank you!\Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity\I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market? response:	I'm not gonna help, you know.
context: If I had, I'd've made them deliver it when you weren't around.\Thank you!\Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity\I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know. response:	Hey!
context: Thank you!\Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity\I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know.\Hey! response:	Do you wanna cough or complain? Pick one.
context: Maou Sadao,\I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity\I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know.\Hey!\Do you wanna cough or complain? Pick one. response:	You're...
context: I found a bunch of lovely stuff in Hawaii, so could you put them up for sale in the local association's summer festival flea market?\Mikity\I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know.\Hey!\Do you wanna cough or complain? Pick one.\You're... response:	You're from the Church, right?
context: Mikity\I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know.\Hey!\Do you wanna cough or complain? Pick one.\You're...\You're from the Church, right? response:	Death Scythe Bell, if I'm not mistaken.
context: I found a bunch of lovely stuff in Hawaii,\so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know.\Hey!\Do you wanna cough or complain? Pick one.\You're...\You're from the Church, right?\Death Scythe Bell, if I'm not mistaken. response:	OP
context: so could you put them up for sale in the local association's summer festival flea market?\I'm not gonna help, you know.\Hey!\Do you wanna cough or complain? Pick one.\You're...\You're from the Church, right?\Death Scythe Bell, if I'm not mistaken.\OP response:	Get out of your cage
context: I'm not gonna help, you know.\Hey!\Do you wanna cough or complain? Pick one.\You're...\You're from the Church, right?\Death Scythe Bell, if I'm not mistaken.\OP\Get out of your cage response:	Fly toward the sky
context: Hey!\Do you wanna cough or complain? Pick one.\You're...\You're from the Church, right?\Death Scythe Bell, if I'm not mistaken.\OP\Get out of your cage\Fly toward the sky response:	Fly toward the sky
context: Do you wanna cough or complain? Pick one.\You're...\You're from the Church, right?\Death Scythe Bell, if I'm not mistaken.\OP\Get out of your cage\Fly toward the sky\Fly toward the sky response:	It all starts right here, right now
context: You're...\You're from the Church, right?\Death Scythe Bell, if I'm not mistaken.\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now response:	Let's picture what we can do
context: You're from the Church, right?\Death Scythe Bell, if I'm not mistaken.\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do response:	Let's picture what we can do
context: Death Scythe Bell, if I'm not mistaken.\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do response:	Let's picture what we can do
context: OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do response:	Unbelievable things might happen
context: Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen response:	But we can overcome them all
context: Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all response:	But we can overcome them all
context: Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all response:	But we can overcome them all
context: It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams response:	Our dreams are born from nothing
context: Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing response:	Power of dreams
context: Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams response:	And take us to that shining sky
context: But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky response:	fly
context: But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly response:	And take us to that shining sky
context: But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky response:	Light blue wind
context: Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind response:	I want to spread my wings
context: Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings response:	Light blue wind
context: And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind response:	Now here I go, with the greatest smile on my face
context: fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Let's set out to an unknown world
context: Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world response:	Let's set out to an unknown world
context: I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Go to another world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world response:	We'll be the ones to choose and decide the future
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future response:	Let's chase after our dreams
context: Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams response:	There will be times when we cry
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry response:	I have a really important wish
