context: nakushita yakusoku wa hoshi ni response:	Send the lost promises to the stars
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars response:	omoide wa tokenai
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai response:	My memories won't fade away
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away response:	yotsuba no clover sagashinagara kimi no kao
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao response:	I steal a glance at you as we look for four-leaf clovers,
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers, response:	chirari nusumi mite wa me o sorasu
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu response:	But then divert my eyes
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes response:	yasashii ame wa furu watashitachi no ue ni
context: Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni response:	The gentle rain falls above our heads
context: omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads response:	surechigau hito no kazu dake dramatic ni naru no
context: My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no response:	as it becomes as dramatic as the number of people passing by
context: yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by response:	kowareta taisetsu na mono to
context: I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to response:	I wonder if we'll ever be able to
context: chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to response:	itsuka mata aeru hi ga kurukashira
context: But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira response:	reunite with those precious things that were broken
context: yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken response:	nokoshita kizuato ga kienai
context: The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai response:	The scars that were left behind won't go away
context: surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away response:	sorezore no basho made
context: as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made response:	Now we must depart
context: kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart response:	mou ikanakucha
context: I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha response:	To our own separate ways
context: itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways response:	I guess I'll be commuting here for a while...
context: reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\I guess I'll be commuting here for a while... response:	To think that I'll be working with the company I just quit from so soon...
context: nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon... response:	Projects begin with networking.
context: The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon...\Projects begin with networking. response:	And networking begins with a smile.
context: sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon...\Projects begin with networking.\And networking begins with a smile. response:	Good afternoon!
context: Now we must depart\mou ikanakucha\To our own separate ways\I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon...\Projects begin with networking.\And networking begins with a smile.\Good afternoon! response:	Y-Yamada! Why are you here?
context: mou ikanakucha\To our own separate ways\I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon...\Projects begin with networking.\And networking begins with a smile.\Good afternoon!\Y-Yamada! Why are you here? response:	Now then, please contact me when you decide on a design!
context: To our own separate ways\I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon...\Projects begin with networking.\And networking begins with a smile.\Good afternoon!\Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design! response:	Leaving already? Why don't you stick around a little longer?
context: I guess I'll be commuting here for a while...\To think that I'll be working with the company I just quit from so soon...\Projects begin with networking.\And networking begins with a smile.\Good afternoon!\Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer? response:	Excuse me.
context: To think that I'll be working with the company I just quit from so soon...\Projects begin with networking.\And networking begins with a smile.\Good afternoon!\Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer?\Excuse me. response:	Yamada, you...
context: Projects begin with networking.\And networking begins with a smile.\Good afternoon!\Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer?\Excuse me.\Yamada, you... response:	Oh, um...
context: And networking begins with a smile.\Good afternoon!\Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer?\Excuse me.\Yamada, you...\Oh, um... response:	Oh no!
context: Good afternoon!\Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer?\Excuse me.\Yamada, you...\Oh, um...\Oh no! response:	I'm a teaching assistant for a lecture at noon!
context: Y-Yamada! Why are you here?\Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer?\Excuse me.\Yamada, you...\Oh, um...\Oh no!\I'm a teaching assistant for a lecture at noon! response:	I'm running late!
context: Now then, please contact me when you decide on a design!\Leaving already? Why don't you stick around a little longer?\Excuse me.\Yamada, you...\Oh, um...\Oh no!\I'm a teaching assistant for a lecture at noon!\I'm running late! response:	Bye!
context: Leaving already? Why don't you stick around a little longer?\Excuse me.\Yamada, you...\Oh, um...\Oh no!\I'm a teaching assistant for a lecture at noon!\I'm running late!\Bye! response:	Yamada, wait a
context: Excuse me.\Yamada, you...\Oh, um...\Oh no!\I'm a teaching assistant for a lecture at noon!\I'm running late!\Bye!\Yamada, wait a response:	Mayama!
context: Yamada, you...\Oh, um...\Oh no!\I'm a teaching assistant for a lecture at noon!\I'm running late!\Bye!\Yamada, wait a\Mayama! response:	Where's Rika-san? Where's Rika-san? Where's Rika-san?
context: Oh, um...\Oh no!\I'm a teaching assistant for a lecture at noon!\I'm running late!\Bye!\Yamada, wait a\Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san? response:	I'm sorry, not today...
context: Oh no!\I'm a teaching assistant for a lecture at noon!\I'm running late!\Bye!\Yamada, wait a\Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today... response:	Disappointed
context: I'm a teaching assistant for a lecture at noon!\I'm running late!\Bye!\Yamada, wait a\Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today...\Disappointed response:	This is no fun!
context: I'm running late!\Bye!\Yamada, wait a\Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today...\Disappointed\This is no fun! response:	And I was thinking of having lunch with her!
context: Bye!\Yamada, wait a\Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today...\Disappointed\This is no fun!\And I was thinking of having lunch with her! response:	Eeek! You're twisting me!
context: Yamada, wait a\Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today...\Disappointed\This is no fun!\And I was thinking of having lunch with her!\Eeek! You're twisting me! response:	Well... I did invite her along...
context: Mayama!\Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today...\Disappointed\This is no fun!\And I was thinking of having lunch with her!\Eeek! You're twisting me!\Well... I did invite her along... response:	The Last Business Meeting
context: Where's Rika-san? Where's Rika-san? Where's Rika-san?\I'm sorry, not today...\Disappointed\This is no fun!\And I was thinking of having lunch with her!\Eeek! You're twisting me!\Well... I did invite her along...\The Last Business Meeting response:	Please come again.
context: I'm sorry, not today...\Disappointed\This is no fun!\And I was thinking of having lunch with her!\Eeek! You're twisting me!\Well... I did invite her along...\The Last Business Meeting\Please come again. response:	I want to see that dog...
context: Disappointed\This is no fun!\And I was thinking of having lunch with her!\Eeek! You're twisting me!\Well... I did invite her along...\The Last Business Meeting\Please come again.\I want to see that dog... response:	Well, how should I explain it...
context: This is no fun!\And I was thinking of having lunch with her!\Eeek! You're twisting me!\Well... I did invite her along...\The Last Business Meeting\Please come again.\I want to see that dog...\Well, how should I explain it... response:	The dog... but...
context: And I was thinking of having lunch with her!\Eeek! You're twisting me!\Well... I did invite her along...\The Last Business Meeting\Please come again.\I want to see that dog...\Well, how should I explain it...\The dog... but... response:	Sigh...
context: Eeek! You're twisting me!\Well... I did invite her along...\The Last Business Meeting\Please come again.\I want to see that dog...\Well, how should I explain it...\The dog... but...\Sigh... response:	Oh! Nomiya-san, about Yamada...
context: Well... I did invite her along...\The Last Business Meeting\Please come again.\I want to see that dog...\Well, how should I explain it...\The dog... but...\Sigh...\Oh! Nomiya-san, about Yamada... response:	We'll set aside that issue for later. Why don't we talk about the job first?
context: The Last Business Meeting\Please come again.\I want to see that dog...\Well, how should I explain it...\The dog... but...\Sigh...\Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first? response:	S-Sure...
context: Please come again.\I want to see that dog...\Well, how should I explain it...\The dog... but...\Sigh...\Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure... response:	So, why was Yamada here?
context: I want to see that dog...\Well, how should I explain it...\The dog... but...\Sigh...\Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure...\So, why was Yamada here? response:	We decided to start carrying potteries in our stock.
context: Well, how should I explain it...\The dog... but...\Sigh...\Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure...\So, why was Yamada here?\We decided to start carrying potteries in our stock. response:	So we've decided to ask her to come by once a week.
context: The dog... but...\Sigh...\Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure...\So, why was Yamada here?\We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week. response:	I hadn't heard about that!
context: Sigh...\Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure...\So, why was Yamada here?\We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week.\I hadn't heard about that! response:	What the heck?
context: Oh! Nomiya-san, about Yamada...\We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure...\So, why was Yamada here?\We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week.\I hadn't heard about that!\What the heck? response:	Is there some rule that says that we need to put everything about Yamada-san through you first?
context: We'll set aside that issue for later. Why don't we talk about the job first?\S-Sure...\So, why was Yamada here?\We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week.\I hadn't heard about that!\What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first? response:	Someone in love shouldn't worry so much about the woman he turned down.
context: S-Sure...\So, why was Yamada here?\We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week.\I hadn't heard about that!\What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first?\Someone in love shouldn't worry so much about the woman he turned down. response:	Nomiya-san, what do you think of Yamada?
context: So, why was Yamada here?\We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week.\I hadn't heard about that!\What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first?\Someone in love shouldn't worry so much about the woman he turned down.\Nomiya-san, what do you think of Yamada? response:	What?
context: We decided to start carrying potteries in our stock.\So we've decided to ask her to come by once a week.\I hadn't heard about that!\What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first?\Someone in love shouldn't worry so much about the woman he turned down.\Nomiya-san, what do you think of Yamada?\What? response:	Well, she's cute...
context: So we've decided to ask her to come by once a week.\I hadn't heard about that!\What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first?\Someone in love shouldn't worry so much about the woman he turned down.\Nomiya-san, what do you think of Yamada?\What?\Well, she's cute... response:	She's cute...?
context: I hadn't heard about that!\What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first?\Someone in love shouldn't worry so much about the woman he turned down.\Nomiya-san, what do you think of Yamada?\What?\Well, she's cute...\She's cute...? response:	Like a puppy or a kitten?
context: What the heck?\Is there some rule that says that we need to put everything about Yamada-san through you first?\Someone in love shouldn't worry so much about the woman he turned down.\Nomiya-san, what do you think of Yamada?\What?\Well, she's cute...\She's cute...?\Like a puppy or a kitten? response:	Or like a girl?
