context: Choose some kind of bread and a drink for tomorrow's breakfast. response:	Aye-aye!
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye! response:	Without running!
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye!\Without running! response:	That kid doesn't listen.
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye!\Without running!\That kid doesn't listen. response:	Umm... for a cold, we've got water, sports drinks...
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye!\Without running!\That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks... response:	Dairy products, and so on...
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye!\Without running!\That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on... response:	What's some food that would be easily digested?
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye!\Without running!\That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on...\What's some food that would be easily digested? response:	Rin, do you wanna get something for tomorrow's breakfast, too?
context: Choose some kind of bread and a drink for tomorrow's breakfast.\Aye-aye!\Without running!\That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on...\What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too? response:	Cereal or something?
context: Aye-aye!\Without running!\That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on...\What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something? response:	Yeah...
context: Without running!\That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on...\What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something?\Yeah... response:	Daikichi...
context: That kid doesn't listen.\Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on...\What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something?\Yeah...\Daikichi... response:	Did I give it to her?
context: Umm... for a cold, we've got water, sports drinks...\Dairy products, and so on...\What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something?\Yeah...\Daikichi...\Did I give it to her? response:	Rin...
context: Dairy products, and so on...\What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something?\Yeah...\Daikichi...\Did I give it to her?\Rin... response:	Bacteria from a cold is all over the place.
context: What's some food that would be easily digested?\Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something?\Yeah...\Daikichi...\Did I give it to her?\Rin...\Bacteria from a cold is all over the place. response:	Some people will catch it, some won't.
context: Rin, do you wanna get something for tomorrow's breakfast, too?\Cereal or something?\Yeah...\Daikichi...\Did I give it to her?\Rin...\Bacteria from a cold is all over the place.\Some people will catch it, some won't. response:	But you don't have to worry about who's the one that passed it on.
context: Cereal or something?\Yeah...\Daikichi...\Did I give it to her?\Rin...\Bacteria from a cold is all over the place.\Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on. response:	Can I pick something to bring her too?
context: Yeah...\Daikichi...\Did I give it to her?\Rin...\Bacteria from a cold is all over the place.\Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too? response:	Sure.
context: Daikichi...\Did I give it to her?\Rin...\Bacteria from a cold is all over the place.\Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too?\Sure. response:	This...
context: Did I give it to her?\Rin...\Bacteria from a cold is all over the place.\Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too?\Sure.\This... response:	Put it in the basket.
context: Rin...\Bacteria from a cold is all over the place.\Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too?\Sure.\This...\Put it in the basket. response:	Kouki-kun!
context: Bacteria from a cold is all over the place.\Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too?\Sure.\This...\Put it in the basket.\Kouki-kun! response:	What are you doing in the snacks aisle?!
context: Some people will catch it, some won't.\But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too?\Sure.\This...\Put it in the basket.\Kouki-kun!\What are you doing in the snacks aisle?! response:	Kouki! What about breakfast?
context: But you don't have to worry about who's the one that passed it on.\Can I pick something to bring her too?\Sure.\This...\Put it in the basket.\Kouki-kun!\What are you doing in the snacks aisle?!\Kouki! What about breakfast? response:	It came out!
context: Can I pick something to bring her too?\Sure.\This...\Put it in the basket.\Kouki-kun!\What are you doing in the snacks aisle?!\Kouki! What about breakfast?\It came out! response:	I dunno about tomorrow.
context: Sure.\This...\Put it in the basket.\Kouki-kun!\What are you doing in the snacks aisle?!\Kouki! What about breakfast?\It came out!\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: This...\Put it in the basket.\Kouki-kun!\What are you doing in the snacks aisle?!\Kouki! What about breakfast?\It came out!\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: Put it in the basket.\Kouki-kun!\What are you doing in the snacks aisle?!\Kouki! What about breakfast?\It came out!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: Kouki-kun!\What are you doing in the snacks aisle?!\Kouki! What about breakfast?\It came out!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: What are you doing in the snacks aisle?!\Kouki! What about breakfast?\It came out!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: Kouki! What about breakfast?\It came out!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: It came out!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	My place is here!
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\My place is here! response:	Yeah, we're gonna go home.
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\My place is here!\Yeah, we're gonna go home. response:	I don't want your mom fussing over us.
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\My place is here!\Yeah, we're gonna go home.\I don't want your mom fussing over us. response:	Okay.
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\My place is here!\Yeah, we're gonna go home.\I don't want your mom fussing over us.\Okay. response:	Here. There's food in there, so give it to your mom.
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\My place is here!\Yeah, we're gonna go home.\I don't want your mom fussing over us.\Okay.\Here. There's food in there, so give it to your mom. response:	It's heavy.
context: And those days will be happy, too!\Just wanna make you happy!\My place is here!\Yeah, we're gonna go home.\I don't want your mom fussing over us.\Okay.\Here. There's food in there, so give it to your mom.\It's heavy. response:	It's really heavy...
context: Just wanna make you happy!\My place is here!\Yeah, we're gonna go home.\I don't want your mom fussing over us.\Okay.\Here. There's food in there, so give it to your mom.\It's heavy.\It's really heavy... response:	Well, let's go, Rin.
context: My place is here!\Yeah, we're gonna go home.\I don't want your mom fussing over us.\Okay.\Here. There's food in there, so give it to your mom.\It's heavy.\It's really heavy...\Well, let's go, Rin. response:	Mom! Daikichi gave us food!
context: Yeah, we're gonna go home.\I don't want your mom fussing over us.\Okay.\Here. There's food in there, so give it to your mom.\It's heavy.\It's really heavy...\Well, let's go, Rin.\Mom! Daikichi gave us food! response:	Listen when somebody's talking to you!
