context: That's right! response:	We're here to save Kagome
context: That's right!\We're here to save Kagome response:	who was abducted by the Panther-Demon Tribe!
context: That's right!\We're here to save Kagome\who was abducted by the Panther-Demon Tribe! response:	Koga and Sesshomaru also appeared
context: That's right!\We're here to save Kagome\who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared response:	and fought the Panther-Demon Tribe...
context: That's right!\We're here to save Kagome\who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe... response:	Then come to our castle to get her.
context: That's right!\We're here to save Kagome\who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe...\Then come to our castle to get her. response:	We'll be waiting, Inuyasha!
context: That's right!\We're here to save Kagome\who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe...\Then come to our castle to get her.\We'll be waiting, Inuyasha! response:	Why you...!
context: That's right!\We're here to save Kagome\who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe...\Then come to our castle to get her.\We'll be waiting, Inuyasha!\Why you...! response:	Sesshomaru!
context: We're here to save Kagome\who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe...\Then come to our castle to get her.\We'll be waiting, Inuyasha!\Why you...!\Sesshomaru! response:	Miroku!
context: who was abducted by the Panther-Demon Tribe!\Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe...\Then come to our castle to get her.\We'll be waiting, Inuyasha!\Why you...!\Sesshomaru!\Miroku! response:	Sango!
context: Koga and Sesshomaru also appeared\and fought the Panther-Demon Tribe...\Then come to our castle to get her.\We'll be waiting, Inuyasha!\Why you...!\Sesshomaru!\Miroku!\Sango! response:	So you're alive, Shippo!
context: and fought the Panther-Demon Tribe...\Then come to our castle to get her.\We'll be waiting, Inuyasha!\Why you...!\Sesshomaru!\Miroku!\Sango!\So you're alive, Shippo! response:	Old Myoga! Where is everyone?
context: Then come to our castle to get her.\We'll be waiting, Inuyasha!\Why you...!\Sesshomaru!\Miroku!\Sango!\So you're alive, Shippo!\Old Myoga! Where is everyone? response:	Probably in the cats' castle.
context: We'll be waiting, Inuyasha!\Why you...!\Sesshomaru!\Miroku!\Sango!\So you're alive, Shippo!\Old Myoga! Where is everyone?\Probably in the cats' castle. response:	Hurry up and move outta the way, or you'll get it!
context: Why you...!\Sesshomaru!\Miroku!\Sango!\So you're alive, Shippo!\Old Myoga! Where is everyone?\Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it! response:	Go through us if you can.
context: Sesshomaru!\Miroku!\Sango!\So you're alive, Shippo!\Old Myoga! Where is everyone?\Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it!\Go through us if you can. response:	You!
context: Miroku!\Sango!\So you're alive, Shippo!\Old Myoga! Where is everyone?\Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it!\Go through us if you can.\You! response:	What!
context: Sango!\So you're alive, Shippo!\Old Myoga! Where is everyone?\Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it!\Go through us if you can.\You!\What! response:	What is this?!
context: So you're alive, Shippo!\Old Myoga! Where is everyone?\Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it!\Go through us if you can.\You!\What!\What is this?! response:	Damn it!
context: Old Myoga! Where is everyone?\Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it!\Go through us if you can.\You!\What!\What is this?!\Damn it! response:	Over this way!
context: Probably in the cats' castle.\Hurry up and move outta the way, or you'll get it!\Go through us if you can.\You!\What!\What is this?!\Damn it!\Over this way! response:	Move!
