context: I challenge you! response:	Let's see who can get someone faster!
context: I challenge you!\Let's see who can get someone faster! response:	What'll I get if I win?
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win? response:	I'll buy you whatever game you want.
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want. response:	But if I win, you'll buy me a new pair of basketball shoes.
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes. response:	Let's do it!
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it! response:	I'm not going to lose!
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it!\I'm not going to lose! response:	The Ex-Girlfriend Love Triangle!?
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it!\I'm not going to lose!\The Ex-Girlfriend Love Triangle!? response:	What the heck is that?
context: Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it!\I'm not going to lose!\The Ex-Girlfriend Love Triangle!?\What the heck is that? response:	A brush? A sea urchin?
context: What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it!\I'm not going to lose!\The Ex-Girlfriend Love Triangle!?\What the heck is that?\A brush? A sea urchin? response:	Brush
context: I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it!\I'm not going to lose!\The Ex-Girlfriend Love Triangle!?\What the heck is that?\A brush? A sea urchin?\Brush response:	Urchin
