context: Water. response:	Earth.
context: Water.\Earth. response:	Fire.
context: Water.\Earth.\Fire. response:	Air.
context: Water.\Earth.\Fire.\Air. response:	Long ago, the four nations lived together in harmony.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony. response:	Then, everything changed when the Fire Nation attacked.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked. response:	Only the Avatar, master of all four elements, could stop them.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them. response:	But when the world needed him most, he vanished.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished. response:	A hundred years passed, and my brother and I discovered the new Avatar...
context: Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar... response:	And although his airbending skills are great.
context: Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great. response:	He has a lot to learn before he's ready to save anyone.
context: Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone. response:	But I believe Aang can save the world.
context: Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world. response:	Where's Momo?
context: Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Where's Momo? response:	Hang on Momo!
context: Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Where's Momo?\Hang on Momo! response:	All right... you too.
context: But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Where's Momo?\Hang on Momo!\All right... you too. response:	This is gonna take forever.
context: A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Where's Momo?\Hang on Momo!\All right... you too.\This is gonna take forever. response:	That works...
context: And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Where's Momo?\Hang on Momo!\All right... you too.\This is gonna take forever.\That works... response:	These are Fire Nation traps... you can tell from the metalwork.
context: He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Where's Momo?\Hang on Momo!\All right... you too.\This is gonna take forever.\That works...\These are Fire Nation traps... you can tell from the metalwork. response:	We'd better pack up camp, and get moving.
context: But I believe Aang can save the world.\Where's Momo?\Hang on Momo!\All right... you too.\This is gonna take forever.\That works...\These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving. response:	Ah-ah... no flying this time.
context: Where's Momo?\Hang on Momo!\All right... you too.\This is gonna take forever.\That works...\These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving.\Ah-ah... no flying this time. response:	What?
context: Hang on Momo!\All right... you too.\This is gonna take forever.\That works...\These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving.\Ah-ah... no flying this time.\What? response:	Why wouldn't we fly?
context: All right... you too.\This is gonna take forever.\That works...\These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving.\Ah-ah... no flying this time.\What?\Why wouldn't we fly? response:	Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.
context: This is gonna take forever.\That works...\These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving.\Ah-ah... no flying this time.\What?\Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us. response:	It's because they spot Appa... he's just too noticeable.
context: That works...\These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving.\Ah-ah... no flying this time.\What?\Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable. response:	What! Appa's not too noticeable!
context: These are Fire Nation traps... you can tell from the metalwork.\We'd better pack up camp, and get moving.\Ah-ah... no flying this time.\What?\Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable! response:	He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!
context: We'd better pack up camp, and get moving.\Ah-ah... no flying this time.\What?\Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him! response:	Sokka's just jealous'cause he doesn't have an arrow.
context: Ah-ah... no flying this time.\What?\Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow. response:	I know you all want to fly,...
context: What?\Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,... response:	Who made you the boss?
context: Why wouldn't we fly?\Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,...\Who made you the boss? response:	I'm not the boss... I'm the leader.
context: Think about it. Somehow Prince Zuko and the Fire Nation keep finding us.\It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,...\Who made you the boss?\I'm not the boss... I'm the leader. response:	You're the leader? But your voice still cracks!
context: It's because they spot Appa... he's just too noticeable.\What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,...\Who made you the boss?\I'm not the boss... I'm the leader.\You're the leader? But your voice still cracks! response:	I'm the oldest and I'm a warrior. So... I'm the leader!
context: What! Appa's not too noticeable!\He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,...\Who made you the boss?\I'm not the boss... I'm the leader.\You're the leader? But your voice still cracks!\I'm the oldest and I'm a warrior. So... I'm the leader! response:	If anyone's the leader, it's Aang. I mean, he is the Avatar.
context: He's a gigantic fluffy monster with an arrow on his head... it's kinda hard to miss him!\Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,...\Who made you the boss?\I'm not the boss... I'm the leader.\You're the leader? But your voice still cracks!\I'm the oldest and I'm a warrior. So... I'm the leader!\If anyone's the leader, it's Aang. I mean, he is the Avatar. response:	Are you kidding... he's just a goofy kid!
context: Sokka's just jealous'cause he doesn't have an arrow.\I know you all want to fly,...\Who made you the boss?\I'm not the boss... I'm the leader.\You're the leader? But your voice still cracks!\I'm the oldest and I'm a warrior. So... I'm the leader!\If anyone's the leader, it's Aang. I mean, he is the Avatar.\Are you kidding... he's just a goofy kid! response:	He's right.
context: I know you all want to fly,...\Who made you the boss?\I'm not the boss... I'm the leader.\You're the leader? But your voice still cracks!\I'm the oldest and I'm a warrior. So... I'm the leader!\If anyone's the leader, it's Aang. I mean, he is the Avatar.\Are you kidding... he's just a goofy kid!\He's right. response:	Why do boys always think someone has to be the leader?
