context: A spider on his back... response:	Yes. According to Inuyasha...
context: A spider on his back...\Yes. According to Inuyasha... response:	a spider-shaped burn mark on his back.
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back. response:	The robber Onigumo had terrible burns.
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns. response:	Perhaps this is proof that it is Onigumo.
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo. response:	A spider on his back...
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo.\A spider on his back... response:	That will also be the telltale sign of Naraku.
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku. response:	Kikyo didn't even consider using the power of the Sacred Jewel to live.
context: A spider on his back...\Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live. response:	Kikyo chose death... She chose to follow Inuyasha.
context: Yes. According to Inuyasha...\a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha. response:	What a huge mansion!
context: a spider-shaped burn mark on his back.\The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion! response:	Miroku, will we be staying here tonight?
context: The robber Onigumo had terrible burns.\Perhaps this is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion!\Miroku, will we be staying here tonight? response:	He's probably gonna tell'em...
context: Perhaps this is proof that it is Onigumo.\A spider on his back...\That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion!\Miroku, will we be staying here tonight?\He's probably gonna tell'em... response:	that there's an ominous cloud over the mansion again.
context: A spider on his back...\That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion!\Miroku, will we be staying here tonight?\He's probably gonna tell'em...\that there's an ominous cloud over the mansion again. response:	No, I have a legitimate reason this time.
context: That will also be the telltale sign of Naraku.\Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion!\Miroku, will we be staying here tonight?\He's probably gonna tell'em...\that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time. response:	A demon that steals the souls of dead princesses?
context: Kikyo didn't even consider using the power of the Sacred Jewel to live.\Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion!\Miroku, will we be staying here tonight?\He's probably gonna tell'em...\that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses? response:	It's sad enough that my dear Princess passed away.
context: Kikyo chose death... She chose to follow Inuyasha.\What a huge mansion!\Miroku, will we be staying here tonight?\He's probably gonna tell'em...\that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away. response:	To have her soul stolen on top of this...
context: What a huge mansion!\Miroku, will we be staying here tonight?\He's probably gonna tell'em...\that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this... response:	Rest assured.
context: Miroku, will we be staying here tonight?\He's probably gonna tell'em...\that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this...\Rest assured. response:	We will protect her soul without fail.
context: He's probably gonna tell'em...\that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this...\Rest assured.\We will protect her soul without fail. response:	Huh?
context: that there's an ominous cloud over the mansion again.\No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this...\Rest assured.\We will protect her soul without fail.\Huh? response:	Told ya! It's the same as usual.
context: No, I have a legitimate reason this time.\A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this...\Rest assured.\We will protect her soul without fail.\Huh?\Told ya! It's the same as usual. response:	Well, can't wage war on an empty stomach.
context: A demon that steals the souls of dead princesses?\It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this...\Rest assured.\We will protect her soul without fail.\Huh?\Told ya! It's the same as usual.\Well, can't wage war on an empty stomach. response:	Still, it's awfully quiet.
context: It's sad enough that my dear Princess passed away.\To have her soul stolen on top of this...\Rest assured.\We will protect her soul without fail.\Huh?\Told ya! It's the same as usual.\Well, can't wage war on an empty stomach.\Still, it's awfully quiet. response:	I don't like it.
context: To have her soul stolen on top of this...\Rest assured.\We will protect her soul without fail.\Huh?\Told ya! It's the same as usual.\Well, can't wage war on an empty stomach.\Still, it's awfully quiet.\I don't like it. response:	Found it!
context: Rest assured.\We will protect her soul without fail.\Huh?\Told ya! It's the same as usual.\Well, can't wage war on an empty stomach.\Still, it's awfully quiet.\I don't like it.\Found it! response:	Priestess Kikyo!
context: We will protect her soul without fail.\Huh?\Told ya! It's the same as usual.\Well, can't wage war on an empty stomach.\Still, it's awfully quiet.\I don't like it.\Found it!\Priestess Kikyo! response:	Priestess Kikyo!
context: Huh?\Told ya! It's the same as usual.\Well, can't wage war on an empty stomach.\Still, it's awfully quiet.\I don't like it.\Found it!\Priestess Kikyo!\Priestess Kikyo! response:	Look! Look! Isn't this a medicinal herb?
context: Told ya! It's the same as usual.\Well, can't wage war on an empty stomach.\Still, it's awfully quiet.\I don't like it.\Found it!\Priestess Kikyo!\Priestess Kikyo!\Look! Look! Isn't this a medicinal herb? response:	Good for you!
context: Well, can't wage war on an empty stomach.\Still, it's awfully quiet.\I don't like it.\Found it!\Priestess Kikyo!\Priestess Kikyo!\Look! Look! Isn't this a medicinal herb?\Good for you! response:	It's called lantern plant and it relieves swelling.
context: Still, it's awfully quiet.\I don't like it.\Found it!\Priestess Kikyo!\Priestess Kikyo!\Look! Look! Isn't this a medicinal herb?\Good for you!\It's called lantern plant and it relieves swelling. response:	Priestess Kikyo!
context: I don't like it.\Found it!\Priestess Kikyo!\Priestess Kikyo!\Look! Look! Isn't this a medicinal herb?\Good for you!\It's called lantern plant and it relieves swelling.\Priestess Kikyo! response:	What about this?
context: Found it!\Priestess Kikyo!\Priestess Kikyo!\Look! Look! Isn't this a medicinal herb?\Good for you!\It's called lantern plant and it relieves swelling.\Priestess Kikyo!\What about this? response:	What's this, Priestess Kikyo?
context: Priestess Kikyo!\Priestess Kikyo!\Look! Look! Isn't this a medicinal herb?\Good for you!\It's called lantern plant and it relieves swelling.\Priestess Kikyo!\What about this?\What's this, Priestess Kikyo? response:	Let me see...
context: Priestess Kikyo!\Look! Look! Isn't this a medicinal herb?\Good for you!\It's called lantern plant and it relieves swelling.\Priestess Kikyo!\What about this?\What's this, Priestess Kikyo?\Let me see... response:	Master Seikai...
context: Look! Look! Isn't this a medicinal herb?\Good for you!\It's called lantern plant and it relieves swelling.\Priestess Kikyo!\What about this?\What's this, Priestess Kikyo?\Let me see...\Master Seikai... response:	That priestess is demon?
context: Good for you!\It's called lantern plant and it relieves swelling.\Priestess Kikyo!\What about this?\What's this, Priestess Kikyo?\Let me see...\Master Seikai...\That priestess is demon? response:	She looks absolutely human to me.
context: It's called lantern plant and it relieves swelling.\Priestess Kikyo!\What about this?\What's this, Priestess Kikyo?\Let me see...\Master Seikai...\That priestess is demon?\She looks absolutely human to me. response:	You do not have enough training. Can't you sense it?
context: Priestess Kikyo!\What about this?\What's this, Priestess Kikyo?\Let me see...\Master Seikai...\That priestess is demon?\She looks absolutely human to me.\You do not have enough training. Can't you sense it? response:	The evil that permeates this area?
context: What about this?\What's this, Priestess Kikyo?\Let me see...\Master Seikai...\That priestess is demon?\She looks absolutely human to me.\You do not have enough training. Can't you sense it?\The evil that permeates this area? response:	Master Monk over there...
context: What's this, Priestess Kikyo?\Let me see...\Master Seikai...\That priestess is demon?\She looks absolutely human to me.\You do not have enough training. Can't you sense it?\The evil that permeates this area?\Master Monk over there... response:	You've been watching us for quite some time.
context: Let me see...\Master Seikai...\That priestess is demon?\She looks absolutely human to me.\You do not have enough training. Can't you sense it?\The evil that permeates this area?\Master Monk over there...\You've been watching us for quite some time. response:	Well, well... You noticed us?
context: Master Seikai...\That priestess is demon?\She looks absolutely human to me.\You do not have enough training. Can't you sense it?\The evil that permeates this area?\Master Monk over there...\You've been watching us for quite some time.\Well, well... You noticed us? response:	I'm overcome by your beauty.
context: That priestess is demon?\She looks absolutely human to me.\You do not have enough training. Can't you sense it?\The evil that permeates this area?\Master Monk over there...\You've been watching us for quite some time.\Well, well... You noticed us?\I'm overcome by your beauty. response:	Such flattery.
context: She looks absolutely human to me.\You do not have enough training. Can't you sense it?\The evil that permeates this area?\Master Monk over there...\You've been watching us for quite some time.\Well, well... You noticed us?\I'm overcome by your beauty.\Such flattery. response:	I must apply myself much more diligently.
context: You do not have enough training. Can't you sense it?\The evil that permeates this area?\Master Monk over there...\You've been watching us for quite some time.\Well, well... You noticed us?\I'm overcome by your beauty.\Such flattery.\I must apply myself much more diligently. response:	I am much embarrassed.
context: The evil that permeates this area?\Master Monk over there...\You've been watching us for quite some time.\Well, well... You noticed us?\I'm overcome by your beauty.\Such flattery.\I must apply myself much more diligently.\I am much embarrassed. response:	Will you pick it up?
context: Master Monk over there...\You've been watching us for quite some time.\Well, well... You noticed us?\I'm overcome by your beauty.\Such flattery.\I must apply myself much more diligently.\I am much embarrassed.\Will you pick it up? response:	This is an anti-evil sutra.
context: You've been watching us for quite some time.\Well, well... You noticed us?\I'm overcome by your beauty.\Such flattery.\I must apply myself much more diligently.\I am much embarrassed.\Will you pick it up?\This is an anti-evil sutra. response:	If a demon touches this, its true self is immediately revealed.
context: Well, well... You noticed us?\I'm overcome by your beauty.\Such flattery.\I must apply myself much more diligently.\I am much embarrassed.\Will you pick it up?\This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed. response:	Hmm?
context: I'm overcome by your beauty.\Such flattery.\I must apply myself much more diligently.\I am much embarrassed.\Will you pick it up?\This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed.\Hmm? response:	I'm thankful for such a sutra.
context: Such flattery.\I must apply myself much more diligently.\I am much embarrassed.\Will you pick it up?\This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed.\Hmm?\I'm thankful for such a sutra. response:	Here you are.
context: I must apply myself much more diligently.\I am much embarrassed.\Will you pick it up?\This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed.\Hmm?\I'm thankful for such a sutra.\Here you are. response:	She touched the sutra, yet nothing happened.
context: I am much embarrassed.\Will you pick it up?\This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed.\Hmm?\I'm thankful for such a sutra.\Here you are.\She touched the sutra, yet nothing happened. response:	Let's go, everyone.
context: Will you pick it up?\This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed.\Hmm?\I'm thankful for such a sutra.\Here you are.\She touched the sutra, yet nothing happened.\Let's go, everyone. response:	W-what was that?!
context: This is an anti-evil sutra.\If a demon touches this, its true self is immediately revealed.\Hmm?\I'm thankful for such a sutra.\Here you are.\She touched the sutra, yet nothing happened.\Let's go, everyone.\W-what was that?! response:	Something went through my body.
context: If a demon touches this, its true self is immediately revealed.\Hmm?\I'm thankful for such a sutra.\Here you are.\She touched the sutra, yet nothing happened.\Let's go, everyone.\W-what was that?!\Something went through my body. response:	W-what is this?
context: Hmm?\I'm thankful for such a sutra.\Here you are.\She touched the sutra, yet nothing happened.\Let's go, everyone.\W-what was that?!\Something went through my body.\W-what is this? response:	What's the matter, Master Seikai?
context: I'm thankful for such a sutra.\Here you are.\She touched the sutra, yet nothing happened.\Let's go, everyone.\W-what was that?!\Something went through my body.\W-what is this?\What's the matter, Master Seikai? response:	Look!
context: Here you are.\She touched the sutra, yet nothing happened.\Let's go, everyone.\W-what was that?!\Something went through my body.\W-what is this?\What's the matter, Master Seikai?\Look! response:	The sutra is gone!
context: She touched the sutra, yet nothing happened.\Let's go, everyone.\W-what was that?!\Something went through my body.\W-what is this?\What's the matter, Master Seikai?\Look!\The sutra is gone! response:	She completely erased it!
context: Let's go, everyone.\W-what was that?!\Something went through my body.\W-what is this?\What's the matter, Master Seikai?\Look!\The sutra is gone!\She completely erased it! response:	Priestess!
context: W-what was that?!\Something went through my body.\W-what is this?\What's the matter, Master Seikai?\Look!\The sutra is gone!\She completely erased it!\Priestess! response:	I don't know what holds you back here...
context: Something went through my body.\W-what is this?\What's the matter, Master Seikai?\Look!\The sutra is gone!\She completely erased it!\Priestess!\I don't know what holds you back here... response:	but this world is not for you.
context: W-what is this?\What's the matter, Master Seikai?\Look!\The sutra is gone!\She completely erased it!\Priestess!\I don't know what holds you back here...\but this world is not for you. response:	Return to where you belong!
context: What's the matter, Master Seikai?\Look!\The sutra is gone!\She completely erased it!\Priestess!\I don't know what holds you back here...\but this world is not for you.\Return to where you belong! response:	What's he saying?!
context: Look!\The sutra is gone!\She completely erased it!\Priestess!\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\What's he saying?! response:	Funny monk!
context: The sutra is gone!\She completely erased it!\Priestess!\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\What's he saying?!\Funny monk! response:	That woman... She's no ordinary demon.
context: She completely erased it!\Priestess!\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\What's he saying?!\Funny monk!\That woman... She's no ordinary demon. response:	She's much, much stronger... and evil.
context: Priestess!\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\What's he saying?!\Funny monk!\That woman... She's no ordinary demon.\She's much, much stronger... and evil. response:	Oh, it's Priestess Kikyo.
context: I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\What's he saying?!\Funny monk!\That woman... She's no ordinary demon.\She's much, much stronger... and evil.\Oh, it's Priestess Kikyo. response:	We're lucky to have such a wonderful priestess.
context: but this world is not for you.\Return to where you belong!\What's he saying?!\Funny monk!\That woman... She's no ordinary demon.\She's much, much stronger... and evil.\Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess. response:	Yeah... The sick are cured and the children are healthy.
context: Return to where you belong!\What's he saying?!\Funny monk!\That woman... She's no ordinary demon.\She's much, much stronger... and evil.\Oh, it's Priestess Kikyo.\We're lucky to have such a wonderful priestess.\Yeah... The sick are cured and the children are healthy. response:	We must be grateful.
