context: What's that? response:	Is this for some kind of advertising campaign?
context: What's that?\Is this for some kind of advertising campaign? response:	One, two, three, four!
context: What's that?\Is this for some kind of advertising campaign?\One, two, three, four! response:	Isn't she that really pretty girl from Mizusawa High?
context: What's that?\Is this for some kind of advertising campaign?\One, two, three, four!\Isn't she that really pretty girl from Mizusawa High? response:	Is she going to play karuta in a hakama?
context: What's that?\Is this for some kind of advertising campaign?\One, two, three, four!\Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama? response:	Five, six, seven, eight!
context: What's that?\Is this for some kind of advertising campaign?\One, two, three, four!\Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama?\Five, six, seven, eight! response:	June. The middle of the rainy season.
context: What's that?\Is this for some kind of advertising campaign?\One, two, three, four!\Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama?\Five, six, seven, eight!\June. The middle of the rainy season. response:	The Tokyo regionals for the National High School Karuta Championship!
context: What's that?\Is this for some kind of advertising campaign?\One, two, three, four!\Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama?\Five, six, seven, eight!\June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship! response:	Chihaya Furu
context: Is this for some kind of advertising campaign?\One, two, three, four!\Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama?\Five, six, seven, eight!\June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu response:	Verse 10
context: One, two, three, four!\Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama?\Five, six, seven, eight!\June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu\Verse 10 response:	Exchange Hellos And Goodbyes
context: Isn't she that really pretty girl from Mizusawa High?\Is she going to play karuta in a hakama?\Five, six, seven, eight!\June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu\Verse 10\Exchange Hellos And Goodbyes response:	Dressing Room Please take turns
context: Is she going to play karuta in a hakama?\Five, six, seven, eight!\June. The middle of the rainy season.\The Tokyo regionals for the National High School Karuta Championship!\Chihaya Furu\Verse 10\Exchange Hellos And Goodbyes\Dressing Room Please take turns response:	Players wear hakama for the Master and Queen matches.
